cell_id,Eucometis penicillata,Eucometis penicillata [spodocephalus Group],Eucometis penicillata [penicillata Group]
846622bffffffff,497.0,15.0,0.0
846623dffffffff,6.0,1.0,0.0
8466293ffffffff,2.0,0.0,0.0
846629dffffffff,1.0,0.0,0.0
84662b1ffffffff,1.0,0.0,0.0
84662b7ffffffff,2.0,0.0,0.0
84662e1ffffffff,9.0,0.0,0.0
84662e5ffffffff,5.0,0.0,0.0
84662e9ffffffff,8.0,0.0,0.0
8466311ffffffff,1.0,0.0,0.0
8466313ffffffff,4.0,0.0,0.0
8466415ffffffff,235.0,0.0,0.0
846641dffffffff,13.0,0.0,0.0
8466455ffffffff,1.0,0.0,0.0
8466529ffffffff,3.0,0.0,0.0
8466537ffffffff,2.0,0.0,0.0
84665abffffffff,2.0,0.0,0.0
84665e9ffffffff,1.0,0.0,0.0
846676dffffffff,2.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0
8466a0bffffffff,2.0,0.0,0.0
8466a1dffffffff,1.0,0.0,0.0
8466a25ffffffff,2.0,0.0,0.0
8466a2dffffffff,39.0,0.0,0.0
8466a33ffffffff,20.0,0.0,0.0
8466a51ffffffff,3527.0,279.0,0.0
8466a55ffffffff,55.0,3.0,0.0
8466a57ffffffff,10.0,0.0,0.0
8466a59ffffffff,5.0,0.0,0.0
8466a5dffffffff,41.0,7.0,0.0
8466b01ffffffff,274.0,0.0,0.0
8466b09ffffffff,182.0,0.0,0.0
8466b0bffffffff,774.0,0.0,0.0
8466b1dffffffff,16.0,2.0,0.0
8466b41ffffffff,579.0,0.0,0.0
8466b43ffffffff,180.0,0.0,0.0
8466b45ffffffff,75.0,0.0,0.0
8466b47ffffffff,380.0,0.0,0.0
8466b51ffffffff,236.0,3.0,0.0
8466b53ffffffff,8.0,0.0,0.0
8466b55ffffffff,543.0,0.0,0.0
8466b57ffffffff,18.0,0.0,0.0
8466b5bffffffff,5.0,0.0,0.0
8466b5dffffffff,45.0,0.0,0.0
8466b69ffffffff,25.0,0.0,0.0
8466c21ffffffff,5.0,0.0,0.0
8466c23ffffffff,5.0,0.0,0.0
8466c41ffffffff,123.0,0.0,0.0
8466c45ffffffff,17.0,0.0,0.0
8466c47ffffffff,26.0,0.0,0.0
8466c49ffffffff,60.0,0.0,0.0
8466c4dffffffff,16.0,0.0,0.0
8466c63ffffffff,91.0,0.0,0.0
8466c6bffffffff,3.0,0.0,0.0
8466ce1ffffffff,4.0,0.0,0.0
8466ce9ffffffff,12.0,0.0,0.0
8466d81ffffffff,1.0,0.0,0.0
8466d8dffffffff,1.0,0.0,0.0
8466dc3ffffffff,300.0,0.0,43.0
8466dc7ffffffff,17.0,0.0,0.0
8466dc9ffffffff,7.0,0.0,0.0
8466dd7ffffffff,2.0,0.0,0.0
8466ddbffffffff,2.0,0.0,0.0
8466dddffffffff,2.0,0.0,0.0
8466de3ffffffff,7.0,0.0,0.0
8466debffffffff,1.0,0.0,0.0
8466e01ffffffff,6.0,0.0,0.0
8466e05ffffffff,11.0,0.0,0.0
8466e09ffffffff,4.0,0.0,0.0
8466e0dffffffff,410.0,0.0,0.0
8466e23ffffffff,20.0,0.0,0.0
8466e27ffffffff,13.0,0.0,0.0
8466e29ffffffff,12.0,0.0,0.0
8466e2bffffffff,21.0,0.0,0.0
8466e2dffffffff,22.0,0.0,0.0
8466e3dffffffff,5.0,0.0,0.0
8466e41ffffffff,427.0,6.0,0.0
8466e43ffffffff,2.0,0.0,0.0
8466e45ffffffff,133.0,0.0,0.0
8466e47ffffffff,334.0,6.0,0.0
8466e49ffffffff,69.0,0.0,0.0
8466e4bffffffff,2.0,2.0,0.0
8466e4dffffffff,10.0,0.0,0.0
8466e61ffffffff,7.0,0.0,0.0
8466e63ffffffff,177.0,0.0,0.0
8466e65ffffffff,2.0,0.0,0.0
8466e67ffffffff,411.0,0.0,0.0
8466e69ffffffff,170.0,0.0,0.0
8466e6bffffffff,19.0,0.0,0.0
8466e6dffffffff,609.0,0.0,0.0
8466eadffffffff,7.0,0.0,0.0
8466ec1ffffffff,6.0,0.0,0.0
8466ec7ffffffff,95.0,0.0,0.0
8466ecbffffffff,288.0,0.0,0.0
8466ee5ffffffff,84.0,0.0,0.0
8466f57ffffffff,2.0,0.0,0.0
8467413ffffffff,90.0,0.0,2.0
8467417ffffffff,7.0,0.0,0.0
8467425ffffffff,126.0,0.0,0.0
8467427ffffffff,3.0,0.0,0.0
8467433ffffffff,10.0,0.0,0.0
8467437ffffffff,60.0,0.0,4.0
846743bffffffff,17.0,0.0,0.0
846743dffffffff,3.0,0.0,0.0
84674c5ffffffff,75.0,0.0,0.0
84674c7ffffffff,9.0,0.0,0.0
84674cdffffffff,38.0,0.0,0.0
84674e9ffffffff,10.0,0.0,0.0
84674edffffffff,60.0,0.0,3.0
8467519ffffffff,37.0,0.0,0.0
8467553ffffffff,2.0,0.0,0.0
8467585ffffffff,3.0,0.0,0.0
846758dffffffff,1.0,0.0,0.0
84675a5ffffffff,5.0,1.0,0.0
84675a9ffffffff,12.0,0.0,0.0
84675abffffffff,7.0,0.0,0.0
84675c1ffffffff,14.0,0.0,0.0
84675c7ffffffff,8.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0
84675cbffffffff,61.0,0.0,0.0
84675cdffffffff,2.0,0.0,0.0
84675ddffffffff,2.0,0.0,0.0
84675e3ffffffff,9.0,0.0,0.0
84675ebffffffff,6.0,0.0,0.0
8467909ffffffff,19.0,0.0,0.0
8467921ffffffff,2.0,0.0,0.0
8467945ffffffff,2.0,0.0,0.0
8467961ffffffff,11.0,0.0,0.0
846d203ffffffff,2.0,0.0,0.0
846d223ffffffff,2.0,0.0,0.0
846d22bffffffff,1.0,0.0,0.0
846d23dffffffff,11.0,2.0,0.0
846d2c3ffffffff,21.0,0.0,0.0
846d2c9ffffffff,190.0,26.0,0.0
846d2cbffffffff,26.0,11.0,0.0
846d2cdffffffff,3.0,0.0,0.0
846d2d9ffffffff,2.0,0.0,0.0
846d31bffffffff,3.0,0.0,0.0
846d35dffffffff,3.0,3.0,0.0
846d613ffffffff,2.0,0.0,0.0
846d617ffffffff,530.0,0.0,0.0
846d61bffffffff,23.0,0.0,0.0
846d651ffffffff,169.0,0.0,0.0
846d653ffffffff,162.0,0.0,0.0
846d655ffffffff,7.0,0.0,0.0
846d65bffffffff,15.0,0.0,0.0
846d681ffffffff,453.0,0.0,0.0
846d683ffffffff,4.0,0.0,0.0
846d685ffffffff,3.0,0.0,0.0
846d687ffffffff,4.0,0.0,0.0
846d689ffffffff,19.0,0.0,0.0
846d68bffffffff,446.0,0.0,0.0
846d68dffffffff,67.0,0.0,0.0
846d691ffffffff,40.0,0.0,0.0
846d693ffffffff,186.0,0.0,0.0
846d695ffffffff,5.0,0.0,0.0
846d697ffffffff,2332.0,0.0,0.0
846d69dffffffff,3.0,0.0,0.0
846d6b1ffffffff,2.0,0.0,0.0
846d6b9ffffffff,22.0,0.0,0.0
846d6bbffffffff,326.0,0.0,0.0
846d6bdffffffff,6.0,0.0,0.0
846d6c3ffffffff,9.0,0.0,0.0
846d6d3ffffffff,2.0,0.0,0.0
846d6d5ffffffff,28.0,0.0,0.0
846d6d7ffffffff,11.0,0.0,0.0
846d6ddffffffff,2.0,0.0,0.0
846d6e9ffffffff,168.0,0.0,0.0
846d6ebffffffff,3.0,0.0,0.0
846d6edffffffff,2.0,0.0,0.0
84800c5ffffffff,1.0,0.0,0.0
84800c7ffffffff,1.0,0.0,0.0
84802b7ffffffff,1.0,0.0,0.0
848040bffffffff,3.0,0.0,0.0
8480449ffffffff,2.0,0.0,0.0
8480463ffffffff,2.0,0.0,0.0
8480465ffffffff,2.0,0.0,0.0
8480469ffffffff,2.0,0.0,0.0
8480655ffffffff,2.0,0.0,0.0
8480713ffffffff,9.0,0.0,0.0
8480717ffffffff,1.0,0.0,0.0
8481211ffffffff,2.0,0.0,0.0
8481215ffffffff,2.0,0.0,0.0
848124bffffffff,39.0,0.0,4.0
84812d1ffffffff,9.0,0.0,1.0
84812d7ffffffff,18.0,0.0,0.0
8481363ffffffff,1.0,0.0,0.0
8481449ffffffff,2.0,0.0,0.0
848145dffffffff,4.0,0.0,0.0
848146bffffffff,2.0,0.0,0.0
848153dffffffff,1.0,0.0,0.0
8481635ffffffff,28.0,0.0,0.0
8481711ffffffff,49.0,0.0,0.0
8481713ffffffff,40.0,0.0,0.0
848a003ffffffff,8.0,0.0,0.0
848a157ffffffff,1.0,0.0,0.0
848a337ffffffff,2.0,0.0,0.0
848a451ffffffff,2.0,0.0,0.0
848a459ffffffff,50.0,0.0,3.0
848a45bffffffff,47.0,0.0,0.0
848a45dffffffff,4.0,0.0,0.0
848a637ffffffff,4.0,0.0,0.0
848a68bffffffff,12.0,0.0,0.0
848a699ffffffff,13.0,0.0,0.0
848a6d3ffffffff,44.0,0.0,0.0
848a6d7ffffffff,47.0,0.0,0.0
848a6d9ffffffff,96.0,0.0,0.0
848a6dbffffffff,10.0,0.0,0.0
848a6e5ffffffff,2.0,0.0,0.0
848a70bffffffff,17.0,0.0,0.0
848a8edffffffff,2.0,0.0,0.0
848aab1ffffffff,2.0,0.0,0.0
848aadbffffffff,2.0,0.0,0.0
848ad13ffffffff,2.0,0.0,0.0
848ad89ffffffff,3.0,0.0,0.0
848af09ffffffff,6.0,0.0,0.0
848af45ffffffff,19.0,0.0,0.0
848af69ffffffff,8.0,0.0,0.0
848b0c1ffffffff,5.0,0.0,0.0
848b0c9ffffffff,14.0,0.0,0.0
848b0d1ffffffff,2.0,0.0,0.0
848b105ffffffff,2.0,0.0,0.0
848b11bffffffff,2.0,0.0,0.0
848b11dffffffff,2.0,0.0,0.0
848b223ffffffff,2.0,0.0,0.0
848b22dffffffff,23.0,0.0,0.0
848b2a1ffffffff,2.0,0.0,0.0
848b2a5ffffffff,2.0,0.0,0.0
848b315ffffffff,7.0,0.0,0.0
848b363ffffffff,3.0,0.0,0.0
848b493ffffffff,4.0,0.0,0.0
848b529ffffffff,4.0,0.0,0.0
848b563ffffffff,10.0,0.0,0.0
848b567ffffffff,3.0,0.0,0.0
848b5cdffffffff,7.0,0.0,0.0
848b745ffffffff,3.0,0.0,0.0
848b757ffffffff,2.0,0.0,0.0
848b761ffffffff,2.0,0.0,0.0
848b763ffffffff,1.0,0.0,0.0
848ba63ffffffff,17.0,0.0,0.0
848ba65ffffffff,11.0,0.0,0.0
848ba6dffffffff,5.0,0.0,0.0
848bb43ffffffff,1.0,0.0,0.0
848bb53ffffffff,4.0,0.0,0.0
848bb59ffffffff,220.0,0.0,28.0
848f44bffffffff,3.0,0.0,0.0
848f489ffffffff,2.0,0.0,0.0
848f48dffffffff,17.0,0.0,0.0
848f4c7ffffffff,6.0,0.0,0.0
848f611ffffffff,1.0,0.0,0.0
848f613ffffffff,48.0,0.0,0.0
848f61bffffffff,49.0,0.0,0.0
848f625ffffffff,1.0,0.0,0.0
848f633ffffffff,1.0,0.0,0.0
848f6bbffffffff,3.0,0.0,0.0
848f6cdffffffff,2.0,0.0,0.0
848f6e9ffffffff,2.0,0.0,0.0
84a8061ffffffff,1.0,0.0,0.0
84a8095ffffffff,2.0,0.0,0.0
84a80b1ffffffff,1.0,0.0,0.0
84a80bbffffffff,1.0,0.0,0.0
84a8113ffffffff,2.0,0.0,0.0
84a8117ffffffff,2.0,0.0,0.0
84a812dffffffff,2.0,0.0,0.0
84a815bffffffff,1.0,0.0,0.0
84a8181ffffffff,5.0,0.0,0.0
84a8183ffffffff,2.0,0.0,0.0
84a8185ffffffff,22.0,0.0,0.0
84a8187ffffffff,23.0,0.0,0.0
84a8189ffffffff,2.0,0.0,0.0
84a818dffffffff,38.0,0.0,0.0
84a8195ffffffff,21.0,0.0,0.0
84a8197ffffffff,2.0,0.0,0.0
84a81a5ffffffff,2.0,0.0,0.0
84a81a7ffffffff,3.0,0.0,0.0
84a81a9ffffffff,2.0,0.0,0.0
84a81abffffffff,6.0,0.0,0.0
84a81adffffffff,4.0,0.0,0.0
84a81b1ffffffff,2.0,0.0,0.0
84a81b3ffffffff,2.0,0.0,0.0
84a81b9ffffffff,2.0,0.0,0.0
84a81bbffffffff,5.0,0.0,0.0
84a81c3ffffffff,5.0,0.0,0.0
84a81c7ffffffff,9.0,0.0,0.0
84a81cdffffffff,5.0,0.0,0.0
84a81d1ffffffff,1.0,0.0,0.0
84a81ddffffffff,3.0,0.0,0.0
84a81e1ffffffff,48.0,0.0,0.0
84a81e3ffffffff,21.0,0.0,0.0
84a81e7ffffffff,22.0,0.0,0.0
84a81e9ffffffff,26.0,0.0,0.0
84a81ebffffffff,17.0,0.0,0.0
84a81edffffffff,143.0,0.0,0.0
84a82dbffffffff,4.0,0.0,0.0
84a8403ffffffff,2.0,0.0,0.0
84a840dffffffff,48.0,0.0,0.0
84a8411ffffffff,5.0,0.0,0.0
84a842bffffffff,1.0,0.0,0.0
84a8441ffffffff,8.0,0.0,0.0
84a8443ffffffff,2.0,0.0,2.0
84a8447ffffffff,8.0,0.0,0.0
84a844dffffffff,20.0,0.0,2.0
84a8461ffffffff,7.0,0.0,0.0
84a8463ffffffff,55.0,0.0,2.0
84a8465ffffffff,6.0,0.0,0.0
84a8495ffffffff,1.0,0.0,0.0
84a84a5ffffffff,2.0,0.0,0.0
84a84d9ffffffff,6.0,0.0,0.0
84a850bffffffff,3.0,0.0,0.0
84a851bffffffff,4.0,0.0,0.0
84a8527ffffffff,2.0,0.0,0.0
84a855dffffffff,26.0,0.0,0.0
84a8591ffffffff,418.0,0.0,14.0
84a8599ffffffff,108.0,0.0,4.0
84a85b7ffffffff,3.0,0.0,0.0
84a85b9ffffffff,3.0,0.0,0.0
84a85d3ffffffff,131.0,0.0,11.0
84a85d7ffffffff,7.0,0.0,3.0
84a8605ffffffff,15.0,0.0,0.0
84a860dffffffff,29.0,0.0,0.0
84a8621ffffffff,2.0,0.0,0.0
84a8629ffffffff,5.0,0.0,0.0
84a8647ffffffff,2.0,0.0,0.0
84a8663ffffffff,4.0,0.0,0.0
84a8701ffffffff,5.0,0.0,0.0
84a870bffffffff,1.0,0.0,0.0
84a871bffffffff,3.0,0.0,0.0
84a8731ffffffff,1.0,0.0,0.0
84a8737ffffffff,11.0,0.0,0.0
84a8743ffffffff,2.0,0.0,0.0
84a8759ffffffff,13.0,0.0,0.0
84a8767ffffffff,2.0,0.0,0.0
84a876dffffffff,5.0,0.0,0.0
84a881bffffffff,6.0,0.0,0.0
84a8889ffffffff,2.0,0.0,0.0
84a8895ffffffff,10.0,0.0,0.0
84a88bbffffffff,11.0,0.0,0.0
84a88c1ffffffff,3.0,0.0,0.0
84a88d1ffffffff,1.0,0.0,0.0
84a88ddffffffff,12.0,0.0,4.0
84a88e9ffffffff,37.0,0.0,4.0
84a8a93ffffffff,3.0,0.0,0.0
84a8a99ffffffff,2.0,0.0,0.0
84a8ad3ffffffff,2.0,0.0,0.0
84a8ad9ffffffff,3.0,0.0,0.0
84a8c01ffffffff,6.0,0.0,0.0
84a8c03ffffffff,47.0,0.0,0.0
84a8c05ffffffff,42.0,0.0,0.0
84a8c07ffffffff,4.0,0.0,0.0
84a8c09ffffffff,12.0,0.0,0.0
84a8c0dffffffff,33.0,0.0,0.0
84a8c15ffffffff,2.0,0.0,0.0
84a8c23ffffffff,18.0,0.0,0.0
84a8c25ffffffff,49.0,0.0,14.0
84a8c2bffffffff,4.0,0.0,2.0
84a8c43ffffffff,2.0,0.0,0.0
84a8c47ffffffff,12.0,0.0,0.0
84a8c63ffffffff,10.0,0.0,0.0
84a8cd1ffffffff,2.0,0.0,0.0
84a8cebffffffff,5.0,0.0,3.0
84a8d01ffffffff,1.0,0.0,0.0
84a8d11ffffffff,4.0,0.0,0.0
84a8d19ffffffff,22.0,0.0,0.0
84a8d1bffffffff,35.0,0.0,0.0
84a8d37ffffffff,3.0,0.0,0.0
84a8d43ffffffff,12.0,0.0,0.0
84a8d47ffffffff,4.0,0.0,0.0
84a8d9dffffffff,2.0,0.0,0.0
84a8da1ffffffff,3.0,0.0,0.0
84a8da5ffffffff,1.0,0.0,0.0
84a8da9ffffffff,7.0,0.0,0.0
84a8dd7ffffffff,2.0,0.0,0.0
84a8dd9ffffffff,4.0,0.0,0.0
84a8de1ffffffff,9.0,0.0,2.0
84a8de3ffffffff,20.0,0.0,1.0
84a8de7ffffffff,6.0,0.0,1.0
84a8debffffffff,32.0,0.0,1.0
84a8e19ffffffff,3.0,0.0,0.0
84a8e61ffffffff,4.0,0.0,0.0
84a8e65ffffffff,4.0,0.0,1.0
84a8e6dffffffff,2.0,0.0,0.0
84a8ec9ffffffff,11.0,0.0,4.0
84a8ecdffffffff,2.0,0.0,0.0
84a8ee9ffffffff,2.0,0.0,0.0
84a8f0bffffffff,1.0,0.0,1.0
84a8f1bffffffff,1.0,0.0,1.0
84a8f41ffffffff,10.0,0.0,2.0
84a8f43ffffffff,1.0,0.0,0.0
84a8f45ffffffff,4.0,0.0,0.0
84a8f4bffffffff,1.0,0.0,0.0
84a8f4dffffffff,6.0,0.0,0.0
84a8f57ffffffff,6.0,0.0,0.0
84a8f63ffffffff,3.0,0.0,0.0
84a943dffffffff,3.0,0.0,0.0
84a95a5ffffffff,7.0,0.0,0.0
