cell_id,Turdus migratorius,Turdus migratorius nigrideus,Turdus migratorius [migratorius Group],Turdus migratorius confinis
8326e5fffffffff,38.0,0.0,0.0,0.0
8326e8fffffffff,2.0,0.0,0.0,0.0
8326e9fffffffff,2.0,0.0,0.0,0.0
8326edfffffffff,15.0,0.0,0.0,0.0
8326f1fffffffff,1.0,0.0,0.0,0.0
8326f2fffffffff,31.0,0.0,0.0,0.0
8326f4fffffffff,2.0,0.0,0.0,0.0
8326f6fffffffff,12.0,0.0,0.0,0.0
832708fffffffff,2.0,0.0,2.0,0.0
83270afffffffff,2.0,0.0,0.0,0.0
83270cfffffffff,1.0,0.0,1.0,0.0
83270dfffffffff,4.0,0.0,4.0,0.0
83270efffffffff,46.0,0.0,46.0,0.0
832711fffffffff,2.0,0.0,0.0,0.0
832713fffffffff,7.0,0.0,0.0,0.0
832718fffffffff,2.0,0.0,0.0,0.0
832719fffffffff,7.0,0.0,0.0,0.0
83271bfffffffff,2.0,0.0,0.0,0.0
83271cfffffffff,7.0,0.0,0.0,0.0
83271efffffffff,1.0,0.0,0.0,0.0
83272afffffffff,2.0,0.0,0.0,0.0
832740fffffffff,4.0,0.0,0.0,0.0
832741fffffffff,132.0,0.0,0.0,0.0
832742fffffffff,3.0,0.0,1.0,0.0
832743fffffffff,5.0,0.0,0.0,0.0
832744fffffffff,13.0,0.0,0.0,0.0
832745fffffffff,16.0,0.0,0.0,0.0
832746fffffffff,19.0,0.0,8.0,0.0
832748fffffffff,875.0,0.0,0.0,0.0
832749fffffffff,325.0,0.0,0.0,0.0
83274afffffffff,83.0,0.0,1.0,0.0
83274bfffffffff,92.0,0.0,1.0,0.0
83274cfffffffff,75.0,0.0,0.0,0.0
83274dfffffffff,447.0,0.0,0.0,0.0
83274efffffffff,96.0,0.0,0.0,0.0
832752fffffffff,4.0,0.0,0.0,0.0
832753fffffffff,2.0,0.0,0.0,0.0
832754fffffffff,4.0,0.0,0.0,0.0
832756fffffffff,54.0,0.0,1.0,0.0
832758fffffffff,25.0,0.0,0.0,0.0
832759fffffffff,87.0,0.0,69.0,0.0
83275afffffffff,4.0,0.0,0.0,0.0
83275cfffffffff,8.0,0.0,0.0,0.0
83275dfffffffff,22.0,0.0,1.0,0.0
83275efffffffff,3.0,0.0,0.0,0.0
832760fffffffff,37.0,0.0,37.0,0.0
832761fffffffff,15.0,0.0,15.0,0.0
832763fffffffff,59.0,0.0,19.0,0.0
832765fffffffff,4.0,0.0,4.0,0.0
832766fffffffff,7.0,0.0,7.0,0.0
832769fffffffff,124.0,0.0,122.0,0.0
83276afffffffff,77.0,0.0,0.0,0.0
83276bfffffffff,119.0,0.0,0.0,0.0
83276cfffffffff,59.0,0.0,59.0,0.0
83276dfffffffff,740.0,0.0,740.0,0.0
83276efffffffff,33.0,0.0,16.0,0.0
832770fffffffff,48.0,0.0,46.0,0.0
832771fffffffff,5.0,0.0,0.0,0.0
832772fffffffff,6.0,0.0,6.0,0.0
832773fffffffff,22.0,0.0,0.0,0.0
832774fffffffff,22.0,0.0,22.0,0.0
832775fffffffff,15.0,0.0,15.0,0.0
832776fffffffff,6.0,0.0,6.0,0.0
832780fffffffff,2.0,0.0,0.0,0.0
832786fffffffff,2.0,0.0,0.0,0.0
832788fffffffff,6.0,0.0,2.0,0.0
83278cfffffffff,16.0,0.0,0.0,0.0
832790fffffffff,3.0,0.0,0.0,0.0
832792fffffffff,4.0,0.0,0.0,0.0
832793fffffffff,2.0,0.0,0.0,0.0
832795fffffffff,9.0,0.0,0.0,0.0
832796fffffffff,1.0,0.0,0.0,0.0
832798fffffffff,5.0,0.0,2.0,0.0
83279afffffffff,3.0,0.0,0.0,0.0
83279dfffffffff,2.0,0.0,0.0,0.0
83279efffffffff,18.0,0.0,1.0,0.0
8327a0fffffffff,8.0,0.0,0.0,0.0
8327a2fffffffff,2.0,0.0,0.0,0.0
8327a5fffffffff,1.0,0.0,0.0,0.0
8327a6fffffffff,10.0,0.0,0.0,0.0
8327a8fffffffff,4.0,0.0,0.0,0.0
8327a9fffffffff,11.0,0.0,0.0,0.0
8327aafffffffff,26.0,0.0,0.0,0.0
8327abfffffffff,2.0,0.0,0.0,0.0
8327adfffffffff,5.0,0.0,0.0,0.0
8327aefffffffff,2.0,0.0,0.0,0.0
8327b0fffffffff,4.0,0.0,0.0,0.0
8327b1fffffffff,4.0,0.0,0.0,0.0
8327b2fffffffff,1.0,0.0,0.0,0.0
8327b6fffffffff,2.0,0.0,0.0,0.0
832802fffffffff,5.0,0.0,0.0,0.0
832806fffffffff,59.0,0.0,58.0,0.0
832810fffffffff,4.0,0.0,4.0,0.0
832811fffffffff,10.0,0.0,0.0,0.0
832812fffffffff,12.0,0.0,0.0,0.0
832813fffffffff,13.0,0.0,0.0,0.0
832814fffffffff,7.0,0.0,2.0,0.0
832815fffffffff,5.0,0.0,0.0,0.0
832816fffffffff,2.0,0.0,2.0,0.0
832818fffffffff,6.0,0.0,0.0,0.0
83281efffffffff,7.0,0.0,0.0,0.0
832830fffffffff,371.0,0.0,0.0,0.0
832831fffffffff,41.0,0.0,35.0,0.0
832832fffffffff,6.0,0.0,3.0,0.0
832833fffffffff,7.0,0.0,0.0,0.0
832834fffffffff,52.0,0.0,0.0,0.0
832835fffffffff,11.0,0.0,2.0,0.0
832836fffffffff,3756.0,0.0,0.0,0.0
832881fffffffff,2.0,0.0,0.0,0.0
832884fffffffff,5.0,0.0,0.0,0.0
832886fffffffff,7.0,0.0,0.0,0.0
832888fffffffff,15.0,0.0,9.0,0.0
832889fffffffff,1.0,0.0,0.0,0.0
83288afffffffff,5.0,0.0,0.0,0.0
83288efffffffff,2.0,0.0,0.0,0.0
832890fffffffff,24.0,0.0,0.0,0.0
832892fffffffff,17.0,0.0,2.0,0.0
832893fffffffff,32.0,0.0,0.0,0.0
832894fffffffff,9.0,0.0,0.0,0.0
832898fffffffff,22.0,0.0,1.0,0.0
83289bfffffffff,4.0,0.0,3.0,0.0
83289efffffffff,5.0,0.0,0.0,0.0
8328a1fffffffff,5.0,0.0,0.0,0.0
8328a4fffffffff,2.0,0.0,0.0,0.0
8328a9fffffffff,10.0,0.0,0.0,0.0
8328abfffffffff,1.0,0.0,0.0,0.0
8328acfffffffff,2.0,0.0,2.0,0.0
8328adfffffffff,2.0,0.0,1.0,0.0
8328aefffffffff,12.0,0.0,2.0,0.0
8328b0fffffffff,1.0,0.0,0.0,0.0
8328b1fffffffff,4.0,0.0,0.0,0.0
8328b2fffffffff,10.0,0.0,0.0,0.0
8328b3fffffffff,12.0,0.0,0.0,0.0
8328b6fffffffff,8.0,0.0,0.0,0.0
8328c6fffffffff,4.0,0.0,0.0,0.0
8328d1fffffffff,1.0,0.0,0.0,0.0
8328d3fffffffff,10.0,0.0,0.0,0.0
8328d4fffffffff,1.0,0.0,0.0,0.0
8328d6fffffffff,7.0,0.0,0.0,0.0
8328d8fffffffff,4.0,0.0,0.0,0.0
8328ddfffffffff,3.0,0.0,0.0,0.0
8328defffffffff,2.0,0.0,0.0,0.0
8328f0fffffffff,10.0,0.0,0.0,0.0
8328f1fffffffff,1.0,0.0,0.0,0.0
