cell_id,Cnemotriccus fuscatus,Cnemotriccus fuscatus duidae,Cnemotriccus fuscatus [fuscatus Group]
83a8c2fffffffff,27.0,0.0,2.0
83a8c3fffffffff,4.0,0.0,0.0
83a8c4fffffffff,6.0,0.0,0.0
83a8c6fffffffff,8.0,0.0,0.0
83a8c9fffffffff,1.0,0.0,0.0
83a8ccfffffffff,1.0,0.0,1.0
83a8cefffffffff,5.0,0.0,1.0
83a8d1fffffffff,53.0,0.0,0.0
83a8d4fffffffff,30.0,0.0,0.0
83a8d6fffffffff,2.0,0.0,0.0
83a8d9fffffffff,1.0,0.0,0.0
83a8dafffffffff,6.0,0.0,1.0
83a8ddfffffffff,2.0,0.0,0.0
83a8defffffffff,51.0,0.0,4.0
83a8e0fffffffff,1.0,0.0,0.0
83a8e1fffffffff,1.0,0.0,0.0
83a8e2fffffffff,1.0,0.0,0.0
83a8e4fffffffff,2.0,0.0,0.0
83a8e6fffffffff,9.0,0.0,1.0
83a8ecfffffffff,3.0,0.0,0.0
83a8eefffffffff,3.0,0.0,0.0
83a8f0fffffffff,4.0,0.0,0.0
83a8f4fffffffff,41.0,0.0,0.0
83a8f5fffffffff,8.0,0.0,0.0
83a8f6fffffffff,3.0,0.0,0.0
83a901fffffffff,3.0,0.0,0.0
83a90cfffffffff,2.0,0.0,0.0
83a918fffffffff,2.0,0.0,0.0
83a91bfffffffff,32.0,0.0,0.0
83a91dfffffffff,14.0,0.0,0.0
83a940fffffffff,6.0,0.0,0.0
83a941fffffffff,51.0,0.0,0.0
83a942fffffffff,27.0,0.0,0.0
83a943fffffffff,73.0,0.0,0.0
83a944fffffffff,24.0,0.0,0.0
83a945fffffffff,39.0,0.0,0.0
83a946fffffffff,100.0,0.0,0.0
83a94cfffffffff,20.0,0.0,0.0
83a94dfffffffff,7.0,0.0,0.0
83a94efffffffff,48.0,0.0,2.0
83a950fffffffff,10.0,0.0,0.0
83a951fffffffff,10.0,0.0,0.0
83a953fffffffff,500.0,0.0,0.0
83a955fffffffff,13.0,0.0,0.0
83a959fffffffff,1.0,0.0,0.0
83a95afffffffff,42.0,0.0,0.0
83a95bfffffffff,6.0,0.0,0.0
83a95cfffffffff,32.0,0.0,0.0
83a95dfffffffff,19.0,0.0,0.0
83a95efffffffff,28.0,0.0,0.0
83a961fffffffff,18.0,0.0,0.0
83a962fffffffff,23.0,0.0,0.0
83a963fffffffff,13.0,0.0,0.0
83a968fffffffff,15.0,0.0,0.0
83a96afffffffff,20.0,0.0,0.0
83a96bfffffffff,10.0,0.0,0.0
83a96cfffffffff,8.0,0.0,0.0
83a96efffffffff,15.0,0.0,0.0
83a971fffffffff,14.0,0.0,0.0
83a972fffffffff,2.0,0.0,0.0
83a973fffffffff,2.0,0.0,0.0
83a975fffffffff,2.0,0.0,0.0
83a976fffffffff,3.0,0.0,0.0
83b265fffffffff,1.0,0.0,0.0
83b274fffffffff,1.0,0.0,0.0
83b340fffffffff,3.0,0.0,0.0
83b342fffffffff,12.0,0.0,0.0
83b343fffffffff,9.0,0.0,0.0
83b34bfffffffff,6.0,0.0,0.0
83b34dfffffffff,2.0,0.0,0.0
83b351fffffffff,2.0,0.0,0.0
83b358fffffffff,37.0,0.0,0.0
83b35bfffffffff,9.0,0.0,0.0
83b35cfffffffff,27.0,0.0,0.0
83b35dfffffffff,3.0,0.0,0.0
83b35efffffffff,15.0,0.0,0.0
83b362fffffffff,2.0,0.0,0.0
83b363fffffffff,2.0,0.0,0.0
83b366fffffffff,5.0,0.0,0.0
83b369fffffffff,2.0,0.0,0.0
