cell_id,Campylorhynchus zonatus,Campylorhynchus zonatus [zonatus Group],Campylorhynchus zonatus costaricensis/panamensis,Campylorhynchus zonatus brevirostris/curvirostris
8445343ffffffff,11.0,0.0,0.0,0.0
8445349ffffffff,5.0,0.0,0.0,0.0
8445351ffffffff,101.0,0.0,0.0,0.0
8445355ffffffff,19.0,0.0,0.0,0.0
8445359ffffffff,5.0,0.0,0.0,0.0
844535bffffffff,4.0,0.0,0.0,0.0
8445649ffffffff,58.0,0.0,0.0,0.0
8449901ffffffff,19.0,0.0,0.0,0.0
8449903ffffffff,12.0,0.0,0.0,0.0
8449905ffffffff,16.0,0.0,0.0,0.0
8449907ffffffff,13.0,0.0,0.0,0.0
8449911ffffffff,2.0,0.0,0.0,0.0
8449913ffffffff,4.0,0.0,0.0,0.0
844991dffffffff,13.0,0.0,0.0,0.0
8449929ffffffff,17.0,0.0,0.0,0.0
844992bffffffff,9.0,0.0,0.0,0.0
8449939ffffffff,2.0,0.0,0.0,0.0
844993bffffffff,4.0,0.0,0.0,0.0
844993dffffffff,13.0,0.0,0.0,0.0
8449945ffffffff,3.0,0.0,0.0,0.0
8449961ffffffff,670.0,0.0,0.0,0.0
8449963ffffffff,2715.0,0.0,0.0,0.0
8449965ffffffff,1941.0,0.0,0.0,0.0
8449967ffffffff,220.0,0.0,0.0,0.0
8449969ffffffff,1367.0,0.0,0.0,0.0
844996bffffffff,70.0,0.0,0.0,0.0
844996dffffffff,23.0,0.0,0.0,0.0
8449987ffffffff,38.0,0.0,0.0,0.0
84499c5ffffffff,31.0,0.0,0.0,0.0
84499e9ffffffff,6.0,0.0,0.0,0.0
84499edffffffff,1.0,0.0,0.0,0.0
8466005ffffffff,6.0,0.0,0.0,0.0
8466007ffffffff,2.0,0.0,0.0,0.0
8466009ffffffff,1.0,0.0,0.0,0.0
8466021ffffffff,2.0,0.0,0.0,0.0
8466027ffffffff,3.0,0.0,0.0,0.0
8466029ffffffff,8.0,0.0,0.0,0.0
846602bffffffff,2.0,0.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0,0.0
8466045ffffffff,57.0,0.0,0.0,0.0
8466047ffffffff,4.0,0.0,0.0,0.0
8466055ffffffff,12.0,0.0,0.0,0.0
8466059ffffffff,2.0,0.0,0.0,0.0
8466061ffffffff,2.0,0.0,0.0,0.0
8466063ffffffff,2.0,0.0,0.0,0.0
8466067ffffffff,36.0,0.0,0.0,0.0
846606bffffffff,20.0,0.0,0.0,0.0
8466081ffffffff,2.0,0.0,0.0,0.0
8466085ffffffff,12.0,0.0,0.0,0.0
8466089ffffffff,1.0,0.0,0.0,0.0
846608dffffffff,246.0,0.0,0.0,0.0
84660a1ffffffff,3.0,0.0,0.0,0.0
84660a3ffffffff,16.0,0.0,0.0,0.0
84660a5ffffffff,8.0,0.0,0.0,0.0
84660a7ffffffff,13.0,0.0,0.0,0.0
84660abffffffff,4.0,0.0,0.0,0.0
84660adffffffff,1.0,0.0,0.0,0.0
84660e1ffffffff,4.0,0.0,0.0,0.0
84660e3ffffffff,2.0,0.0,0.0,0.0
84660e7ffffffff,5.0,0.0,0.0,0.0
84660e9ffffffff,7.0,0.0,0.0,0.0
84660ebffffffff,2.0,0.0,0.0,0.0
846611bffffffff,2.0,0.0,0.0,0.0
8466153ffffffff,1.0,0.0,0.0,0.0
8466183ffffffff,7.0,0.0,0.0,0.0
8466191ffffffff,91.0,0.0,0.0,0.0
8466193ffffffff,335.0,0.0,0.0,0.0
8466197ffffffff,65.0,0.0,0.0,0.0
8466199ffffffff,73.0,0.0,0.0,0.0
846619bffffffff,836.0,0.0,0.0,0.0
846619dffffffff,3.0,0.0,0.0,0.0
84661c9ffffffff,2.0,0.0,0.0,0.0
84661d3ffffffff,11.0,0.0,0.0,0.0
84661d7ffffffff,11.0,0.0,0.0,0.0
8466217ffffffff,6.0,0.0,0.0,0.0
8466219ffffffff,4.0,0.0,0.0,0.0
8466221ffffffff,25.0,0.0,0.0,0.0
8466225ffffffff,2.0,0.0,0.0,0.0
8466227ffffffff,4.0,0.0,0.0,0.0
846622bffffffff,4.0,0.0,0.0,0.0
84662e5ffffffff,3.0,0.0,0.0,0.0
8466311ffffffff,4.0,0.0,0.0,0.0
8466313ffffffff,17.0,0.0,0.0,0.0
846631bffffffff,12.0,0.0,0.0,0.0
8466b49ffffffff,258.0,0.0,0.0,0.0
8466b4dffffffff,397.0,0.0,0.0,0.0
8466b59ffffffff,32.0,0.0,0.0,0.0
8466b5bffffffff,97.0,0.0,0.0,0.0
8466d01ffffffff,4.0,0.0,0.0,0.0
8466d05ffffffff,2.0,0.0,0.0,0.0
8466d07ffffffff,15.0,0.0,0.0,0.0
8466d21ffffffff,2.0,0.0,0.0,0.0
8466d23ffffffff,26.0,0.0,0.0,0.0
8466d25ffffffff,4.0,0.0,0.0,0.0
8466d27ffffffff,24.0,0.0,0.0,0.0
8466d31ffffffff,57.0,0.0,0.0,0.0
8466d35ffffffff,488.0,0.0,0.0,0.0
8466d37ffffffff,26.0,0.0,0.0,0.0
8466d3dffffffff,6.0,0.0,0.0,0.0
8466e01ffffffff,9.0,0.0,0.0,0.0
8466e09ffffffff,2.0,0.0,0.0,0.0
8466e0dffffffff,160.0,0.0,0.0,0.0
8466e41ffffffff,558.0,0.0,0.0,0.0
8466e45ffffffff,151.0,0.0,0.0,0.0
8466e47ffffffff,256.0,0.0,0.0,0.0
8466e49ffffffff,226.0,0.0,0.0,0.0
8466e4dffffffff,27.0,0.0,0.0,0.0
8466e63ffffffff,1.0,0.0,0.0,0.0
8466e69ffffffff,111.0,0.0,0.0,0.0
8466e6bffffffff,12.0,0.0,0.0,0.0
84679a1ffffffff,15.0,0.0,0.0,0.0
84679a3ffffffff,3.0,0.0,0.0,0.0
84679a5ffffffff,1045.0,0.0,0.0,0.0
84679a7ffffffff,62.0,0.0,0.0,0.0
84679adffffffff,19.0,0.0,0.0,0.0
84679b5ffffffff,30.0,0.0,0.0,0.0
84679b7ffffffff,99.0,0.0,0.0,0.0
846d041ffffffff,3.0,0.0,0.0,0.0
846d04bffffffff,2.0,0.0,0.0,0.0
846d05bffffffff,5.0,0.0,0.0,0.0
846d201ffffffff,15.0,0.0,0.0,0.0
846d203ffffffff,9.0,0.0,0.0,0.0
846d207ffffffff,50.0,0.0,0.0,0.0
846d209ffffffff,14.0,0.0,0.0,0.0
846d20bffffffff,4.0,0.0,0.0,0.0
846d20dffffffff,144.0,0.0,0.0,0.0
846d211ffffffff,3.0,0.0,0.0,0.0
846d215ffffffff,2.0,0.0,0.0,0.0
846d217ffffffff,13.0,0.0,0.0,0.0
846d219ffffffff,2.0,0.0,0.0,0.0
846d21bffffffff,14.0,0.0,0.0,0.0
846d21dffffffff,29.0,0.0,0.0,0.0
846d223ffffffff,37.0,0.0,0.0,0.0
846d22bffffffff,15.0,0.0,0.0,0.0
846d231ffffffff,5.0,0.0,0.0,0.0
846d235ffffffff,3.0,0.0,0.0,0.0
846d239ffffffff,21.0,0.0,0.0,0.0
846d23bffffffff,906.0,0.0,0.0,0.0
846d23dffffffff,329.0,0.0,0.0,0.0
846d243ffffffff,12.0,0.0,0.0,0.0
846d247ffffffff,16.0,0.0,0.0,0.0
846d24bffffffff,36.0,0.0,0.0,0.0
846d251ffffffff,17.0,0.0,0.0,0.0
846d253ffffffff,17.0,0.0,0.0,0.0
846d255ffffffff,57.0,0.0,0.0,0.0
846d257ffffffff,10.0,0.0,0.0,0.0
846d25dffffffff,60.0,0.0,0.0,0.0
846d261ffffffff,2.0,0.0,0.0,0.0
846d263ffffffff,3.0,0.0,0.0,0.0
846d267ffffffff,6.0,0.0,0.0,0.0
846d26bffffffff,13.0,0.0,0.0,0.0
846d281ffffffff,62.0,0.0,0.0,0.0
846d283ffffffff,2168.0,0.0,0.0,0.0
846d285ffffffff,35.0,0.0,0.0,0.0
846d287ffffffff,283.0,0.0,0.0,0.0
846d289ffffffff,26.0,0.0,0.0,0.0
846d28bffffffff,10.0,0.0,0.0,0.0
846d28dffffffff,24.0,0.0,0.0,0.0
846d291ffffffff,1992.0,0.0,0.0,0.0
846d293ffffffff,4.0,0.0,0.0,0.0
846d295ffffffff,1027.0,0.0,0.0,0.0
846d297ffffffff,12.0,0.0,0.0,0.0
846d299ffffffff,159.0,0.0,0.0,0.0
846d29bffffffff,47.0,0.0,0.0,0.0
846d29dffffffff,6.0,0.0,0.0,0.0
846d2a9ffffffff,319.0,0.0,0.0,0.0
846d2abffffffff,140.0,0.0,0.0,0.0
846d2b9ffffffff,1352.0,0.0,0.0,0.0
846d2bdffffffff,2.0,0.0,0.0,0.0
846d2c1ffffffff,13.0,0.0,0.0,0.0
846d2c3ffffffff,31.0,0.0,0.0,0.0
846d2c7ffffffff,14.0,0.0,0.0,0.0
846d2c9ffffffff,144.0,0.0,0.0,0.0
846d2cbffffffff,19.0,0.0,0.0,0.0
846d2cdffffffff,6.0,0.0,0.0,0.0
846d2d1ffffffff,751.0,0.0,0.0,0.0
846d2d3ffffffff,222.0,0.0,0.0,0.0
846d2d5ffffffff,15.0,0.0,0.0,0.0
846d2d7ffffffff,2568.0,0.0,0.0,0.0
846d2d9ffffffff,18.0,0.0,0.0,0.0
846d2dbffffffff,4.0,0.0,0.0,0.0
846d2ddffffffff,20.0,0.0,0.0,0.0
846d2e3ffffffff,51.0,0.0,0.0,0.0
846d2e7ffffffff,8.0,0.0,0.0,0.0
846d2e9ffffffff,21.0,0.0,0.0,0.0
846d2ebffffffff,100.0,0.0,0.0,0.0
846d301ffffffff,2.0,0.0,0.0,0.0
846d303ffffffff,20.0,0.0,0.0,0.0
846d305ffffffff,19.0,0.0,0.0,0.0
846d307ffffffff,4.0,0.0,0.0,0.0
846d309ffffffff,1.0,0.0,0.0,0.0
846d30bffffffff,2.0,0.0,0.0,0.0
846d30dffffffff,498.0,0.0,0.0,0.0
846d311ffffffff,15.0,0.0,0.0,0.0
846d315ffffffff,6.0,0.0,0.0,0.0
846d319ffffffff,141.0,0.0,0.0,0.0
846d31bffffffff,4.0,0.0,0.0,0.0
846d341ffffffff,66.0,0.0,0.0,0.0
846d345ffffffff,4.0,0.0,0.0,0.0
846d347ffffffff,30.0,0.0,0.0,0.0
846d34bffffffff,64.0,0.0,0.0,0.0
846d34dffffffff,1348.0,0.0,0.0,0.0
846d351ffffffff,2.0,0.0,0.0,0.0
846d357ffffffff,6.0,0.0,0.0,0.0
846d35bffffffff,1562.0,0.0,0.0,0.0
846d35dffffffff,333.0,0.0,0.0,0.0
846d361ffffffff,4.0,0.0,0.0,0.0
846d369ffffffff,33.0,0.0,0.0,0.0
846d36bffffffff,7.0,0.0,0.0,0.0
846d36dffffffff,46.0,0.0,0.0,0.0
846d609ffffffff,70.0,0.0,0.0,0.0
846d619ffffffff,3.0,0.0,0.0,0.0
846d61bffffffff,2.0,0.0,0.0,0.0
846d641ffffffff,26.0,0.0,0.0,0.0
846d643ffffffff,16.0,0.0,0.0,0.0
846d645ffffffff,1034.0,0.0,0.0,0.0
846d64bffffffff,151.0,0.0,0.0,0.0
846d64dffffffff,51.0,0.0,0.0,0.0
846d651ffffffff,803.0,0.0,0.0,0.0
846d653ffffffff,608.0,0.0,0.0,0.0
846d655ffffffff,290.0,0.0,0.0,0.0
846d657ffffffff,109.0,0.0,0.0,0.0
846d659ffffffff,14.0,0.0,0.0,0.0
846d65bffffffff,29.0,0.0,0.0,0.0
846d65dffffffff,74.0,0.0,0.0,0.0
846d669ffffffff,3.0,0.0,0.0,0.0
846d66dffffffff,26.0,0.0,0.0,0.0
846d681ffffffff,12.0,0.0,0.0,0.0
846d683ffffffff,3.0,0.0,0.0,0.0
846d68bffffffff,44.0,0.0,0.0,0.0
846d691ffffffff,23.0,0.0,0.0,0.0
846d699ffffffff,29.0,0.0,0.0,0.0
846d69bffffffff,285.0,0.0,0.0,0.0
846d69dffffffff,1758.0,0.0,0.0,0.0
846d6d3ffffffff,11.0,0.0,0.0,0.0
846d6d7ffffffff,6.0,0.0,0.0,0.0
846d741ffffffff,4.0,0.0,0.0,0.0
846d749ffffffff,10.0,0.0,0.0,0.0
848f2c3ffffffff,17.0,0.0,0.0,0.0
848f2c9ffffffff,5.0,0.0,0.0,0.0
848f2cbffffffff,16.0,0.0,0.0,0.0
