cell_id,Buteogallus anthracinus,Buteogallus anthracinus anthracinus,Buteogallus anthracinus [subtilis Group]
846d34dffffffff,1.0,0.0,0.0
846d35dffffffff,10.0,0.0,0.0
846d60dffffffff,1.0,0.0,0.0
846d663ffffffff,6.0,0.0,0.0
846d683ffffffff,4.0,0.0,4.0
846d685ffffffff,4.0,0.0,4.0
846d687ffffffff,4.0,0.0,4.0
846d68bffffffff,11.0,0.0,0.0
846d68dffffffff,1.0,0.0,1.0
846d693ffffffff,1.0,0.0,0.0
846d695ffffffff,30.0,0.0,28.0
846d697ffffffff,249.0,0.0,237.0
846d69dffffffff,2.0,0.0,0.0
846d6abffffffff,27.0,0.0,25.0
846d6b1ffffffff,3.0,0.0,3.0
846d6b9ffffffff,7.0,0.0,7.0
846d6d5ffffffff,2.0,0.0,0.0
846d745ffffffff,2.0,0.0,0.0
846d751ffffffff,1.0,0.0,1.0
848f0ddffffffff,1.0,0.0,1.0
