cell_id,Calidris alpina,Calidris alpina pacifica/arcticola,Calidris alpina hudsonia,Calidris alpina arctica,Calidris alpina schinzii,Calidris alpina alpina/centralis,Calidris alpina [sakhalina Group]
821f67fffffffff,145.0,0.0,0.0,0.0,0.0,0.0,0.0
821f77fffffffff,474.0,0.0,0.0,0.0,0.0,0.0,0.0
821f87fffffffff,236.0,0.0,0.0,0.0,0.0,0.0,0.0
821f8ffffffffff,245.0,0.0,0.0,0.0,0.0,0.0,0.0
821f97fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
821f9ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
821fa7fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
821faffffffffff,232.0,0.0,0.0,0.0,0.0,0.0,0.0
821fb7fffffffff,99.0,0.0,0.0,0.0,0.0,0.0,0.0
822017fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
822037fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82204ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8220a7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8220e7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8220f7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82214ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822157fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
82219ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8221a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8221b7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8222dffffffffff,268.0,0.0,0.0,0.0,0.0,0.0,0.0
8222effffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
822407fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
822427fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82242ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
822437fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
822477fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
822507fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
822517fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
82255ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8225affffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,145.0,0.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,451.0,0.0,0.0,0.0,0.0,0.0,0.0
822617fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82261ffffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
822627fffffffff,606.0,0.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,486.0,0.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,145.0,0.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,680.0,0.0,0.0,0.0,0.0,0.0,0.0
82264ffffffffff,675.0,0.0,0.0,0.0,0.0,0.0,0.0
822657fffffffff,586.0,0.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,418.0,0.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,1744.0,0.0,0.0,0.0,0.0,0.0,0.0
82266ffffffffff,849.0,0.0,0.0,0.0,0.0,0.0,0.0
822677fffffffff,327.0,0.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,91.0,0.0,0.0,0.0,0.0,0.0,0.0
8226b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8226c7fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,330.0,0.0,0.0,0.0,0.0,0.0,0.0
8226dffffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,517.0,0.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,92.0,0.0,0.0,0.0,0.0,0.0,0.0
822707fffffffff,392.0,0.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
822717fffffffff,224.0,0.0,0.0,0.0,0.0,0.0,0.0
82271ffffffffff,325.0,0.0,0.0,0.0,0.0,0.0,0.0
822747fffffffff,729.0,0.0,0.0,0.0,0.0,0.0,0.0
82274ffffffffff,2005.0,0.0,0.0,0.0,0.0,0.0,0.0
822757fffffffff,764.0,0.0,0.0,0.0,0.0,0.0,0.0
82275ffffffffff,2778.0,0.0,0.0,0.0,0.0,0.0,0.0
822767fffffffff,457.0,0.0,0.0,0.0,0.0,0.0,0.0
82276ffffffffff,1776.0,0.0,0.0,0.0,0.0,0.0,0.0
822777fffffffff,127.0,0.0,0.0,0.0,0.0,0.0,0.0
822787fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
82279ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
