cell_id,Catharus aurantiirostris,Catharus aurantiirostris [melpomene Group],Catharus aurantiirostris [griseiceps Group],Catharus aurantiirostris [aurantiirostris Group]
8466e09ffffffff,1.0,0.0,0.0,0.0
8466e0bffffffff,3.0,0.0,0.0,0.0
8466e0dffffffff,8.0,0.0,0.0,0.0
8466e41ffffffff,2.0,0.0,0.0,0.0
8466e47ffffffff,3.0,0.0,0.0,0.0
8466e51ffffffff,6.0,0.0,0.0,0.0
8466e59ffffffff,94.0,0.0,0.0,0.0
8466e5dffffffff,4.0,0.0,0.0,0.0
8466e61ffffffff,29.0,0.0,0.0,0.0
8466e63ffffffff,4.0,0.0,0.0,0.0
8466e65ffffffff,1056.0,0.0,0.0,0.0
8466e67ffffffff,25.0,0.0,0.0,0.0
8466e69ffffffff,65.0,0.0,0.0,0.0
8466e6bffffffff,2.0,0.0,0.0,0.0
8466e6dffffffff,1455.0,0.0,0.0,0.0
8466f0bffffffff,4.0,0.0,0.0,0.0
8466f11ffffffff,4.0,0.0,0.0,0.0
8466f13ffffffff,3.0,0.0,0.0,0.0
8466f15ffffffff,52.0,0.0,0.0,0.0
8466f17ffffffff,15.0,0.0,0.0,0.0
8466f19ffffffff,115.0,0.0,0.0,0.0
8466f1dffffffff,400.0,0.0,0.0,0.0
8466f33ffffffff,2.0,0.0,0.0,0.0
8466f3bffffffff,1.0,0.0,0.0,0.0
8466f53ffffffff,66.0,0.0,0.0,0.0
8466f57ffffffff,78.0,0.0,0.0,0.0
8466f59ffffffff,29.0,0.0,0.0,0.0
8466f5bffffffff,126.0,0.0,0.0,0.0
8466f5dffffffff,1.0,0.0,0.0,0.0
8467413ffffffff,307.0,0.0,0.0,0.0
8467417ffffffff,106.0,0.0,0.0,2.0
8467433ffffffff,13.0,0.0,0.0,0.0
8467437ffffffff,4.0,0.0,0.0,0.0
846743bffffffff,2.0,0.0,0.0,0.0
84674c5ffffffff,215.0,0.0,0.0,6.0
84674c7ffffffff,6.0,0.0,0.0,0.0
84674cdffffffff,5.0,0.0,0.0,0.0
84674e5ffffffff,8.0,0.0,0.0,0.0
84674e9ffffffff,462.0,0.0,0.0,2.0
84674ebffffffff,28.0,0.0,0.0,0.0
84674edffffffff,40.0,0.0,0.0,0.0
8467519ffffffff,16.0,0.0,0.0,0.0
8467531ffffffff,2.0,0.0,0.0,0.0
846758dffffffff,1.0,0.0,0.0,0.0
84675a9ffffffff,2.0,0.0,0.0,0.0
84675abffffffff,2.0,0.0,0.0,0.0
84675adffffffff,6.0,0.0,0.0,0.0
84675c1ffffffff,4.0,0.0,0.0,0.0
84675c7ffffffff,6.0,0.0,0.0,0.0
84675cbffffffff,10.0,0.0,0.0,0.0
84675ddffffffff,5.0,0.0,0.0,0.0
84675e3ffffffff,28.0,0.0,0.0,0.0
84675e7ffffffff,2.0,0.0,0.0,0.0
84675ebffffffff,53.0,0.0,0.0,0.0
846d04bffffffff,3.0,0.0,0.0,0.0
846d059ffffffff,58.0,5.0,0.0,0.0
846d05bffffffff,280.0,107.0,0.0,0.0
846d14bffffffff,2.0,1.0,0.0,0.0
846d207ffffffff,17.0,2.0,0.0,0.0
846d217ffffffff,7.0,1.0,0.0,0.0
846d223ffffffff,8.0,0.0,0.0,0.0
846d231ffffffff,16.0,4.0,0.0,0.0
846d237ffffffff,4.0,0.0,0.0,0.0
846d239ffffffff,87.0,16.0,0.0,0.0
846d23bffffffff,15.0,1.0,0.0,0.0
846d23dffffffff,60.0,5.0,0.0,0.0
846d281ffffffff,14.0,0.0,0.0,0.0
846d283ffffffff,836.0,15.0,0.0,0.0
846d285ffffffff,3.0,3.0,0.0,0.0
846d287ffffffff,64.0,8.0,0.0,0.0
846d289ffffffff,2.0,0.0,0.0,0.0
846d28bffffffff,3.0,0.0,0.0,0.0
846d28dffffffff,2.0,0.0,0.0,0.0
846d291ffffffff,754.0,93.0,0.0,0.0
846d295ffffffff,377.0,6.0,0.0,0.0
846d297ffffffff,27.0,5.0,0.0,0.0
846d299ffffffff,34.0,0.0,0.0,0.0
846d29bffffffff,20.0,0.0,0.0,0.0
846d29dffffffff,2.0,0.0,0.0,0.0
846d2a9ffffffff,153.0,10.0,0.0,0.0
846d2abffffffff,76.0,17.0,0.0,0.0
846d2adffffffff,3.0,0.0,0.0,0.0
846d2b9ffffffff,1084.0,43.0,0.0,0.0
846d2c7ffffffff,18.0,0.0,0.0,0.0
846d2d1ffffffff,453.0,71.0,0.0,0.0
846d2d3ffffffff,219.0,72.0,0.0,0.0
846d2d5ffffffff,5.0,0.0,0.0,0.0
846d2d7ffffffff,2076.0,1207.0,0.0,0.0
846d2dbffffffff,1.0,0.0,0.0,0.0
846d2ddffffffff,2.0,0.0,0.0,0.0
846d2e3ffffffff,21.0,0.0,0.0,0.0
846d2e5ffffffff,50.0,24.0,0.0,0.0
846d2e7ffffffff,4.0,0.0,0.0,0.0
846d2e9ffffffff,38.0,1.0,0.0,0.0
846d2ebffffffff,38.0,7.0,0.0,0.0
846d303ffffffff,16.0,0.0,0.0,0.0
846d305ffffffff,191.0,9.0,0.0,0.0
846d307ffffffff,52.0,2.0,0.0,0.0
846d30dffffffff,11.0,0.0,0.0,0.0
846d321ffffffff,2.0,0.0,0.0,0.0
846d32bffffffff,1035.0,156.0,0.0,0.0
846d335ffffffff,79.0,39.0,0.0,0.0
846d337ffffffff,95.0,23.0,0.0,0.0
846d33dffffffff,7.0,0.0,0.0,0.0
846d361ffffffff,10.0,0.0,0.0,0.0
846d363ffffffff,11.0,0.0,0.0,0.0
846d369ffffffff,2.0,0.0,0.0,0.0
846d36dffffffff,55.0,4.0,0.0,0.0
846d609ffffffff,68.0,0.0,0.0,0.0
846d613ffffffff,5.0,0.0,0.0,0.0
846d617ffffffff,461.0,9.0,0.0,0.0
846d61bffffffff,13.0,0.0,0.0,0.0
846d641ffffffff,34.0,0.0,0.0,0.0
846d643ffffffff,3.0,0.0,0.0,0.0
846d645ffffffff,1581.0,0.0,0.0,0.0
846d647ffffffff,4.0,0.0,0.0,0.0
846d64bffffffff,26.0,0.0,0.0,0.0
846d64dffffffff,47.0,0.0,0.0,0.0
846d651ffffffff,779.0,0.0,0.0,0.0
846d653ffffffff,107.0,0.0,0.0,0.0
846d655ffffffff,153.0,6.0,0.0,0.0
846d657ffffffff,39.0,0.0,0.0,0.0
846d659ffffffff,5.0,0.0,0.0,0.0
846d65bffffffff,4.0,0.0,0.0,0.0
846d65dffffffff,23.0,5.0,0.0,0.0
846d665ffffffff,8.0,0.0,0.0,0.0
846d669ffffffff,6.0,0.0,0.0,0.0
846d66dffffffff,144.0,0.0,0.0,0.0
846d683ffffffff,2.0,0.0,0.0,0.0
846d691ffffffff,1970.0,0.0,0.0,0.0
846d693ffffffff,278.0,0.0,0.0,0.0
846d695ffffffff,18.0,0.0,0.0,0.0
846d697ffffffff,14.0,0.0,0.0,0.0
846d69bffffffff,800.0,0.0,0.0,0.0
846d69dffffffff,1910.0,0.0,0.0,0.0
846d6b9ffffffff,56.0,0.0,0.0,0.0
846d6bbffffffff,687.0,0.0,0.0,0.0
846d6bdffffffff,8.0,0.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0,0.0
846d6d5ffffffff,2.0,0.0,0.0,0.0
846d6e9ffffffff,13.0,0.0,0.0,0.0
846d741ffffffff,272.0,0.0,0.0,0.0
846d743ffffffff,18.0,0.0,0.0,0.0
846d745ffffffff,31.0,0.0,0.0,0.0
846d749ffffffff,66.0,0.0,0.0,0.0
846d74bffffffff,121.0,0.0,0.0,0.0
846d74dffffffff,1.0,0.0,0.0,0.0
846d759ffffffff,5.0,0.0,0.0,0.0
846d75bffffffff,1.0,0.0,0.0,0.0
846d75dffffffff,4.0,0.0,0.0,0.0
