cell_id,Alectura lathami,Alectura lathami purpureicollis,Alectura lathami lathami
849d0bdffffffff,29.0,0.0,0.0
849d0c1ffffffff,3.0,0.0,0.0
849d0c5ffffffff,9.0,0.0,0.0
849d0c7ffffffff,2.0,0.0,0.0
849d0cdffffffff,135.0,0.0,0.0
849d0e1ffffffff,13.0,0.0,0.0
849d0e3ffffffff,11.0,0.0,0.0
849d0e9ffffffff,10.0,0.0,0.0
849d0edffffffff,2.0,0.0,0.0
849d211ffffffff,5.0,0.0,0.0
849d213ffffffff,2.0,0.0,0.0
849d215ffffffff,7.0,0.0,0.0
849d217ffffffff,12.0,0.0,0.0
849d21dffffffff,150.0,0.0,0.0
849d233ffffffff,2.0,0.0,0.0
849d23bffffffff,15.0,0.0,0.0
849d24bffffffff,55.0,0.0,0.0
849d251ffffffff,2.0,0.0,0.0
849d255ffffffff,38.0,0.0,0.0
849d257ffffffff,17.0,0.0,0.0
849d2a5ffffffff,8.0,0.0,0.0
849d2adffffffff,11.0,0.0,0.0
849d2e7ffffffff,3.0,0.0,0.0
84be085ffffffff,12.0,0.0,0.0
84be087ffffffff,36.0,0.0,0.0
84be089ffffffff,907.0,0.0,0.0
84be08dffffffff,11.0,0.0,0.0
84be0a9ffffffff,58.0,0.0,0.0
84be0adffffffff,47.0,0.0,0.0
84be0d5ffffffff,4.0,0.0,0.0
84be0e3ffffffff,619.0,0.0,0.0
84be0e7ffffffff,99.0,0.0,0.0
84be181ffffffff,24.0,0.0,0.0
84be183ffffffff,14.0,0.0,0.0
84be185ffffffff,2.0,0.0,0.0
84be187ffffffff,5.0,0.0,0.0
84be189ffffffff,1.0,0.0,0.0
84be18bffffffff,89.0,0.0,0.0
84be18dffffffff,60.0,0.0,0.0
84be199ffffffff,83.0,0.0,0.0
84be19dffffffff,10.0,0.0,0.0
84be1a1ffffffff,130.0,0.0,0.0
84be1a3ffffffff,88.0,0.0,0.0
84be1a5ffffffff,31.0,0.0,0.0
84be1a7ffffffff,2.0,0.0,0.0
84be1a9ffffffff,1.0,0.0,0.0
84be1abffffffff,4.0,0.0,0.0
84be1bdffffffff,2.0,0.0,0.0
84be1d1ffffffff,61.0,0.0,0.0
84be1d5ffffffff,41.0,0.0,0.0
84be1d7ffffffff,6.0,0.0,0.0
84be1dbffffffff,21.0,0.0,0.0
84be881ffffffff,2.0,0.0,0.0
84be883ffffffff,50.0,0.0,0.0
84be887ffffffff,212.0,0.0,0.0
84be88bffffffff,592.0,0.0,0.0
84be891ffffffff,10.0,0.0,0.0
84be895ffffffff,7.0,0.0,0.0
84be897ffffffff,6.0,0.0,0.0
84be899ffffffff,4.0,0.0,0.0
84be89bffffffff,144.0,0.0,0.0
84be89dffffffff,126.0,0.0,0.0
84be8a3ffffffff,2.0,0.0,0.0
84be8b1ffffffff,9.0,0.0,0.0
84be8b5ffffffff,4.0,0.0,0.0
84be8b7ffffffff,54.0,0.0,0.0
84be8b9ffffffff,1.0,0.0,0.0
84be8bdffffffff,35.0,0.0,0.0
84be8d1ffffffff,3931.0,0.0,0.0
84be8d3ffffffff,72.0,0.0,0.0
84be8d5ffffffff,216.0,0.0,0.0
84be8d7ffffffff,306.0,0.0,0.0
84be8d9ffffffff,3266.0,0.0,0.0
84be8dbffffffff,383.0,0.0,0.0
84be8ddffffffff,129.0,0.0,0.0
84bea91ffffffff,48.0,0.0,0.0
84bea95ffffffff,188.0,0.0,0.0
84bea97ffffffff,39.0,0.0,0.0
84bea9bffffffff,8.0,0.0,0.0
84beab1ffffffff,15.0,0.0,0.0
84beab3ffffffff,2469.0,0.0,0.0
84beab7ffffffff,2.0,0.0,0.0
84beabbffffffff,558.0,0.0,0.0
84bed07ffffffff,2.0,0.0,0.0
84bededffffffff,2.0,0.0,0.0
84bef05ffffffff,5.0,0.0,0.0
84bef0dffffffff,1.0,0.0,0.0
84bef25ffffffff,14.0,0.0,0.0
84bef2dffffffff,115.0,0.0,0.0
84bef3dffffffff,2.0,0.0,0.0
84bef41ffffffff,2.0,0.0,0.0
84bef61ffffffff,6.0,0.0,0.0
84bef65ffffffff,1.0,0.0,0.0
84bef67ffffffff,41.0,0.0,0.0
84bef69ffffffff,6.0,0.0,0.0
84bef6dffffffff,116.0,0.0,0.0
