cell_id,Ramphocelus passerinii,Ramphocelus passerinii passerinii,Ramphocelus passerinii costaricensis
8466b5dffffffff,331.0,0.0,4.0
8466b69ffffffff,205.0,0.0,109.0
8467909ffffffff,7.0,7.0,0.0
846790bffffffff,16.0,16.0,0.0
846790dffffffff,66.0,32.0,0.0
8467915ffffffff,8.0,8.0,0.0
846791dffffffff,1.0,0.0,0.0
8467921ffffffff,11.0,3.0,0.0
8467923ffffffff,6.0,0.0,0.0
8467925ffffffff,7.0,2.0,0.0
8467927ffffffff,3.0,1.0,0.0
8467929ffffffff,7.0,0.0,0.0
846792dffffffff,50.0,5.0,0.0
8467931ffffffff,12.0,2.0,0.0
8467933ffffffff,19.0,12.0,0.0
8467935ffffffff,1.0,1.0,0.0
8467937ffffffff,16.0,8.0,0.0
8467939ffffffff,2.0,0.0,0.0
846793bffffffff,25.0,24.0,0.0
846793dffffffff,2.0,0.0,0.0
8467941ffffffff,3.0,1.0,0.0
8467945ffffffff,71.0,4.0,0.0
8467947ffffffff,8.0,0.0,0.0
8467949ffffffff,11.0,11.0,0.0
846794bffffffff,6.0,4.0,0.0
846794dffffffff,5.0,5.0,0.0
8467961ffffffff,93.0,30.0,0.0
8467963ffffffff,38.0,4.0,0.0
8467965ffffffff,4.0,0.0,0.0
8467967ffffffff,3.0,3.0,0.0
8467969ffffffff,39.0,4.0,0.0
846796bffffffff,7.0,4.0,0.0
84679a1ffffffff,340.0,116.0,0.0
84679a3ffffffff,127.0,26.0,0.0
84679a5ffffffff,6845.0,1056.0,0.0
84679a7ffffffff,1303.0,309.0,0.0
84679adffffffff,195.0,55.0,0.0
84679b3ffffffff,450.0,271.0,0.0
84679b5ffffffff,503.0,231.0,0.0
84679b7ffffffff,1468.0,361.0,0.0
84679e5ffffffff,3.0,3.0,0.0
8467b27ffffffff,3.0,2.0,0.0
846d203ffffffff,19.0,12.0,0.0
846d205ffffffff,2.0,2.0,0.0
846d219ffffffff,6.0,4.0,0.0
846d21bffffffff,68.0,38.0,0.0
846d21dffffffff,122.0,75.0,0.0
846d221ffffffff,3.0,1.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d229ffffffff,1.0,1.0,0.0
846d22dffffffff,2.0,2.0,0.0
846d23dffffffff,3.0,2.0,0.0
846d257ffffffff,10.0,3.0,0.0
846d267ffffffff,4.0,4.0,0.0
846d2c1ffffffff,45.0,39.0,0.0
846d2c3ffffffff,115.0,67.0,0.0
846d2c5ffffffff,4.0,4.0,0.0
846d2c7ffffffff,42.0,6.0,0.0
846d2c9ffffffff,320.0,210.0,0.0
846d2cbffffffff,94.0,67.0,0.0
846d2cdffffffff,13.0,2.0,0.0
846d2d1ffffffff,236.0,184.0,0.0
846d2d3ffffffff,4.0,2.0,0.0
846d2d5ffffffff,15.0,5.0,0.0
846d2d7ffffffff,2.0,2.0,0.0
846d2d9ffffffff,11.0,11.0,0.0
846d2dbffffffff,14.0,8.0,0.0
846d2ddffffffff,20.0,9.0,0.0
846d2ebffffffff,1.0,0.0,0.0
846d30dffffffff,5.0,2.0,0.0
846d319ffffffff,36.0,35.0,0.0
846d61bffffffff,4.0,1.0,0.0
846d643ffffffff,4.0,0.0,0.0
846d651ffffffff,928.0,434.0,0.0
846d653ffffffff,534.0,119.0,0.0
846d655ffffffff,43.0,3.0,0.0
846d657ffffffff,6.0,1.0,0.0
846d659ffffffff,2.0,1.0,0.0
846d65bffffffff,68.0,22.0,0.0
846d65dffffffff,4.0,3.0,0.0
846d681ffffffff,363.0,83.0,0.0
846d683ffffffff,36.0,11.0,0.0
846d685ffffffff,3.0,0.0,0.0
846d689ffffffff,507.0,145.0,0.0
846d68bffffffff,5439.0,1792.0,0.0
846d68dffffffff,27.0,7.0,0.0
846d691ffffffff,2747.0,415.0,0.0
846d693ffffffff,1175.0,13.0,211.0
846d695ffffffff,2.0,2.0,0.0
846d697ffffffff,2566.0,0.0,1157.0
846d699ffffffff,1929.0,444.0,0.0
846d69bffffffff,6181.0,2503.0,3.0
846d69dffffffff,12976.0,4610.0,0.0
846d6c3ffffffff,16.0,2.0,0.0
846d6c9ffffffff,18.0,7.0,0.0
846d6d1ffffffff,204.0,106.0,0.0
846d6d3ffffffff,1085.0,364.0,0.0
846d6d5ffffffff,677.0,288.0,0.0
846d6d7ffffffff,76.0,18.0,0.0
846d6d9ffffffff,2.0,2.0,0.0
846d6dbffffffff,13.0,2.0,0.0
