cell_id,Sula leucogaster,Sula leucogaster leucogaster,Sula leucogaster plotus
844cd0dffffffff,55.0,0.0,0.0
844cd25ffffffff,28.0,0.0,0.0
844cd29ffffffff,2.0,0.0,0.0
844cd43ffffffff,9.0,0.0,0.0
844cd51ffffffff,2.0,0.0,0.0
844cd55ffffffff,2.0,0.0,0.0
844cd5bffffffff,10.0,0.0,0.0
844cd63ffffffff,3.0,0.0,0.0
844cdb9ffffffff,2.0,0.0,0.0
844cdd5ffffffff,2.0,0.0,0.0
844ce13ffffffff,1.0,0.0,0.0
844ce1bffffffff,2.0,0.0,0.0
844ce6bffffffff,3.0,0.0,0.0
844ce81ffffffff,134.0,0.0,0.0
844ce83ffffffff,6.0,0.0,0.0
844ce85ffffffff,133.0,0.0,0.0
844ce87ffffffff,2.0,0.0,0.0
844ce8bffffffff,373.0,0.0,0.0
844ce8dffffffff,2.0,0.0,0.0
844ce95ffffffff,13.0,0.0,0.0
844ce9dffffffff,1.0,0.0,0.0
844cea9ffffffff,165.0,0.0,0.0
844ceadffffffff,30.0,0.0,0.0
844ceb9ffffffff,31.0,0.0,0.0
844cec3ffffffff,2.0,0.0,0.0
844ced5ffffffff,16.0,0.0,0.0
844ced7ffffffff,29.0,0.0,0.0
844cee3ffffffff,169.0,0.0,0.0
844cee5ffffffff,535.0,0.0,0.0
844cee7ffffffff,35.0,0.0,0.0
844cf1dffffffff,2.0,0.0,0.0
844cf25ffffffff,7.0,0.0,0.0
844cf31ffffffff,8.0,0.0,0.0
844cf35ffffffff,4.0,0.0,0.0
844cf37ffffffff,2.0,0.0,0.0
844d493ffffffff,4.0,0.0,0.0
844d497ffffffff,62.0,0.0,0.0
844d49bffffffff,2.0,0.0,0.0
844d4b1ffffffff,6.0,0.0,0.0
844d4b3ffffffff,2.0,0.0,0.0
844d4bbffffffff,604.0,0.0,0.0
844d539ffffffff,4.0,0.0,0.0
844d923ffffffff,2.0,0.0,0.0
844d963ffffffff,1.0,0.0,0.0
844e429ffffffff,1.0,0.0,0.0
844e42dffffffff,2.0,0.0,0.0
844e461ffffffff,1.0,0.0,1.0
844e465ffffffff,2.0,0.0,0.0
844e467ffffffff,1.0,0.0,1.0
844e553ffffffff,2.0,0.0,2.0
