cell_id,Anser anser,Anser anser anser,Anser anser rubrirostris
823827fffffffff,10.0,0.0,0.0
82386ffffffffff,2.0,0.0,0.0
823907fffffffff,1205.0,58.0,0.0
82390ffffffffff,1681.0,1.0,0.0
823917fffffffff,129.0,0.0,0.0
82391ffffffffff,2116.0,83.0,0.0
823927fffffffff,415.0,0.0,0.0
82392ffffffffff,4296.0,23.0,0.0
823937fffffffff,1007.0,4.0,0.0
823947fffffffff,890.0,0.0,0.0
823957fffffffff,110.0,0.0,0.0
823967fffffffff,80.0,3.0,0.0
82396ffffffffff,125.0,10.0,0.0
823977fffffffff,757.0,0.0,0.0
823987fffffffff,2.0,0.0,0.0
82398ffffffffff,2.0,0.0,0.0
823997fffffffff,1.0,0.0,0.0
8239affffffffff,8.0,0.0,0.0
823c1ffffffffff,36.0,0.0,0.0
823c37fffffffff,7.0,0.0,0.0
823c5ffffffffff,123.0,0.0,0.0
823c87fffffffff,2.0,0.0,0.0
823c9ffffffffff,70.0,0.0,0.0
823ca7fffffffff,3.0,0.0,0.0
823caffffffffff,1.0,0.0,0.0
823cb7fffffffff,74.0,0.0,0.0
823cc7fffffffff,7.0,0.0,0.0
823ccffffffffff,12.0,0.0,0.0
823cd7fffffffff,12.0,0.0,0.0
823ce7fffffffff,216.0,0.0,0.0
823ceffffffffff,471.0,0.0,0.0
823cf7fffffffff,53.0,0.0,0.0
823d07fffffffff,12.0,0.0,0.0
823d17fffffffff,502.0,0.0,2.0
823d37fffffffff,204.0,0.0,0.0
823d87fffffffff,847.0,0.0,0.0
823d8ffffffffff,17.0,0.0,0.0
823d97fffffffff,14.0,0.0,0.0
823d9ffffffffff,66.0,0.0,0.0
823da7fffffffff,2075.0,0.0,0.0
823daffffffffff,98.0,0.0,12.0
823db7fffffffff,181.0,0.0,0.0
823e47fffffffff,3.0,0.0,0.0
823e5ffffffffff,6.0,0.0,0.0
823f67fffffffff,11.0,0.0,0.0
823f6ffffffffff,11.0,0.0,0.0
824047fffffffff,16.0,0.0,0.0
82404ffffffffff,21.0,0.0,0.0
82405ffffffffff,24.0,0.0,1.0
82408ffffffffff,2.0,0.0,0.0
824097fffffffff,3.0,0.0,0.0
82409ffffffffff,2.0,0.0,2.0
8240a7fffffffff,25.0,0.0,0.0
8240c7fffffffff,4.0,0.0,4.0
8240dffffffffff,34.0,0.0,18.0
8240e7fffffffff,2.0,0.0,0.0
824187fffffffff,24.0,0.0,1.0
82418ffffffffff,2.0,0.0,0.0
824197fffffffff,21.0,0.0,0.0
82419ffffffffff,112.0,0.0,23.0
8241b7fffffffff,6.0,0.0,0.0
82424ffffffffff,136.0,0.0,0.0
824257fffffffff,5.0,0.0,0.0
82425ffffffffff,5.0,0.0,0.0
82426ffffffffff,3.0,0.0,0.0
8242c7fffffffff,721.0,0.0,0.0
8242cffffffffff,1950.0,0.0,0.0
8242dffffffffff,88.0,0.0,0.0
8242effffffffff,14.0,0.0,0.0
82431ffffffffff,5.0,0.0,0.0
824327fffffffff,2.0,0.0,0.0
824337fffffffff,3.0,0.0,0.0
824367fffffffff,22.0,0.0,0.0
82439ffffffffff,3.0,0.0,3.0
8243a7fffffffff,25.0,0.0,3.0
8243affffffffff,40.0,0.0,3.0
824417fffffffff,21.0,0.0,0.0
82441ffffffffff,96.0,0.0,0.0
824447fffffffff,283.0,0.0,0.0
824457fffffffff,24.0,0.0,0.0
82446ffffffffff,111.0,0.0,0.0
8244a7fffffffff,64.0,0.0,0.0
8244affffffffff,638.0,0.0,0.0
8244cffffffffff,4.0,0.0,0.0
8244dffffffffff,629.0,0.0,0.0
8244e7fffffffff,11.0,0.0,0.0
8244effffffffff,26.0,0.0,0.0
8244f7fffffffff,40.0,0.0,0.0
82450ffffffffff,1.0,0.0,0.0
82480ffffffffff,1.0,0.0,0.0
82481ffffffffff,1.0,0.0,0.0
824837fffffffff,7.0,0.0,0.0
82485ffffffffff,5.0,0.0,0.0
824887fffffffff,13.0,0.0,0.0
824897fffffffff,25.0,0.0,0.0
82489ffffffffff,262.0,0.0,0.0
8248b7fffffffff,45.0,0.0,0.0
8248c7fffffffff,54.0,0.0,0.0
8248d7fffffffff,15.0,0.0,0.0
8248dffffffffff,56.0,0.0,0.0
8248effffffffff,25.0,0.0,0.0
824987fffffffff,38.0,0.0,0.0
82498ffffffffff,5.0,0.0,0.0
824997fffffffff,787.0,0.0,0.0
824ba7fffffffff,15.0,0.0,0.0
824bb7fffffffff,9.0,0.0,0.0
824c8ffffffffff,2.0,0.0,0.0
824cc7fffffffff,3.0,0.0,0.0
824cf7fffffffff,4.0,0.0,0.0
825207fffffffff,11.0,0.0,0.0
82524ffffffffff,4.0,0.0,0.0
82526ffffffffff,1.0,0.0,1.0
82534ffffffffff,3.0,0.0,2.0
825357fffffffff,2.0,0.0,0.0
82536ffffffffff,1.0,0.0,1.0
825d17fffffffff,1.0,0.0,0.0
826097fffffffff,29.0,0.0,0.0
82609ffffffffff,8.0,0.0,0.0
8260b7fffffffff,2.0,0.0,0.0
826327fffffffff,6.0,0.0,6.0
826337fffffffff,4.0,0.0,4.0
82660ffffffffff,3.0,0.0,0.0
8266e7fffffffff,63.0,0.0,0.0
826d37fffffffff,4.0,0.0,0.0
828187fffffffff,1.0,0.0,0.0
828f4ffffffffff,4.0,0.0,0.0
