cell_id,Cantorchilus nigricapillus,Cantorchilus nigricapillus [castaneus Group],Cantorchilus nigricapillus nigricapillus/connectens
846d69dffffffff,3225.0,0.0,0.0
846d6c3ffffffff,9.0,0.0,0.0
846d6d1ffffffff,75.0,0.0,0.0
846d6d3ffffffff,265.0,0.0,0.0
846d6d5ffffffff,109.0,0.0,0.0
846d6d7ffffffff,81.0,0.0,0.0
846d6dbffffffff,14.0,0.0,0.0
846d6ddffffffff,2.0,0.0,0.0
848f0d1ffffffff,2.0,0.0,0.0
848f0d9ffffffff,2.0,0.0,0.0
848f0dbffffffff,909.0,0.0,184.0
848f21bffffffff,2.0,0.0,0.0
848f291ffffffff,26.0,0.0,0.0
848f295ffffffff,163.0,0.0,2.0
848f297ffffffff,2.0,0.0,0.0
848f2a9ffffffff,8.0,0.0,2.0
848f2abffffffff,10.0,0.0,0.0
848f2b3ffffffff,9.0,0.0,0.0
848f2b9ffffffff,5.0,0.0,2.0
848f2bbffffffff,100.0,0.0,12.0
848f2c3ffffffff,14.0,0.0,1.0
848f2c9ffffffff,14.0,0.0,3.0
848f2cbffffffff,17.0,0.0,0.0
848f2cdffffffff,257.0,0.0,20.0
848f2ddffffffff,6.0,0.0,0.0
848f765ffffffff,9.0,0.0,0.0
