cell_id,Onychorhynchus coronatus,Onychorhynchus coronatus mexicanus/fraterculus,Onychorhynchus coronatus occidentalis,Onychorhynchus coronatus coronatus/castelnaui
848a5a1ffffffff,1.0,0.0,0.0,1.0
848a68bffffffff,2.0,0.0,0.0,0.0
848a699ffffffff,2.0,0.0,0.0,0.0
848a6d3ffffffff,5.0,0.0,0.0,0.0
848a6d7ffffffff,12.0,0.0,0.0,0.0
848a6d9ffffffff,24.0,0.0,0.0,0.0
848a6dbffffffff,12.0,0.0,0.0,0.0
848a707ffffffff,4.0,0.0,0.0,0.0
848a809ffffffff,7.0,0.0,0.0,5.0
848a963ffffffff,1.0,0.0,0.0,0.0
848a9cdffffffff,10.0,0.0,0.0,4.0
848aacbffffffff,2.0,0.0,0.0,0.0
848aadbffffffff,2.0,0.0,0.0,2.0
848aaddffffffff,4.0,0.0,0.0,0.0
848af63ffffffff,9.0,0.0,0.0,0.0
848af67ffffffff,18.0,0.0,0.0,2.0
848b00dffffffff,1.0,0.0,0.0,0.0
848b1cdffffffff,4.0,0.0,0.0,0.0
848b1dbffffffff,2.0,0.0,0.0,0.0
848b223ffffffff,2.0,0.0,0.0,0.0
848b40dffffffff,22.0,0.0,0.0,0.0
848b449ffffffff,3.0,0.0,0.0,0.0
848b44bffffffff,24.0,0.0,0.0,3.0
848b44dffffffff,39.0,0.0,0.0,4.0
848b459ffffffff,1.0,0.0,0.0,0.0
848b469ffffffff,6.0,0.0,0.0,0.0
848b4e5ffffffff,10.0,0.0,0.0,3.0
848b511ffffffff,4.0,0.0,0.0,0.0
848b513ffffffff,2.0,0.0,0.0,0.0
848b5cdffffffff,2.0,0.0,0.0,2.0
848b627ffffffff,14.0,0.0,0.0,0.0
848b635ffffffff,2.0,0.0,0.0,0.0
848b637ffffffff,24.0,0.0,0.0,8.0
848b63bffffffff,6.0,0.0,0.0,0.0
848b693ffffffff,4.0,0.0,0.0,0.0
848b699ffffffff,2.0,0.0,0.0,0.0
848b6e7ffffffff,3.0,0.0,0.0,0.0
848b6edffffffff,10.0,0.0,0.0,3.0
848b709ffffffff,2.0,0.0,0.0,0.0
848b713ffffffff,13.0,0.0,0.0,3.0
848b71bffffffff,4.0,0.0,0.0,3.0
848b747ffffffff,2.0,0.0,0.0,0.0
848b821ffffffff,2.0,0.0,0.0,2.0
848b849ffffffff,3.0,0.0,0.0,0.0
848b881ffffffff,1.0,0.0,0.0,1.0
848b99dffffffff,5.0,0.0,0.0,0.0
848b9d5ffffffff,83.0,0.0,0.0,48.0
848b9d7ffffffff,1.0,0.0,0.0,0.0
848f08bffffffff,2.0,0.0,0.0,0.0
848f0d1ffffffff,48.0,0.0,20.0,0.0
848f0d5ffffffff,5.0,0.0,5.0,0.0
848f0dbffffffff,55.0,0.0,42.0,0.0
848f289ffffffff,2.0,0.0,2.0,0.0
848f28dffffffff,2.0,0.0,0.0,0.0
848f295ffffffff,89.0,0.0,69.0,0.0
848f2a9ffffffff,10.0,0.0,5.0,0.0
848f2abffffffff,4.0,0.0,3.0,0.0
848f2b3ffffffff,2.0,0.0,2.0,0.0
848f2b9ffffffff,93.0,0.0,63.0,0.0
848f2bbffffffff,26.0,0.0,12.0,0.0
848f2bdffffffff,17.0,0.0,12.0,0.0
848f2cdffffffff,24.0,0.0,7.0,0.0
848f401ffffffff,2.0,0.0,0.0,0.0
848f407ffffffff,1.0,0.0,0.0,0.0
848f489ffffffff,3.0,0.0,0.0,0.0
848f48dffffffff,2.0,0.0,0.0,0.0
848f617ffffffff,1.0,0.0,0.0,0.0
848f61bffffffff,9.0,0.0,0.0,0.0
848f6b5ffffffff,2.0,0.0,0.0,0.0
848f6c5ffffffff,1.0,0.0,0.0,0.0
848f71bffffffff,7.0,0.0,0.0,0.0
848f74bffffffff,1.0,0.0,0.0,0.0
