cell_id,Geophaps plumifera,Geophaps plumifera ferruginea,Geophaps plumifera plumifera/leucogaster
84a6a6bffffffff,20.0,2.0,0.0
84a6a6dffffffff,6.0,2.0,0.0
84a7821ffffffff,1.0,0.0,0.0
84a7823ffffffff,2.0,0.0,0.0
84a7829ffffffff,32.0,1.0,0.0
84a7831ffffffff,4.0,0.0,0.0
84a7835ffffffff,7.0,0.0,0.0
84a783dffffffff,4.0,0.0,0.0
84a7867ffffffff,2.0,0.0,0.0
84a7881ffffffff,2.0,0.0,0.0
84a7885ffffffff,3.0,2.0,0.0
84a78a1ffffffff,10.0,0.0,0.0
84a78a9ffffffff,2.0,0.0,0.0
84a78bdffffffff,6.0,0.0,0.0
84a78e7ffffffff,9.0,0.0,0.0
84a78ebffffffff,3.0,0.0,0.0
84a7907ffffffff,1.0,0.0,0.0
84a7913ffffffff,2.0,0.0,0.0
84a791bffffffff,2.0,0.0,0.0
84a7921ffffffff,1.0,0.0,0.0
84a7967ffffffff,1.0,0.0,0.0
84a798dffffffff,2.0,0.0,0.0
84a7993ffffffff,10.0,2.0,0.0
84a7997ffffffff,1.0,0.0,0.0
84a79a5ffffffff,1.0,0.0,0.0
84a79a7ffffffff,1.0,0.0,0.0
84a79a9ffffffff,2.0,0.0,0.0
84a79abffffffff,2.0,0.0,0.0
84a79bbffffffff,6.0,4.0,0.0
84a79c3ffffffff,2.0,0.0,0.0
84a79c7ffffffff,3.0,0.0,0.0
84a79cbffffffff,3.0,0.0,0.0
84a79d1ffffffff,18.0,0.0,0.0
84a79d3ffffffff,2.0,2.0,0.0
84a79d9ffffffff,4.0,0.0,0.0
84a79ddffffffff,9.0,1.0,0.0
84a79e1ffffffff,3.0,0.0,0.0
84a79e3ffffffff,9.0,0.0,0.0
84a79edffffffff,2.0,0.0,0.0
84a7a91ffffffff,1.0,0.0,0.0
84a7ab5ffffffff,4.0,0.0,0.0
84a7ab7ffffffff,1.0,0.0,0.0
84a7abdffffffff,1.0,0.0,0.0
84a7ae5ffffffff,2.0,0.0,0.0
84b8809ffffffff,7.0,0.0,0.0
84b8819ffffffff,159.0,0.0,0.0
84b881bffffffff,5.0,0.0,0.0
84b8843ffffffff,2.0,0.0,0.0
84b8847ffffffff,5.0,0.0,0.0
84b8851ffffffff,4.0,0.0,0.0
84b8855ffffffff,66.0,0.0,0.0
84b8857ffffffff,7.0,0.0,0.0
84b885bffffffff,2.0,0.0,0.0
84b886bffffffff,1.0,0.0,0.0
84b8889ffffffff,3.0,0.0,0.0
84b89a5ffffffff,2.0,0.0,0.0
84b89adffffffff,51.0,0.0,0.0
84b89ebffffffff,4.0,0.0,0.0
84b8a07ffffffff,2.0,0.0,0.0
84b8a83ffffffff,2.0,0.0,0.0
84b8a9dffffffff,8.0,0.0,0.0
84b8aa5ffffffff,4.0,0.0,0.0
84b8abdffffffff,55.0,0.0,0.0
84b8acbffffffff,5.0,0.0,0.0
84b8b37ffffffff,1.0,0.0,0.0
84b8c91ffffffff,2.0,0.0,0.0
84beca3ffffffff,10.0,0.0,0.0
