cell_id,Cyclarhis gujanensis,Cyclarhis gujanensis [gujanensis Group],Cyclarhis gujanensis insularis,Cyclarhis gujanensis [virenticeps Group],Cyclarhis gujanensis viridis/cearensis,Cyclarhis gujanensis ochrocephala
84660ebffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466105ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466129ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846613dffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8466163ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466165ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466167ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466183ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8466187ffffffff,29.0,0.0,0.0,0.0,0.0,0.0
846618bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846618dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466191ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8466193ffffffff,335.0,3.0,0.0,0.0,0.0,0.0
8466195ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8466197ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466199ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
846619bffffffff,186.0,0.0,0.0,0.0,0.0,0.0
846619dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84661b1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84661b3ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
84661b9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84661bbffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84661bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84661c1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84661cdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84661d1ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
84661d3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84661d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661ebffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8466203ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8466205ffffffff,97.0,0.0,0.0,0.0,0.0,0.0
846620bffffffff,336.0,0.0,0.0,0.0,0.0,0.0
8466211ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8466213ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8466217ffffffff,112.0,0.0,0.0,0.0,0.0,0.0
8466219ffffffff,32.0,0.0,0.0,0.0,0.0,0.0
846621bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846621dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8466221ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
8466225ffffffff,118.0,0.0,0.0,0.0,0.0,0.0
8466227ffffffff,83.0,0.0,0.0,0.0,0.0,0.0
846622bffffffff,141.0,0.0,0.0,0.0,0.0,0.0
8466231ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466235ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846623bffffffff,68.0,0.0,0.0,0.0,0.0,0.0
8466257ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8466291ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8466295ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8466299ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846629bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
846629dffffffff,24.0,0.0,0.0,0.0,0.0,0.0
84662a7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84662b7ffffffff,57.0,0.0,0.0,0.0,0.0,0.0
84662c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84662cdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84662d3ffffffff,71.0,0.0,0.0,0.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84662dbffffffff,16.0,0.0,0.0,0.0,0.0,0.0
84662e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84662e5ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84662e9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466311ffffffff,34.0,0.0,0.0,0.0,0.0,0.0
8466313ffffffff,233.0,0.0,0.0,0.0,0.0,0.0
8466317ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846631bffffffff,78.0,0.0,0.0,0.0,0.0,0.0
846640dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466411ffffffff,17.0,2.0,0.0,0.0,0.0,0.0
8466415ffffffff,144.0,0.0,0.0,0.0,0.0,0.0
8466417ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846641dffffffff,124.0,1.0,0.0,0.0,0.0,0.0
846642dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466441ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
846644bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466453ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466455ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846645dffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8466467ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466481ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466485ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8466487ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846648dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84664e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466505ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8466509ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
846650dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466521ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466527ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466529ffffffff,150.0,0.0,0.0,0.0,0.0,0.0
846652dffffffff,189.0,0.0,0.0,0.0,0.0,0.0
8466545ffffffff,82.0,0.0,0.0,0.0,0.0,0.0
8466547ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466549ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
846654bffffffff,60.0,0.0,0.0,0.0,0.0,0.0
8466561ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466563ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466565ffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8466567ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466569ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
846656bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
846656dffffffff,150.0,0.0,0.0,0.0,0.0,0.0
84665a3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84665a7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84665abffffffff,246.0,0.0,0.0,0.0,0.0,0.0
84665bdffffffff,214.0,0.0,0.0,0.0,0.0,0.0
84665e9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466601ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466603ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846660bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466623ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466627ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466631ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466633ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466637ffffffff,59.0,0.0,0.0,0.0,0.0,0.0
8466639ffffffff,34.0,0.0,0.0,0.0,0.0,0.0
846663dffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8466641ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466645ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
