cell_id,Colaptes rupicola,Colaptes rupicola cinereicapillus,Colaptes rupicola rupicola/puna
84b335dffffffff,52.0,0.0,0.0
84b3425ffffffff,1.0,0.0,0.0
84b342dffffffff,49.0,0.0,0.0
84b3465ffffffff,9.0,0.0,0.0
84b346dffffffff,14.0,0.0,0.0
84b3513ffffffff,1.0,0.0,0.0
84b3515ffffffff,12.0,0.0,0.0
84b3517ffffffff,9.0,0.0,0.0
84b3519ffffffff,20.0,0.0,0.0
84b3539ffffffff,8.0,0.0,0.0
84b353bffffffff,3.0,0.0,0.0
84b3541ffffffff,9.0,0.0,0.0
84b3543ffffffff,7.0,0.0,0.0
84b354bffffffff,69.0,0.0,0.0
84b3551ffffffff,8.0,0.0,0.0
84b3553ffffffff,29.0,0.0,0.0
84b355bffffffff,16.0,0.0,0.0
84b355dffffffff,42.0,0.0,0.0
84b356bffffffff,4.0,0.0,0.0
84b35a1ffffffff,42.0,0.0,0.0
84b35a5ffffffff,2.0,0.0,0.0
84b35a7ffffffff,102.0,0.0,0.0
84b35e1ffffffff,214.0,0.0,0.0
84b35e5ffffffff,23.0,0.0,0.0
84b35edffffffff,2.0,0.0,0.0
84b3717ffffffff,1.0,0.0,0.0
84b3723ffffffff,14.0,0.0,0.0
84b3731ffffffff,16.0,0.0,0.0
84b3733ffffffff,167.0,0.0,0.0
84b3735ffffffff,9.0,0.0,0.0
84b3737ffffffff,6.0,0.0,0.0
