cell_id,Dendrexetastes rufigula,Dendrexetastes rufigula devillei,Dendrexetastes rufigula rufigula,Dendrexetastes rufigula paraensis/moniliger
838159fffffffff,4.0,0.0,0.0,0.0
83815dfffffffff,2.0,0.0,0.0,0.0
838a01fffffffff,7.0,0.0,0.0,0.0
838a05fffffffff,38.0,0.0,0.0,0.0
838a10fffffffff,4.0,0.0,0.0,0.0
838a14fffffffff,2.0,0.0,0.0,0.0
838a15fffffffff,10.0,0.0,0.0,0.0
838a1afffffffff,11.0,0.0,0.0,0.0
838a20fffffffff,2.0,0.0,0.0,0.0
838a21fffffffff,2.0,0.0,0.0,0.0
838a23fffffffff,2.0,0.0,0.0,0.0
838a24fffffffff,6.0,0.0,0.0,0.0
838a2cfffffffff,1.0,0.0,0.0,0.0
838a31fffffffff,14.0,0.0,0.0,0.0
838a33fffffffff,6.0,0.0,0.0,0.0
838a45fffffffff,88.0,0.0,0.0,0.0
838a63fffffffff,13.0,0.0,0.0,0.0
838a68fffffffff,4.0,0.0,0.0,0.0
838a69fffffffff,109.0,0.0,0.0,0.0
838a6afffffffff,1.0,0.0,0.0,0.0
838a6dfffffffff,135.0,0.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0,0.0
838a70fffffffff,3.0,0.0,0.0,0.0
838a80fffffffff,5.0,0.0,0.0,0.0
838a90fffffffff,1.0,0.0,0.0,0.0
838a92fffffffff,4.0,0.0,0.0,0.0
838a9cfffffffff,20.0,0.0,0.0,0.0
838aa9fffffffff,1.0,0.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0,0.0
838adcfffffffff,2.0,0.0,2.0,0.0
838ae5fffffffff,2.0,0.0,0.0,0.0
838af2fffffffff,45.0,0.0,8.0,0.0
838af4fffffffff,3.0,0.0,0.0,0.0
838af6fffffffff,264.0,0.0,39.0,0.0
838b10fffffffff,1.0,0.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0,0.0
838b2efffffffff,2.0,0.0,0.0,0.0
838b40fffffffff,42.0,0.0,0.0,0.0
838b42fffffffff,11.0,0.0,0.0,0.0
838b44fffffffff,221.0,0.0,0.0,0.0
838b45fffffffff,8.0,0.0,0.0,0.0
838b46fffffffff,27.0,0.0,0.0,0.0
838b4efffffffff,18.0,0.0,0.0,0.0
838b51fffffffff,24.0,0.0,0.0,0.0
838b52fffffffff,5.0,0.0,0.0,0.0
838b53fffffffff,3.0,0.0,0.0,0.0
838b56fffffffff,1.0,0.0,0.0,0.0
838b5cfffffffff,56.0,0.0,0.0,0.0
838b5dfffffffff,9.0,0.0,0.0,0.0
838b5efffffffff,2.0,0.0,0.0,0.0
838b61fffffffff,307.0,7.0,0.0,0.0
838b62fffffffff,49.0,2.0,0.0,0.0
838b63fffffffff,391.0,3.0,0.0,0.0
838b68fffffffff,4.0,0.0,0.0,0.0
838b69fffffffff,11.0,0.0,0.0,0.0
838b6cfffffffff,4.0,0.0,0.0,0.0
838b6efffffffff,87.0,0.0,0.0,0.0
838b71fffffffff,373.0,1.0,0.0,0.0
838b74fffffffff,5.0,0.0,0.0,0.0
838b75fffffffff,6.0,0.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0,0.0
838b99fffffffff,29.0,0.0,0.0,0.0
838b9dfffffffff,132.0,0.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0,0.0
838f40fffffffff,83.0,0.0,0.0,0.0
838f42fffffffff,2.0,0.0,0.0,0.0
838f43fffffffff,3.0,0.0,0.0,0.0
838f44fffffffff,16.0,0.0,0.0,0.0
838f46fffffffff,43.0,0.0,0.0,0.0
838f48fffffffff,56.0,0.0,0.0,0.0
838f4afffffffff,17.0,0.0,0.0,0.0
838f4bfffffffff,9.0,0.0,0.0,0.0
838f4cfffffffff,6.0,0.0,0.0,0.0
838f4efffffffff,2.0,0.0,0.0,0.0
838f5dfffffffff,2.0,0.0,0.0,0.0
838f61fffffffff,99.0,0.0,0.0,0.0
838f65fffffffff,2.0,0.0,0.0,0.0
838f6bfffffffff,24.0,0.0,0.0,0.0
838f6cfffffffff,1.0,0.0,0.0,0.0
838f6efffffffff,24.0,0.0,0.0,0.0
838f71fffffffff,10.0,0.0,0.0,0.0
838f74fffffffff,7.0,0.0,0.0,0.0
83a859fffffffff,1.0,0.0,0.0,0.0
83b325fffffffff,2.0,0.0,0.0,0.0
