cell_id,Polioptila albiloris,Polioptila albiloris vanrossemi,Polioptila albiloris albiloris
846d367ffffffff,52.0,0.0,0.0
846d601ffffffff,109.0,0.0,0.0
846d603ffffffff,12.0,0.0,0.0
846d605ffffffff,199.0,0.0,0.0
846d607ffffffff,57.0,0.0,0.0
846d609ffffffff,79.0,0.0,0.0
846d60bffffffff,3.0,0.0,0.0
846d60dffffffff,434.0,0.0,0.0
846d611ffffffff,18.0,0.0,0.0
846d613ffffffff,115.0,0.0,0.0
846d615ffffffff,50.0,0.0,0.0
846d617ffffffff,151.0,0.0,0.0
846d619ffffffff,31.0,0.0,0.0
846d61bffffffff,12.0,0.0,0.0
846d61dffffffff,2.0,0.0,0.0
846d639ffffffff,161.0,0.0,0.0
846d63bffffffff,12.0,0.0,0.0
846d641ffffffff,212.0,0.0,0.0
846d643ffffffff,16.0,0.0,0.0
846d645ffffffff,630.0,0.0,0.0
846d647ffffffff,10.0,0.0,0.0
846d649ffffffff,1.0,0.0,0.0
846d64bffffffff,1.0,0.0,0.0
846d64dffffffff,51.0,0.0,0.0
846d651ffffffff,3.0,0.0,0.0
846d653ffffffff,5.0,0.0,0.0
846d655ffffffff,40.0,0.0,0.0
846d657ffffffff,40.0,0.0,0.0
846d65bffffffff,1.0,0.0,0.0
846d661ffffffff,25.0,0.0,0.0
846d663ffffffff,170.0,0.0,0.0
846d665ffffffff,32.0,0.0,0.0
846d667ffffffff,53.0,0.0,0.0
846d669ffffffff,32.0,0.0,0.0
846d66bffffffff,166.0,0.0,0.0
846d66dffffffff,22.0,0.0,0.0
846d681ffffffff,513.0,0.0,0.0
846d683ffffffff,603.0,0.0,0.0
846d685ffffffff,370.0,0.0,0.0
846d687ffffffff,472.0,0.0,0.0
846d689ffffffff,17.0,0.0,0.0
846d68bffffffff,32.0,0.0,0.0
846d68dffffffff,226.0,0.0,0.0
846d691ffffffff,25.0,0.0,0.0
846d693ffffffff,60.0,0.0,0.0
846d695ffffffff,927.0,0.0,0.0
846d697ffffffff,790.0,0.0,0.0
846d69bffffffff,2.0,0.0,0.0
846d69dffffffff,7.0,0.0,0.0
846d6abffffffff,191.0,0.0,0.0
846d6b1ffffffff,34.0,0.0,0.0
846d6b9ffffffff,164.0,0.0,0.0
846d6bbffffffff,551.0,0.0,0.0
846d6bdffffffff,68.0,0.0,0.0
846d6cdffffffff,2.0,0.0,0.0
846d6e1ffffffff,2.0,0.0,0.0
846d6e9ffffffff,198.0,0.0,0.0
846d6ebffffffff,13.0,0.0,0.0
846d6edffffffff,81.0,0.0,0.0
846d741ffffffff,14.0,0.0,0.0
846d743ffffffff,85.0,0.0,0.0
846d745ffffffff,31.0,0.0,0.0
846d747ffffffff,4.0,0.0,0.0
846d749ffffffff,32.0,0.0,0.0
846d74bffffffff,68.0,0.0,0.0
846d74dffffffff,2.0,0.0,0.0
846d751ffffffff,8.0,0.0,0.0
846d759ffffffff,19.0,0.0,0.0
846d75bffffffff,10.0,0.0,0.0
846d75dffffffff,2.0,0.0,0.0
