cell_id,Melanerpes aurifrons,Melanerpes aurifrons aurifrons,Melanerpes aurifrons [santacruzi Group],Melanerpes aurifrons polygrammus
8449981ffffffff,8.0,0.0,8.0,0.0
8449987ffffffff,5.0,0.0,5.0,0.0
84499abffffffff,2.0,0.0,2.0,0.0
84499b1ffffffff,2.0,0.0,2.0,0.0
8449ab5ffffffff,13.0,0.0,0.0,0.0
8449ab7ffffffff,2.0,0.0,0.0,0.0
8467961ffffffff,5.0,0.0,0.0,0.0
846d045ffffffff,4.0,0.0,0.0,4.0
846d049ffffffff,2.0,0.0,0.0,2.0
846d053ffffffff,1.0,0.0,0.0,0.0
846d069ffffffff,13.0,0.0,0.0,13.0
846d06dffffffff,3.0,0.0,0.0,3.0
846d231ffffffff,10.0,0.0,0.0,0.0
846d23dffffffff,4.0,0.0,0.0,0.0
846d253ffffffff,3.0,0.0,3.0,0.0
846d255ffffffff,2.0,0.0,2.0,0.0
846d295ffffffff,2.0,0.0,1.0,0.0
846d2abffffffff,2.0,0.0,2.0,0.0
846d2adffffffff,2.0,0.0,0.0,0.0
846d2b9ffffffff,12.0,0.0,4.0,0.0
846d2c9ffffffff,1.0,0.0,0.0,0.0
846d2d3ffffffff,2.0,0.0,2.0,0.0
846d2e3ffffffff,4.0,4.0,0.0,0.0
846d305ffffffff,2.0,0.0,2.0,0.0
846d307ffffffff,25.0,0.0,25.0,0.0
846d30dffffffff,42.0,0.0,42.0,0.0
846d311ffffffff,10.0,0.0,8.0,2.0
846d313ffffffff,79.0,0.0,0.0,77.0
846d317ffffffff,7.0,0.0,0.0,7.0
846d319ffffffff,20.0,0.0,20.0,0.0
846d339ffffffff,6.0,0.0,0.0,6.0
846d33bffffffff,3.0,0.0,0.0,3.0
846d33dffffffff,16.0,0.0,0.0,16.0
846d347ffffffff,2.0,0.0,2.0,0.0
846d34dffffffff,6.0,0.0,1.0,0.0
846d35bffffffff,1.0,0.0,1.0,0.0
846d35dffffffff,1.0,0.0,0.0,0.0
846d645ffffffff,1.0,0.0,0.0,0.0
846d745ffffffff,4.0,0.0,4.0,0.0
846d75dffffffff,1.0,0.0,0.0,0.0
