cell_id,Cacicus chrysonotus,Cacicus chrysonotus leucoramphus/peruvianus,Cacicus chrysonotus chrysonotus
8466e55ffffffff,188.0,12.0,0.0
8466e59ffffffff,2.0,0.0,0.0
8466e5dffffffff,20.0,0.0,0.0
8466e61ffffffff,110.0,4.0,0.0
8466e65ffffffff,148.0,0.0,0.0
8466e67ffffffff,187.0,3.0,0.0
8466e69ffffffff,43.0,0.0,0.0
8466e6dffffffff,510.0,24.0,0.0
8466ee5ffffffff,4.0,0.0,0.0
8466f13ffffffff,2.0,0.0,0.0
8466f15ffffffff,22.0,0.0,0.0
8466f19ffffffff,119.0,0.0,0.0
8466f1dffffffff,178.0,8.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,7.0,0.0,0.0
8466f53ffffffff,57.0,0.0,0.0
8466f59ffffffff,2.0,0.0,0.0
8466f5bffffffff,51.0,0.0,0.0
8466f5dffffffff,2.0,0.0,0.0
848b2c1ffffffff,6.0,0.0,0.0
848b2c5ffffffff,2.0,0.0,0.0
848b2cdffffffff,79.0,0.0,13.0
848b611ffffffff,12.0,0.0,0.0
848b617ffffffff,595.0,0.0,15.0
848b619ffffffff,2.0,0.0,0.0
848b639ffffffff,1.0,0.0,0.0
848b655ffffffff,1.0,0.0,0.0
848b665ffffffff,4.0,0.0,0.0
848b6c1ffffffff,3.0,0.0,0.0
848b6c5ffffffff,38.0,0.0,0.0
848b6c9ffffffff,12.0,0.0,0.0
848b6cdffffffff,63.0,0.0,0.0
848b751ffffffff,2.0,0.0,0.0
848b759ffffffff,7.0,0.0,0.0
848b75bffffffff,4.0,0.0,0.0
848e619ffffffff,2.0,0.0,0.0
848e649ffffffff,12.0,0.0,0.0
848e64bffffffff,6.0,0.0,0.0
848e651ffffffff,21.0,0.0,0.0
848e657ffffffff,4.0,0.0,0.0
848e6c1ffffffff,2.0,0.0,0.0
848e6cdffffffff,1.0,0.0,0.0
848e6d9ffffffff,29.0,0.0,0.0
848e6dbffffffff,1.0,0.0,0.0
848e6ddffffffff,7.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0
848f297ffffffff,3.0,0.0,0.0
848f29bffffffff,3.0,0.0,0.0
848f2d3ffffffff,101.0,7.0,0.0
848f425ffffffff,10.0,0.0,0.0
848f42dffffffff,25.0,11.0,0.0
848f465ffffffff,19.0,0.0,0.0
848f467ffffffff,2.0,0.0,0.0
848f4a5ffffffff,38.0,8.0,0.0
848f4a7ffffffff,2.0,0.0,0.0
848f519ffffffff,16.0,0.0,0.0
848f553ffffffff,136.0,35.0,0.0
848f559ffffffff,16.0,4.0,0.0
848f55bffffffff,34.0,6.0,0.0
848f593ffffffff,1.0,0.0,0.0
848f59bffffffff,7.0,0.0,0.0
848f5c1ffffffff,1.0,0.0,0.0
848f5c3ffffffff,3.0,0.0,0.0
848f5c9ffffffff,2.0,0.0,0.0
848f5cbffffffff,3.0,0.0,0.0
848f5ddffffffff,7.0,0.0,0.0
848f721ffffffff,45.0,7.0,0.0
848f727ffffffff,3.0,0.0,0.0
848f729ffffffff,2.0,0.0,0.0
848f72dffffffff,10.0,1.0,0.0
848f733ffffffff,111.0,16.0,0.0
848f745ffffffff,15.0,4.0,0.0
848f761ffffffff,9.0,3.0,0.0
848f765ffffffff,2.0,2.0,0.0
848f767ffffffff,34.0,18.0,0.0
848f769ffffffff,15.0,3.0,0.0
848f76bffffffff,8.0,0.0,0.0
848f76dffffffff,4.0,0.0,0.0
84b3219ffffffff,17.0,0.0,0.0
84b3241ffffffff,6.0,0.0,0.0
84b3253ffffffff,62.0,0.0,11.0
