cell_id,Eupodotis senegalensis,Eupodotis senegalensis [senegalensis Group],Eupodotis senegalensis barrowii/mackenziei
847a68bffffffff,69.0,2.0,0.0
847a69bffffffff,3.0,0.0,0.0
847a69dffffffff,6.0,0.0,0.0
847a6d1ffffffff,380.0,41.0,0.0
847a6d3ffffffff,40.0,0.0,0.0
847a6d5ffffffff,16.0,2.0,0.0
847a6d7ffffffff,7.0,0.0,0.0
847a6d9ffffffff,89.0,12.0,0.0
847a6dbffffffff,17.0,2.0,0.0
847a6ddffffffff,8.0,0.0,0.0
847a6e1ffffffff,2.0,0.0,0.0
847a6e5ffffffff,160.0,0.0,0.0
847a6e9ffffffff,1.0,0.0,0.0
847a6ebffffffff,1.0,0.0,0.0
847a6edffffffff,4.0,0.0,0.0
847aca3ffffffff,1.0,0.0,0.0
847acd5ffffffff,2.0,0.0,0.0
847ad91ffffffff,1.0,0.0,0.0
847ad95ffffffff,8.0,2.0,0.0
847ad99ffffffff,109.0,13.0,0.0
847ad9dffffffff,16.0,1.0,0.0
847ae85ffffffff,30.0,4.0,0.0
847ae87ffffffff,6.0,0.0,0.0
847ae8bffffffff,1.0,0.0,0.0
847ae93ffffffff,3.0,0.0,0.0
847ae99ffffffff,5.0,0.0,0.0
847ae9bffffffff,3.0,2.0,0.0
847aed3ffffffff,19.0,3.0,0.0
8482a09ffffffff,9.0,0.0,0.0
84838a5ffffffff,1.0,0.0,0.0
8496095ffffffff,1.0,0.0,0.0
8496707ffffffff,2.0,0.0,0.0
849673bffffffff,1.0,0.0,0.0
8496753ffffffff,2.0,0.0,0.0
8496757ffffffff,10.0,0.0,0.0
8496901ffffffff,13.0,0.0,0.0
8496905ffffffff,22.0,1.0,0.0
8496907ffffffff,146.0,12.0,0.0
8496925ffffffff,14.0,5.0,0.0
849692bffffffff,148.0,31.0,0.0
8496931ffffffff,2.0,0.0,0.0
8496933ffffffff,56.0,8.0,0.0
8496935ffffffff,26.0,4.0,0.0
8496937ffffffff,12.0,0.0,0.0
849693dffffffff,13.0,0.0,0.0
8496943ffffffff,1.0,0.0,0.0
84969a1ffffffff,2.0,0.0,0.0
84969a5ffffffff,15.0,3.0,0.0
84969adffffffff,2.0,0.0,0.0
8496a2dffffffff,2.0,0.0,0.0
8496b13ffffffff,13.0,3.0,0.0
8496b19ffffffff,2.0,0.0,0.0
8496b1bffffffff,33.0,14.0,0.0
8496b63ffffffff,2.0,2.0,0.0
84972dbffffffff,2.0,0.0,0.0
84bc717ffffffff,4.0,0.0,0.0
84bc735ffffffff,2.0,0.0,0.0
84bcc27ffffffff,1.0,0.0,0.0
84bcc33ffffffff,2.0,0.0,2.0
84bcc3dffffffff,5.0,0.0,0.0
84bcc4dffffffff,2.0,0.0,2.0
84bcc65ffffffff,2.0,0.0,1.0
84bcc6dffffffff,31.0,0.0,6.0
84bcd13ffffffff,2.0,0.0,2.0
84bcd57ffffffff,2.0,0.0,0.0
84bcdc1ffffffff,1.0,0.0,1.0
84bcdcdffffffff,18.0,0.0,9.0
84bce27ffffffff,4.0,0.0,3.0
84bcf03ffffffff,1.0,0.0,0.0
84bcf13ffffffff,5.0,0.0,3.0
84bcf19ffffffff,2.0,0.0,0.0
84bcf1bffffffff,9.0,0.0,0.0
84bcf1dffffffff,2.0,0.0,1.0
84bcf31ffffffff,3.0,0.0,0.0
84bcf33ffffffff,119.0,0.0,57.0
84bcf35ffffffff,2.0,0.0,2.0
84bcf3bffffffff,7.0,0.0,3.0
84bcf3dffffffff,2.0,0.0,0.0
84bcf63ffffffff,1.0,0.0,0.0
