cell_id,Caryothraustes poliogaster,Caryothraustes poliogaster poliogaster,Caryothraustes poliogaster scapularis
846d2d1ffffffff,157.0,0.0,0.0
846d2d9ffffffff,18.0,0.0,0.0
846d2dbffffffff,2.0,0.0,0.0
846d2ddffffffff,39.0,0.0,0.0
846d2ebffffffff,2.0,0.0,0.0
846d305ffffffff,18.0,0.0,0.0
846d307ffffffff,1.0,0.0,0.0
846d30dffffffff,145.0,0.0,0.0
846d311ffffffff,2.0,0.0,0.0
846d319ffffffff,125.0,0.0,0.0
846d31bffffffff,10.0,0.0,0.0
846d34bffffffff,20.0,0.0,0.0
846d35dffffffff,174.0,0.0,0.0
846d363ffffffff,6.0,0.0,0.0
846d369ffffffff,3.0,0.0,0.0
846d659ffffffff,4.0,0.0,0.0
846d65bffffffff,8.0,0.0,0.0
846d681ffffffff,43.0,0.0,0.0
846d689ffffffff,26.0,0.0,0.0
846d68bffffffff,676.0,0.0,0.0
846d68dffffffff,35.0,0.0,0.0
846d691ffffffff,290.0,0.0,0.0
846d699ffffffff,308.0,0.0,0.0
846d69bffffffff,1580.0,0.0,0.0
846d69dffffffff,517.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0
846d6d1ffffffff,13.0,0.0,0.0
846d6d3ffffffff,93.0,0.0,0.0
846d6d5ffffffff,4.0,0.0,0.0
846d6d7ffffffff,4.0,0.0,0.0
846d6dbffffffff,2.0,0.0,0.0
