cell_id,Ramphocelus flammigerus,Ramphocelus flammigerus flammigerus,Ramphocelus flammigerus icteronotus,Ramphocelus flammigerus flammigerus x icteronotus
84661d1ffffffff,377.0,11.0,142.0,0.0
84661d3ffffffff,3.0,0.0,1.0,0.0
84661d5ffffffff,49.0,0.0,27.0,0.0
84661d7ffffffff,37.0,8.0,14.0,0.0
84661d9ffffffff,13.0,0.0,7.0,0.0
84661ddffffffff,64.0,2.0,18.0,0.0
84661e9ffffffff,2.0,0.0,2.0,0.0
84661ebffffffff,365.0,0.0,73.0,0.0
8466a01ffffffff,105.0,0.0,6.0,0.0
8466a05ffffffff,118.0,0.0,19.0,0.0
8466a09ffffffff,14.0,0.0,4.0,0.0
8466a0bffffffff,2496.0,0.0,853.0,0.0
8466a51ffffffff,1387.0,0.0,284.0,0.0
8466a55ffffffff,166.0,0.0,17.0,0.0
8466a57ffffffff,262.0,0.0,49.0,0.0
8466a59ffffffff,76.0,0.0,18.0,0.0
8466a5dffffffff,64.0,0.0,4.0,0.0
8466a65ffffffff,3.0,0.0,0.0,0.0
8466a67ffffffff,14.0,0.0,3.0,0.0
8466ad9ffffffff,1.0,0.0,0.0,0.0
8466b59ffffffff,4.0,0.0,0.0,0.0
8466b5bffffffff,7.0,0.0,4.0,0.0
8466c41ffffffff,1.0,0.0,0.0,0.0
8466c4dffffffff,29.0,0.0,10.0,0.0
8466c63ffffffff,5.0,0.0,0.0,0.0
8466c65ffffffff,35.0,0.0,2.0,0.0
8466c69ffffffff,3.0,0.0,0.0,0.0
8466c6dffffffff,1079.0,21.0,3.0,0.0
8466d01ffffffff,89.0,0.0,52.0,0.0
8466d03ffffffff,268.0,0.0,88.0,0.0
8466d05ffffffff,96.0,0.0,43.0,0.0
8466d07ffffffff,328.0,0.0,162.0,0.0
8466d09ffffffff,3.0,0.0,3.0,0.0
8466d0bffffffff,1128.0,5.0,477.0,0.0
8466d0dffffffff,465.0,0.0,263.0,0.0
8466d15ffffffff,1.0,0.0,1.0,0.0
8466d1dffffffff,2.0,0.0,0.0,0.0
8466d21ffffffff,17.0,0.0,7.0,0.0
8466d23ffffffff,254.0,0.0,146.0,0.0
8466d25ffffffff,42.0,0.0,16.0,0.0
8466d27ffffffff,148.0,0.0,61.0,0.0
8466d31ffffffff,10501.0,0.0,5102.0,0.0
8466d33ffffffff,2.0,0.0,0.0,0.0
8466d35ffffffff,3988.0,0.0,1949.0,0.0
8466d37ffffffff,324.0,0.0,106.0,0.0
8466d39ffffffff,69.0,0.0,25.0,0.0
8466d3bffffffff,3.0,0.0,3.0,0.0
8466d3dffffffff,174.0,0.0,43.0,0.0
8466d47ffffffff,99.0,0.0,46.0,0.0
8466d49ffffffff,1.0,0.0,0.0,0.0
8466d4bffffffff,4.0,0.0,0.0,0.0
8466d51ffffffff,32.0,0.0,0.0,0.0
8466d53ffffffff,74.0,9.0,0.0,0.0
8466d55ffffffff,31.0,0.0,25.0,0.0
8466d57ffffffff,10.0,0.0,3.0,0.0
8466d59ffffffff,8.0,0.0,0.0,0.0
8466d5bffffffff,22.0,0.0,0.0,0.0
8466d6bffffffff,2.0,0.0,2.0,0.0
8466e09ffffffff,9.0,0.0,0.0,0.0
8466e0dffffffff,9.0,0.0,0.0,0.0
8466e2bffffffff,3.0,0.0,0.0,0.0
8466e2dffffffff,21.0,0.0,0.0,0.0
8466e41ffffffff,27.0,0.0,4.0,0.0
8466e45ffffffff,12.0,0.0,0.0,0.0
8466e47ffffffff,36.0,0.0,10.0,0.0
8466e49ffffffff,22.0,0.0,2.0,0.0
8466e4dffffffff,2.0,0.0,0.0,0.0
8466e61ffffffff,11.0,0.0,6.0,0.0
8466e63ffffffff,4.0,0.0,0.0,0.0
8466e65ffffffff,2136.0,396.0,10.0,0.0
8466e67ffffffff,74.0,0.0,9.0,0.0
8466e69ffffffff,350.0,0.0,65.0,0.0
8466e6bffffffff,7.0,0.0,2.0,0.0
8466e6dffffffff,4930.0,294.0,11.0,0.0
8466f01ffffffff,132.0,0.0,52.0,0.0
8466f03ffffffff,1467.0,21.0,881.0,0.0
8466f0bffffffff,1289.0,13.0,682.0,0.0
8466f11ffffffff,70.0,0.0,0.0,0.0
8466f15ffffffff,380.0,54.0,0.0,0.0
8466f17ffffffff,178.0,2.0,0.0,0.0
8466f19ffffffff,209.0,30.0,0.0,0.0
8466f1dffffffff,7148.0,844.0,971.0,0.0
8466f33ffffffff,22.0,0.0,4.0,0.0
8466f35ffffffff,180.0,0.0,17.0,0.0
8466f37ffffffff,4.0,0.0,3.0,0.0
8466f3bffffffff,5.0,0.0,0.0,0.0
8466f47ffffffff,1.0,0.0,0.0,0.0
8466f51ffffffff,53.0,0.0,0.0,0.0
8466f53ffffffff,361.0,30.0,0.0,0.0
8466f57ffffffff,1255.0,100.0,27.0,0.0
8466f59ffffffff,302.0,19.0,4.0,0.0
8466f5bffffffff,433.0,9.0,0.0,0.0
8466f5dffffffff,29.0,4.0,0.0,0.0
84679b3ffffffff,1.0,0.0,0.0,0.0
848f0d1ffffffff,27.0,0.0,13.0,0.0
848f0d9ffffffff,18.0,0.0,7.0,0.0
848f0dbffffffff,1261.0,0.0,651.0,0.0
848f21bffffffff,2.0,0.0,2.0,0.0
848f285ffffffff,2.0,0.0,0.0,0.0
848f28dffffffff,2.0,0.0,0.0,0.0
848f291ffffffff,90.0,0.0,38.0,0.0
848f295ffffffff,396.0,0.0,140.0,0.0
848f297ffffffff,10.0,0.0,3.0,0.0
848f29dffffffff,2.0,0.0,0.0,0.0
848f2a1ffffffff,6.0,0.0,2.0,0.0
848f2a9ffffffff,413.0,0.0,166.0,0.0
848f2abffffffff,22.0,0.0,15.0,0.0
848f2b3ffffffff,25.0,0.0,19.0,0.0
848f2b5ffffffff,2.0,0.0,0.0,0.0
848f2b9ffffffff,8.0,0.0,7.0,0.0
848f2bbffffffff,175.0,0.0,65.0,0.0
848f2c1ffffffff,5.0,0.0,0.0,0.0
848f2c3ffffffff,39.0,0.0,13.0,0.0
848f2c9ffffffff,47.0,0.0,23.0,0.0
848f2cbffffffff,189.0,0.0,32.0,0.0
848f2cdffffffff,191.0,0.0,41.0,0.0
848f2d5ffffffff,3.0,0.0,2.0,0.0
848f2ddffffffff,5.0,0.0,2.0,0.0
848f2e7ffffffff,4.0,0.0,4.0,0.0
848f2ebffffffff,4.0,0.0,2.0,0.0
848f765ffffffff,82.0,0.0,13.0,0.0
