cell_id,Dendrocygna autumnalis,Dendrocygna autumnalis fulgens,Dendrocygna autumnalis autumnalis
832ab5fffffffff,55.0,0.0,0.0
832ab6fffffffff,16.0,0.0,0.0
832ad0fffffffff,1.0,0.0,0.0
832ad1fffffffff,6.0,0.0,0.0
832ad3fffffffff,2.0,0.0,0.0
832ad5fffffffff,10.0,2.0,0.0
832ad6fffffffff,7.0,0.0,0.0
832af0fffffffff,9.0,0.0,0.0
832af1fffffffff,2.0,0.0,0.0
832af3fffffffff,25.0,2.0,0.0
832af6fffffffff,28.0,3.0,0.0
832b00fffffffff,2.0,0.0,0.0
832b0cfffffffff,5.0,0.0,0.0
832b0efffffffff,17.0,0.0,0.0
832b14fffffffff,5.0,0.0,0.0
832b15fffffffff,14.0,0.0,0.0
832b16fffffffff,6.0,0.0,0.0
832b18fffffffff,10.0,0.0,0.0
832b19fffffffff,7.0,0.0,0.0
832b1afffffffff,43.0,0.0,0.0
832b89fffffffff,6.0,1.0,0.0
832b8afffffffff,1.0,0.0,0.0
832b8cfffffffff,16.0,0.0,0.0
832b8dfffffffff,31.0,0.0,0.0
832b8efffffffff,2.0,0.0,0.0
832b98fffffffff,19.0,0.0,0.0
832b99fffffffff,2.0,0.0,0.0
832b9afffffffff,1.0,0.0,0.0
832b9bfffffffff,333.0,0.0,0.0
832b9dfffffffff,31.0,0.0,0.0
832ba0fffffffff,5.0,0.0,0.0
832ba8fffffffff,57.0,0.0,0.0
832baafffffffff,167.0,0.0,0.0
8343a1fffffffff,3.0,0.0,0.0
8343aefffffffff,72.0,0.0,0.0
834413fffffffff,12.0,3.0,0.0
834416fffffffff,8.0,0.0,0.0
83441afffffffff,135.0,20.0,0.0
83441efffffffff,34.0,2.0,0.0
834432fffffffff,2.0,0.0,0.0
834436fffffffff,4.0,0.0,0.0
834440fffffffff,164.0,0.0,0.0
834441fffffffff,9.0,0.0,0.0
834442fffffffff,3.0,0.0,0.0
834443fffffffff,9.0,0.0,0.0
834444fffffffff,32.0,0.0,0.0
834445fffffffff,234.0,0.0,0.0
834446fffffffff,56.0,0.0,0.0
834448fffffffff,10.0,0.0,0.0
834449fffffffff,45.0,2.0,0.0
83444afffffffff,4.0,0.0,0.0
83444cfffffffff,36.0,0.0,0.0
83444dfffffffff,32.0,0.0,0.0
83444efffffffff,15.0,0.0,0.0
834450fffffffff,118.0,2.0,0.0
834452fffffffff,295.0,6.0,0.0
834453fffffffff,4.0,0.0,0.0
834455fffffffff,71.0,0.0,0.0
834456fffffffff,14.0,0.0,0.0
834459fffffffff,10.0,0.0,0.0
83445afffffffff,33.0,0.0,0.0
83445dfffffffff,5.0,0.0,0.0
834463fffffffff,3.0,0.0,0.0
834468fffffffff,1.0,0.0,0.0
834469fffffffff,69.0,0.0,0.0
