cell_id,Chaetura brachyura,Chaetura brachyura [brachyura Group],Chaetura brachyura ocypetes
838f44fffffffff,20.0,0.0,0.0
838f46fffffffff,169.0,11.0,0.0
838f48fffffffff,37.0,0.0,0.0
838f4afffffffff,3.0,0.0,0.0
838f4bfffffffff,4.0,0.0,0.0
838f4cfffffffff,6.0,0.0,0.0
838f4efffffffff,2.0,0.0,0.0
838f50fffffffff,20.0,0.0,0.0
838f54fffffffff,66.0,0.0,30.0
838f61fffffffff,261.0,0.0,0.0
838f63fffffffff,2.0,0.0,0.0
838f65fffffffff,5.0,0.0,0.0
838f6bfffffffff,36.0,8.0,0.0
838f6efffffffff,33.0,0.0,0.0
838f70fffffffff,17.0,3.0,0.0
838f71fffffffff,18.0,0.0,0.0
838f72fffffffff,59.0,12.0,3.0
838f74fffffffff,46.0,8.0,0.0
838f76fffffffff,6.0,0.0,0.0
83a841fffffffff,2.0,0.0,0.0
83a84dfffffffff,5.0,0.0,0.0
83a859fffffffff,3.0,0.0,0.0
83a85dfffffffff,2.0,0.0,0.0
83a8c9fffffffff,1.0,1.0,0.0
