cell_id,Piculus chrysochloros,Piculus chrysochloros xanthochlorus,Piculus chrysochloros capistratus,Piculus chrysochloros paraensis,Piculus chrysochloros laemostictus,Piculus chrysochloros chrysochloros,Piculus chrysochloros polyzonus
838b20fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838b21fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838b22fffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0
838b26fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
838b2afffffffff,20.0,0.0,0.0,0.0,0.0,1.0,0.0
838b2efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838b31fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
838b36fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
838b40fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
838b44fffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0
838b45fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838b46fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
838b51fffffffff,4.0,0.0,0.0,0.0,1.0,0.0,0.0
838b53fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838b56fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838b5cfffffffff,10.0,0.0,0.0,0.0,7.0,0.0,0.0
838b61fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
838b62fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
838b63fffffffff,66.0,0.0,0.0,0.0,0.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b6efffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
838b71fffffffff,97.0,0.0,0.0,0.0,0.0,0.0,0.0
838b76fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
838b84fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
838b99fffffffff,12.0,0.0,0.0,0.0,9.0,0.0,0.0
838b9dfffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0
838ba0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838ba6fffffffff,55.0,0.0,0.0,0.0,0.0,1.0,0.0
838bb5fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
838e64fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838f40fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838f46fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838f48fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
838f4cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838f5dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
838f61fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
838f65fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838f6efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83a596fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83a840fffffffff,114.0,0.0,0.0,0.0,0.0,19.0,0.0
83a841fffffffff,7.0,0.0,0.0,0.0,0.0,5.0,0.0
83a843fffffffff,3.0,0.0,0.0,0.0,0.0,2.0,0.0
83a844fffffffff,9.0,0.0,0.0,0.0,0.0,2.0,0.0
83a845fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
83a846fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0
83a84afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83a84efffffffff,5.0,0.0,0.0,0.0,0.0,1.0,0.0
83a859fffffffff,370.0,0.0,0.0,0.0,0.0,18.0,0.0
83a85bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83a85dfffffffff,260.0,0.0,0.0,0.0,0.0,5.0,0.0
83a860fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
83a863fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83a864fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83a865fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
83a866fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83a875fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83a883fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,18.0
83a889fffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0
83a88bfffffffff,5.0,0.0,0.0,0.0,0.0,5.0,0.0
83a8c9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83a941fffffffff,206.0,0.0,0.0,0.0,0.0,0.0,0.0
83a942fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83a943fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83a945fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
83a948fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83a94bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83a94cfffffffff,75.0,0.0,0.0,0.0,0.0,0.0,0.0
83a94dfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83a94efffffffff,374.0,0.0,0.0,0.0,0.0,0.0,0.0
83a959fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
83a95bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83a95cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83a95dfffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0
83a95efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83a961fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
83a963fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
83a968fffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0
83a969fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83a96afffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0
83a96bfffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
83a96cfffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
83a96efffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0
83b340fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
83b341fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b342fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
83b343fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
83b346fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83b349fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83b34bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83b34cfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83b34dfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
83b358fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b35cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83b35efffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83b361fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83b362fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83b363fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83b366fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83b368fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83b369fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
83b36bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83b36dfffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
