cell_id,Loriotus cristatus,Loriotus cristatus [cristatus Group],Loriotus cristatus nattereri
838b62fffffffff,10.0,0.0,0.0
838b63fffffffff,56.0,0.0,0.0
838b71fffffffff,49.0,1.0,0.0
838b74fffffffff,2.0,0.0,0.0
838b82fffffffff,3.0,0.0,0.0
838b83fffffffff,1.0,0.0,0.0
838b84fffffffff,46.0,0.0,0.0
838b88fffffffff,7.0,0.0,0.0
838b8afffffffff,3.0,0.0,0.0
838b8dfffffffff,1.0,0.0,0.0
838b96fffffffff,10.0,0.0,0.0
838b99fffffffff,71.0,2.0,0.0
838b9dfffffffff,323.0,0.0,0.0
838ba0fffffffff,4.0,0.0,0.0
838ba4fffffffff,2.0,0.0,0.0
838ba6fffffffff,4.0,0.0,0.0
838bb5fffffffff,49.0,0.0,0.0
838f61fffffffff,2.0,0.0,0.0
838f65fffffffff,3.0,0.0,0.0
838f6bfffffffff,3.0,0.0,0.0
838f6efffffffff,1.0,0.0,0.0
838f70fffffffff,19.0,0.0,0.0
838f71fffffffff,11.0,0.0,0.0
838f72fffffffff,365.0,0.0,0.0
838f73fffffffff,2.0,0.0,0.0
838f74fffffffff,17.0,0.0,0.0
838f76fffffffff,23.0,0.0,0.0
83a596fffffffff,32.0,5.0,0.0
83a800fffffffff,2.0,0.0,0.0
83a806fffffffff,50.0,34.0,0.0
83a810fffffffff,659.0,330.0,0.0
83a812fffffffff,528.0,103.0,0.0
83a813fffffffff,2.0,2.0,0.0
83a814fffffffff,362.0,166.0,0.0
83a815fffffffff,203.0,80.0,0.0
83a816fffffffff,43.0,20.0,0.0
83a81cfffffffff,3.0,0.0,0.0
83a831fffffffff,202.0,53.0,0.0
83a833fffffffff,145.0,28.0,0.0
83a835fffffffff,80.0,20.0,0.0
83a859fffffffff,1.0,0.0,0.0
83a882fffffffff,1.0,0.0,0.0
83a884fffffffff,15.0,0.0,0.0
83a886fffffffff,2.0,2.0,0.0
83a891fffffffff,159.0,50.0,0.0
83a895fffffffff,33.0,11.0,0.0
83a8a0fffffffff,303.0,58.0,0.0
83a8a1fffffffff,381.0,129.0,0.0
83a8a2fffffffff,558.0,142.0,0.0
83a8a3fffffffff,165.0,51.0,0.0
83a8a5fffffffff,140.0,39.0,0.0
83a8b1fffffffff,7.0,3.0,0.0
83a8c9fffffffff,11.0,0.0,0.0
