cell_id,Tyto furcata,Tyto furcata [tuidara Group],Tyto furcata furcata,Tyto furcata bargei,Tyto furcata nigrescens/insularis,Tyto furcata punctatissima
8426f15ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426f17ffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8426f19ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426f1bffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426f1dffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426f21ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8426f25ffffffff,105.0,0.0,0.0,0.0,0.0,0.0
8426f27ffffffff,41.0,0.0,0.0,0.0,0.0,0.0
8426f2bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426f2dffffffff,123.0,0.0,0.0,0.0,0.0,0.0
8426f31ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426f33ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426f35ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426f39ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426f3bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426f3dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426f49ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426f4dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426f51ffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8426f55ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426f57ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426f6bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426f6dffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84279abffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428005ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8428021ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8428023ffffffff,157.0,24.0,0.0,0.0,0.0,0.0
8428029ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842802bffffffff,463.0,38.0,0.0,0.0,0.0,0.0
842802dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8428061ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428063ffffffff,37.0,2.0,0.0,0.0,0.0,0.0
8428065ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8428069ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
842806bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842806dffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8428101ffffffff,15.0,3.0,0.0,0.0,0.0,0.0
8428103ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8428107ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
842810bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842810dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8428111ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
8428113ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8428117ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
8428119ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842811bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8428121ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428123ffffffff,15.0,2.0,0.0,0.0,0.0,0.0
8428129ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
842812bffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8428133ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8428139ffffffff,38.0,0.0,0.0,0.0,0.0,0.0
842813bffffffff,146.0,8.0,0.0,0.0,0.0,0.0
8428141ffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8428143ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8428145ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428147ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8428149ffffffff,4.0,1.0,0.0,0.0,0.0,0.0
842814bffffffff,6.0,2.0,0.0,0.0,0.0,0.0
842814dffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8428151ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8428155ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8428159ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842815dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8428161ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
842816bffffffff,26.0,0.0,0.0,0.0,0.0,0.0
842816dffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8428183ffffffff,11.0,5.0,0.0,0.0,0.0,0.0
8428187ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842818bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842818dffffffff,2.0,2.0,0.0,0.0,0.0,0.0
84281a3ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84281abffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84281b1ffffffff,18.0,3.0,0.0,0.0,0.0,0.0
84281b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84281b5ffffffff,96.0,14.0,0.0,0.0,0.0,0.0
84281b7ffffffff,35.0,2.0,0.0,0.0,0.0,0.0
84281c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84281c7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84281c9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84281cbffffffff,42.0,7.0,0.0,0.0,0.0,0.0
84281d5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84281e3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84281e5ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
84281e9ffffffff,76.0,8.0,0.0,0.0,0.0,0.0
84281ebffffffff,399.0,2.0,0.0,0.0,0.0,0.0
84281edffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8428301ffffffff,383.0,0.0,0.0,0.0,0.0,0.0
8428303ffffffff,26.0,0.0,0.0,0.0,0.0,0.0
8428305ffffffff,384.0,2.0,0.0,0.0,0.0,0.0
8428307ffffffff,144.0,0.0,0.0,0.0,0.0,0.0
8428309ffffffff,436.0,31.0,0.0,0.0,0.0,0.0
842830bffffffff,1012.0,68.0,0.0,0.0,0.0,0.0
842830dffffffff,231.0,23.0,0.0,0.0,0.0,0.0
8428311ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8428313ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8428315ffffffff,3.0,2.0,0.0,0.0,0.0,0.0
8428317ffffffff,41.0,0.0,0.0,0.0,0.0,0.0
842831dffffffff,274.0,10.0,0.0,0.0,0.0,0.0
8428321ffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8428323ffffffff,71.0,12.0,0.0,0.0,0.0,0.0
8428325ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428329ffffffff,144.0,2.0,0.0,0.0,0.0,0.0
842832bffffffff,473.0,23.0,0.0,0.0,0.0,0.0
842832dffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8428331ffffffff,177.0,4.0,0.0,0.0,0.0,0.0
8428333ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428335ffffffff,94.0,0.0,0.0,0.0,0.0,0.0
8428337ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8428339ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
842833bffffffff,16.0,0.0,0.0,0.0,0.0,0.0
842833dffffffff,26.0,1.0,0.0,0.0,0.0,0.0
8428341ffffffff,305.0,7.0,0.0,0.0,0.0,0.0
8428343ffffffff,331.0,22.0,0.0,0.0,0.0,0.0
8428345ffffffff,251.0,5.0,0.0,0.0,0.0,0.0
8428347ffffffff,773.0,6.0,0.0,0.0,0.0,0.0
842834dffffffff,522.0,65.0,0.0,0.0,0.0,0.0
8428355ffffffff,2022.0,4.0,0.0,0.0,0.0,0.0
8428357ffffffff,867.0,91.0,0.0,0.0,0.0,0.0
8428361ffffffff,46.0,4.0,0.0,0.0,0.0,0.0
8428363ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8428365ffffffff,75.0,0.0,0.0,0.0,0.0,0.0
8428367ffffffff,35.0,0.0,0.0,0.0,0.0,0.0
8428369ffffffff,76.0,1.0,0.0,0.0,0.0,0.0
842836bffffffff,54.0,3.0,0.0,0.0,0.0,0.0
842836dffffffff,27.0,2.0,0.0,0.0,0.0,0.0
8428809ffffffff,31.0,5.0,0.0,0.0,0.0,0.0
842880bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8428811ffffffff,8.0,2.0,0.0,0.0,0.0,0.0
8428813ffffffff,116.0,18.0,0.0,0.0,0.0,0.0
8428817ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8428819ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842881bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842881dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428833ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428841ffffffff,35.0,6.0,0.0,0.0,0.0,0.0
8428843ffffffff,90.0,1.0,0.0,0.0,0.0,0.0
8428849ffffffff,26.0,10.0,0.0,0.0,0.0,0.0
842884bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
842884dffffffff,83.0,0.0,0.0,0.0,0.0,0.0
8428851ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8428855ffffffff,102.0,0.0,0.0,0.0,0.0,0.0
8428857ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
842885bffffffff,3.0,1.0,0.0,0.0,0.0,0.0
842885dffffffff,79.0,48.0,0.0,0.0,0.0,0.0
