cell_id,Phaeochroa cuvierii,Phaeochroa cuvierii roberti,Phaeochroa cuvierii [cuvierii Group]
846d655ffffffff,21.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0
846d65bffffffff,23.0,0.0,0.0
846d65dffffffff,2.0,0.0,0.0
846d681ffffffff,116.0,0.0,0.0
846d683ffffffff,34.0,0.0,0.0
846d685ffffffff,7.0,0.0,0.0
846d687ffffffff,6.0,0.0,0.0
846d689ffffffff,27.0,0.0,0.0
846d68bffffffff,901.0,0.0,0.0
846d68dffffffff,2.0,0.0,0.0
846d691ffffffff,126.0,0.0,0.0
846d693ffffffff,187.0,0.0,0.0
846d695ffffffff,193.0,0.0,0.0
846d697ffffffff,3132.0,0.0,0.0
846d699ffffffff,384.0,0.0,0.0
846d69bffffffff,399.0,0.0,0.0
846d69dffffffff,4499.0,0.0,0.0
846d6abffffffff,3.0,0.0,0.0
846d6b9ffffffff,18.0,0.0,0.0
846d6bbffffffff,714.0,0.0,0.0
846d6c9ffffffff,5.0,0.0,0.0
846d6d1ffffffff,15.0,0.0,0.0
846d6d3ffffffff,456.0,0.0,0.0
846d6d5ffffffff,17.0,0.0,0.0
846d6d7ffffffff,9.0,0.0,0.0
