cell_id,Icterus spurius,Icterus spurius spurius,Icterus spurius fuertesi
8266a7fffffffff,19.0,0.0,0.0
8266b7fffffffff,18.0,2.0,0.0
8266f7fffffffff,4.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0
826787fffffffff,6.0,0.0,0.0
826d07fffffffff,18.0,15.0,0.0
826d17fffffffff,59.0,54.0,2.0
826d27fffffffff,43.0,8.0,4.0
826d2ffffffffff,28.0,7.0,0.0
826d37fffffffff,139.0,97.0,6.0
826d67fffffffff,28.0,0.0,0.0
826d6ffffffffff,22.0,1.0,0.0
826d77fffffffff,19.0,0.0,0.0
