cell_id,Setophaga pitiayumi,Setophaga pitiayumi nigrilora,Setophaga pitiayumi pulchra,Setophaga pitiayumi insularis,Setophaga pitiayumi graysoni,Setophaga pitiayumi inornata,Setophaga pitiayumi cirrha,Setophaga pitiayumi [pitiayumi Group]
826d6ffffffffff,35.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
828137fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
828b27fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
828b67fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
828b6ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
828f2ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
828f4ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a897fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82a92ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a957fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a967fffffffff,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a96ffffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b24ffffffffff,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b267fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b26ffffffffff,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b277fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
82b2effffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b347fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b35ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82b377fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2c7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2cffffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2d7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2f7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c377fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82ce97fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
