cell_id,Buteo augur,Buteo augur augur,Buteo augur archeri
837acbfffffffff,32.0,31.0,0.0
837accfffffffff,323.0,293.0,0.0
837acdfffffffff,60.0,46.0,0.0
837acefffffffff,14.0,14.0,0.0
837ad9fffffffff,73.0,65.0,0.0
837ae8fffffffff,10.0,8.0,0.0
837ae9fffffffff,18.0,13.0,0.0
837aeafffffffff,2.0,2.0,0.0
837aebfffffffff,15.0,15.0,0.0
837aedfffffffff,18.0,18.0,0.0
837b48fffffffff,11.0,8.0,0.0
837b49fffffffff,2.0,2.0,0.0
837b4bfffffffff,125.0,100.0,0.0
837b4cfffffffff,1.0,0.0,0.0
837b6bfffffffff,4.0,4.0,0.0
838304fffffffff,1.0,1.0,0.0
838320fffffffff,5.0,4.0,0.0
838326fffffffff,10.0,10.0,0.0
838332fffffffff,3.0,3.0,0.0
838333fffffffff,5.0,0.0,0.0
8383a5fffffffff,2.0,0.0,0.0
8383adfffffffff,3.0,3.0,0.0
839600fffffffff,2.0,2.0,0.0
839604fffffffff,2.0,2.0,0.0
839620fffffffff,2.0,2.0,0.0
839621fffffffff,3.0,3.0,0.0
839622fffffffff,2.0,2.0,0.0
839635fffffffff,1.0,1.0,0.0
839636fffffffff,3.0,3.0,0.0
839686fffffffff,5.0,5.0,0.0
839690fffffffff,105.0,99.0,0.0
839691fffffffff,2.0,2.0,0.0
839692fffffffff,851.0,771.0,0.0
839693fffffffff,1042.0,882.0,0.0
839694fffffffff,2.0,2.0,0.0
839695fffffffff,2.0,2.0,0.0
83969afffffffff,8.0,6.0,0.0
8396a0fffffffff,14.0,14.0,0.0
8396a1fffffffff,2.0,2.0,0.0
8396a3fffffffff,4.0,4.0,0.0
8396a5fffffffff,40.0,38.0,0.0
8396a8fffffffff,4.0,4.0,0.0
8396b0fffffffff,9.0,8.0,0.0
8396b1fffffffff,53.0,43.0,0.0
8396b2fffffffff,5.0,5.0,0.0
8396b5fffffffff,2.0,2.0,0.0
8396b6fffffffff,4.0,3.0,0.0
839702fffffffff,17.0,17.0,0.0
839703fffffffff,25.0,22.0,0.0
839719fffffffff,1.0,0.0,0.0
83971cfffffffff,16.0,14.0,0.0
83971dfffffffff,2.0,2.0,0.0
839751fffffffff,19.0,18.0,0.0
839752fffffffff,2.0,1.0,0.0
839755fffffffff,1.0,0.0,0.0
839772fffffffff,5.0,5.0,0.0
839782fffffffff,1.0,1.0,0.0
839788fffffffff,2.0,2.0,0.0
83978efffffffff,6.0,6.0,0.0
839799fffffffff,3.0,3.0,0.0
8397a8fffffffff,4.0,4.0,0.0
8397aafffffffff,2.0,2.0,0.0
8397abfffffffff,2.0,2.0,0.0
8397acfffffffff,3.0,3.0,0.0
83ac12fffffffff,7.0,7.0,0.0
83ac80fffffffff,11.0,11.0,0.0
83ac81fffffffff,23.0,6.0,0.0
83ac85fffffffff,6.0,6.0,0.0
83ac86fffffffff,2.0,2.0,0.0
83ac8afffffffff,6.0,6.0,0.0
83ac9dfffffffff,3.0,0.0,0.0
83aca0fffffffff,3.0,2.0,0.0
83aca1fffffffff,16.0,15.0,0.0
83aca3fffffffff,26.0,23.0,0.0
83aca4fffffffff,18.0,13.0,0.0
83aca6fffffffff,5.0,4.0,0.0
83acaafffffffff,8.0,8.0,0.0
83acaefffffffff,20.0,14.0,0.0
83ad8bfffffffff,7.0,3.0,0.0
