cell_id,Ploceus ocularis,Ploceus ocularis crocatus,Ploceus ocularis ocularis/suahelicus
837b6bfffffffff,6.0,0.0,0.0
83828bfffffffff,3.0,1.0,0.0
8382d0fffffffff,6.0,0.0,0.0
8382d2fffffffff,8.0,0.0,0.0
8382d3fffffffff,5.0,0.0,0.0
8382d6fffffffff,1.0,0.0,0.0
838306fffffffff,1.0,0.0,0.0
838311fffffffff,3.0,0.0,0.0
838313fffffffff,3.0,0.0,0.0
83831efffffffff,18.0,0.0,0.0
838320fffffffff,2.0,0.0,0.0
838322fffffffff,2.0,0.0,0.0
838330fffffffff,3.0,0.0,0.0
838333fffffffff,4.0,0.0,0.0
8383acfffffffff,2.0,0.0,0.0
8383adfffffffff,1.0,0.0,0.0
839600fffffffff,16.0,3.0,0.0
839601fffffffff,13.0,0.0,0.0
839602fffffffff,19.0,1.0,2.0
839604fffffffff,5.0,0.0,0.0
839608fffffffff,7.0,3.0,0.0
839609fffffffff,14.0,4.0,0.0
83960afffffffff,3.0,0.0,0.0
83960bfffffffff,15.0,0.0,0.0
83960efffffffff,2.0,0.0,0.0
839610fffffffff,2.0,0.0,0.0
839614fffffffff,1.0,0.0,0.0
839615fffffffff,11.0,0.0,0.0
839620fffffffff,9.0,0.0,0.0
839621fffffffff,19.0,4.0,0.0
839622fffffffff,4.0,0.0,0.0
839623fffffffff,64.0,3.0,0.0
839624fffffffff,3.0,0.0,0.0
839626fffffffff,8.0,0.0,0.0
839628fffffffff,12.0,2.0,0.0
839629fffffffff,3.0,0.0,0.0
83962bfffffffff,9.0,0.0,0.0
83962cfffffffff,33.0,5.0,0.0
83962efffffffff,30.0,4.0,0.0
839631fffffffff,2.0,0.0,0.0
839633fffffffff,29.0,0.0,0.0
839636fffffffff,11.0,0.0,1.0
839666fffffffff,2.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0
839690fffffffff,9.0,0.0,0.0
839692fffffffff,194.0,0.0,0.0
839693fffffffff,112.0,0.0,0.0
83969afffffffff,4.0,0.0,0.0
8396a0fffffffff,4.0,0.0,0.0
8396a1fffffffff,1.0,0.0,0.0
8396a2fffffffff,7.0,0.0,0.0
8396a5fffffffff,2.0,0.0,2.0
8396a8fffffffff,1.0,0.0,0.0
8396b0fffffffff,6.0,0.0,2.0
8396b1fffffffff,18.0,0.0,0.0
8396b2fffffffff,2.0,0.0,0.0
8396b4fffffffff,31.0,0.0,0.0
8396b5fffffffff,35.0,0.0,4.0
8396b6fffffffff,38.0,0.0,2.0
839700fffffffff,6.0,0.0,0.0
839701fffffffff,8.0,0.0,5.0
839702fffffffff,12.0,0.0,0.0
839703fffffffff,48.0,0.0,3.0
839705fffffffff,3.0,0.0,0.0
83970afffffffff,2.0,0.0,0.0
839710fffffffff,9.0,0.0,0.0
839711fffffffff,74.0,0.0,0.0
839713fffffffff,8.0,0.0,0.0
839715fffffffff,34.0,0.0,0.0
839719fffffffff,68.0,0.0,0.0
83971cfffffffff,83.0,0.0,5.0
83971dfffffffff,1.0,0.0,0.0
839721fffffffff,2.0,0.0,0.0
839724fffffffff,3.0,0.0,0.0
839728fffffffff,35.0,0.0,8.0
839729fffffffff,19.0,0.0,0.0
83972afffffffff,2.0,0.0,0.0
83972cfffffffff,54.0,0.0,8.0
83972dfffffffff,68.0,0.0,9.0
83972efffffffff,128.0,0.0,22.0
839731fffffffff,1.0,0.0,0.0
839735fffffffff,13.0,0.0,0.0
839741fffffffff,11.0,0.0,0.0
83974afffffffff,131.0,10.0,0.0
83974bfffffffff,26.0,0.0,0.0
83974efffffffff,13.0,0.0,0.0
839751fffffffff,224.0,8.0,0.0
83975cfffffffff,28.0,1.0,0.0
83975dfffffffff,13.0,1.0,0.0
83975efffffffff,7.0,0.0,0.0
839788fffffffff,10.0,0.0,0.0
839789fffffffff,10.0,0.0,0.0
83978bfffffffff,4.0,0.0,0.0
83978cfffffffff,3.0,0.0,0.0
83978dfffffffff,20.0,0.0,0.0
83978efffffffff,33.0,0.0,0.0
839794fffffffff,3.0,0.0,0.0
83979dfffffffff,2.0,0.0,0.0
8397a8fffffffff,30.0,0.0,2.0
8397aafffffffff,23.0,0.0,3.0
8397abfffffffff,6.0,0.0,0.0
8397acfffffffff,4.0,0.0,0.0
8397adfffffffff,1.0,0.0,0.0
8397b0fffffffff,2.0,0.0,0.0
83ac8afffffffff,44.0,0.0,0.0
83ac8efffffffff,10.0,0.0,0.0
83ac96fffffffff,23.0,0.0,0.0
83bc09fffffffff,5.0,0.0,0.0
83bc0afffffffff,1.0,0.0,0.0
83bc0bfffffffff,23.0,0.0,0.0
83bc19fffffffff,24.0,0.0,5.0
83bc1bfffffffff,144.0,0.0,11.0
83bc46fffffffff,11.0,0.0,0.0
83bc54fffffffff,1.0,0.0,0.0
83bc71fffffffff,14.0,0.0,0.0
83bc72fffffffff,8.0,0.0,0.0
83bc73fffffffff,25.0,0.0,3.0
83bc89fffffffff,51.0,0.0,0.0
83bc8bfffffffff,1.0,0.0,0.0
83bc99fffffffff,12.0,0.0,0.0
83bc9bfffffffff,7.0,0.0,0.0
83bcc2fffffffff,1.0,0.0,0.0
83bcc6fffffffff,8.0,0.0,0.0
83bcd0fffffffff,196.0,0.0,30.0
83bcd1fffffffff,12.0,0.0,2.0
83bcd2fffffffff,463.0,0.0,67.0
83bcd3fffffffff,37.0,0.0,12.0
83bcd4fffffffff,78.0,0.0,0.0
83bcd5fffffffff,4.0,0.0,2.0
83bcd6fffffffff,232.0,0.0,37.0
83bcd8fffffffff,2.0,0.0,0.0
83bcdafffffffff,1.0,0.0,0.0
83bcdefffffffff,8.0,0.0,5.0
83bce2fffffffff,14.0,0.0,9.0
83bce6fffffffff,32.0,0.0,6.0
83bcf0fffffffff,44.0,0.0,6.0
83bcf1fffffffff,16.0,0.0,0.0
83bcf2fffffffff,563.0,0.0,118.0
83bcf3fffffffff,3.0,0.0,2.0
83bcf4fffffffff,31.0,0.0,2.0
83bcf5fffffffff,956.0,0.0,628.0
83bcf6fffffffff,334.0,0.0,51.0
