cell_id,Buteogallus anthracinus,Buteogallus anthracinus anthracinus,Buteogallus anthracinus [subtilis Group]
8445241ffffffff,10.0,0.0,0.0
8445243ffffffff,127.0,16.0,0.0
8445245ffffffff,66.0,13.0,0.0
8445247ffffffff,237.0,5.0,0.0
8445249ffffffff,152.0,11.0,0.0
844524bffffffff,23.0,2.0,0.0
844524dffffffff,5.0,0.0,0.0
8445251ffffffff,8.0,0.0,0.0
8445253ffffffff,10.0,10.0,0.0
8445255ffffffff,65.0,7.0,0.0
8445257ffffffff,78.0,0.0,0.0
844525bffffffff,9.0,2.0,0.0
844525dffffffff,5.0,0.0,0.0
8445261ffffffff,41.0,0.0,0.0
8445263ffffffff,101.0,19.0,0.0
8445267ffffffff,6.0,2.0,0.0
8445269ffffffff,28.0,1.0,0.0
844526bffffffff,148.0,8.0,0.0
844526dffffffff,12.0,0.0,0.0
8445287ffffffff,3.0,1.0,0.0
8445289ffffffff,3.0,0.0,0.0
844528dffffffff,3.0,0.0,0.0
8445293ffffffff,3.0,3.0,0.0
8445297ffffffff,2.0,0.0,0.0
844529bffffffff,14.0,1.0,0.0
84452a1ffffffff,2.0,0.0,0.0
84452a3ffffffff,2.0,0.0,0.0
84452a5ffffffff,18.0,0.0,0.0
84452a7ffffffff,9.0,0.0,0.0
84452adffffffff,13.0,0.0,0.0
84452b9ffffffff,4.0,0.0,0.0
84452bdffffffff,9.0,1.0,0.0
84452c3ffffffff,14.0,1.0,0.0
84452c5ffffffff,6.0,0.0,0.0
84452c7ffffffff,5.0,2.0,0.0
84452cbffffffff,4.0,0.0,0.0
84452d9ffffffff,134.0,91.0,0.0
84452dbffffffff,12.0,0.0,0.0
84452e5ffffffff,75.0,4.0,0.0
84452ebffffffff,18.0,1.0,0.0
8445303ffffffff,31.0,0.0,2.0
8445309ffffffff,3.0,0.0,0.0
8445315ffffffff,5.0,0.0,0.0
8445317ffffffff,2.0,0.0,0.0
8445319ffffffff,65.0,0.0,4.0
844531bffffffff,25.0,5.0,0.0
844531dffffffff,2.0,0.0,0.0
8445321ffffffff,49.0,1.0,0.0
844532bffffffff,67.0,0.0,2.0
844533bffffffff,108.0,4.0,0.0
8445343ffffffff,6.0,2.0,0.0
8445345ffffffff,3.0,0.0,0.0
8445349ffffffff,2.0,0.0,0.0
8445351ffffffff,9.0,0.0,0.0
8445353ffffffff,23.0,3.0,0.0
8445355ffffffff,8.0,0.0,0.0
844535dffffffff,2.0,0.0,0.0
8445363ffffffff,3.0,0.0,0.0
8445365ffffffff,4.0,4.0,0.0
8445367ffffffff,6.0,0.0,0.0
844536bffffffff,11.0,0.0,0.0
8445649ffffffff,34.0,2.0,0.0
84456dbffffffff,8.0,0.0,0.0
8445721ffffffff,379.0,93.0,0.0
8445723ffffffff,4.0,0.0,0.0
8445725ffffffff,3.0,0.0,0.0
8445727ffffffff,10.0,3.0,0.0
8445745ffffffff,18.0,7.0,0.0
8445749ffffffff,77.0,0.0,0.0
844574dffffffff,33.0,2.0,0.0
8445761ffffffff,2.0,0.0,0.0
8445767ffffffff,4.0,0.0,0.0
8445769ffffffff,11.0,3.0,0.0
8448005ffffffff,6.0,0.0,0.0
8448017ffffffff,7.0,0.0,0.0
8448029ffffffff,3.0,0.0,0.0
8448039ffffffff,2.0,0.0,0.0
844803bffffffff,4.0,0.0,0.0
8448065ffffffff,21.0,0.0,0.0
8448067ffffffff,5.0,2.0,0.0
844806dffffffff,27.0,0.0,0.0
8448097ffffffff,36.0,0.0,0.0
84480a1ffffffff,3.0,0.0,0.0
84480a3ffffffff,5.0,0.0,0.0
84480a5ffffffff,2.0,2.0,0.0
84480a9ffffffff,26.0,5.0,0.0
84480adffffffff,291.0,34.0,0.0
84480e3ffffffff,4.0,1.0,0.0
84480e5ffffffff,69.0,5.0,0.0
84480e7ffffffff,2.0,0.0,0.0
8448107ffffffff,4.0,1.0,0.0
8448121ffffffff,18.0,5.0,0.0
8448141ffffffff,2.0,0.0,0.0
8448143ffffffff,3.0,0.0,0.0
8448145ffffffff,9.0,0.0,0.0
8448147ffffffff,91.0,11.0,0.0
844814bffffffff,5.0,4.0,0.0
844814dffffffff,27.0,6.0,0.0
844815bffffffff,18.0,0.0,0.0
844816bffffffff,28.0,3.0,0.0
8448191ffffffff,1.0,1.0,0.0
8448193ffffffff,1.0,0.0,0.0
8448199ffffffff,7.0,0.0,0.0
844819dffffffff,3.0,0.0,0.0
84481a7ffffffff,5.0,0.0,0.0
84481c1ffffffff,2.0,0.0,0.0
84481d5ffffffff,4.0,4.0,0.0
84481d7ffffffff,18.0,0.0,0.0
84481dbffffffff,5.0,0.0,0.0
8448305ffffffff,18.0,0.0,0.0
8448321ffffffff,1.0,0.0,0.0
8448329ffffffff,13.0,0.0,0.0
844832bffffffff,37.0,0.0,0.0
8448331ffffffff,41.0,3.0,0.0
8448333ffffffff,39.0,2.0,0.0
8448337ffffffff,29.0,2.0,0.0
8448339ffffffff,9.0,0.0,0.0
844833bffffffff,72.0,3.0,0.0
844833dffffffff,6.0,1.0,0.0
8448361ffffffff,443.0,8.0,0.0
8448363ffffffff,1622.0,89.0,0.0
8448365ffffffff,17.0,0.0,0.0
8448367ffffffff,20.0,0.0,0.0
8448369ffffffff,638.0,14.0,0.0
844836dffffffff,12.0,1.0,0.0
8448567ffffffff,7.0,0.0,0.0
8448849ffffffff,3.0,0.0,0.0
844884bffffffff,5.0,0.0,0.0
844884dffffffff,22.0,3.0,0.0
8448853ffffffff,3.0,0.0,0.0
84488d1ffffffff,3.0,2.0,0.0
84488d3ffffffff,5.0,0.0,0.0
84488d9ffffffff,2.0,0.0,0.0
84488dbffffffff,3.0,0.0,0.0
8448a21ffffffff,301.0,10.0,0.0
8448a25ffffffff,2.0,0.0,0.0
8448a27ffffffff,13.0,0.0,0.0
8448a29ffffffff,1.0,0.0,0.0
8448a2dffffffff,7.0,0.0,0.0
8448a67ffffffff,1.0,0.0,0.0
8448ab1ffffffff,2.0,0.0,0.0
8448ab3ffffffff,25.0,0.0,0.0
8448ab7ffffffff,1021.0,61.0,0.0
8448b13ffffffff,2.0,0.0,0.0
8448b19ffffffff,4.0,0.0,0.0
8448b4dffffffff,2.0,0.0,0.0
8448b51ffffffff,1.0,0.0,0.0
8448b5bffffffff,14.0,3.0,0.0
8448c01ffffffff,2.0,0.0,0.0
8448c03ffffffff,18.0,2.0,0.0
8448c05ffffffff,37.0,0.0,0.0
8448c07ffffffff,10.0,0.0,0.0
8448c0bffffffff,42.0,0.0,0.0
8448c11ffffffff,316.0,3.0,0.0
8448c13ffffffff,29.0,14.0,0.0
8448c15ffffffff,22.0,1.0,0.0
8448c17ffffffff,8.0,0.0,0.0
8448c19ffffffff,82.0,55.0,0.0
8448c1bffffffff,16.0,7.0,0.0
8448c1dffffffff,233.0,4.0,0.0
8448c35ffffffff,166.0,0.0,0.0
8448c51ffffffff,1.0,0.0,0.0
8448c53ffffffff,14.0,2.0,0.0
8448c57ffffffff,85.0,2.0,0.0
8448c59ffffffff,20.0,0.0,0.0
8448c5bffffffff,8.0,4.0,0.0
8448c5dffffffff,2.0,0.0,0.0
8448cc1ffffffff,33.0,1.0,0.0
8448cc3ffffffff,3.0,0.0,0.0
8448ccbffffffff,14.0,7.0,0.0
8448cd1ffffffff,10.0,2.0,0.0
8448cd3ffffffff,397.0,49.0,0.0
8448cd5ffffffff,2.0,0.0,0.0
8448cd9ffffffff,33.0,7.0,0.0
8448cdbffffffff,306.0,29.0,0.0
8448cddffffffff,9.0,0.0,0.0
8448d19ffffffff,55.0,1.0,0.0
8448d1bffffffff,27.0,2.0,0.0
8448d89ffffffff,232.0,0.0,0.0
8448dc3ffffffff,10.0,0.0,0.0
8448dcbffffffff,3.0,0.0,0.0
8448dd5ffffffff,170.0,0.0,0.0
8448de5ffffffff,58.0,5.0,0.0
8448e09ffffffff,2.0,2.0,0.0
8448e0bffffffff,1.0,0.0,0.0
8448e0dffffffff,2.0,0.0,0.0
8448e11ffffffff,2.0,0.0,0.0
8448e13ffffffff,2.0,0.0,0.0
8448e1bffffffff,1.0,1.0,0.0
8448e2bffffffff,2.0,0.0,0.0
8448e33ffffffff,11.0,3.0,0.0
8448e35ffffffff,1.0,0.0,0.0
8448e37ffffffff,22.0,0.0,0.0
8448e39ffffffff,2.0,0.0,0.0
8448e41ffffffff,4.0,0.0,0.0
8448e49ffffffff,9.0,2.0,0.0
8448e4bffffffff,7.0,0.0,0.0
8448e4dffffffff,23.0,1.0,0.0
8448e55ffffffff,1.0,0.0,0.0
8448e5bffffffff,4.0,0.0,0.0
8448e61ffffffff,3.0,0.0,0.0
8448e63ffffffff,3.0,0.0,0.0
8448e6bffffffff,1.0,1.0,0.0
8448e81ffffffff,16.0,2.0,0.0
8448e83ffffffff,2.0,0.0,0.0
8448e85ffffffff,67.0,13.0,0.0
8448e87ffffffff,2.0,0.0,0.0
8448e89ffffffff,5.0,0.0,0.0
8448e8dffffffff,21.0,1.0,0.0
8448e97ffffffff,10.0,2.0,0.0
8448ea1ffffffff,7.0,2.0,0.0
8448ea3ffffffff,14.0,0.0,0.0
8448ea5ffffffff,34.0,10.0,0.0
8448ea7ffffffff,2.0,0.0,0.0
8448ea9ffffffff,17.0,0.0,0.0
8448eabffffffff,171.0,20.0,0.0
8448eadffffffff,1.0,1.0,0.0
8448eb1ffffffff,27.0,7.0,0.0
8448eb3ffffffff,288.0,57.0,0.0
8448eb5ffffffff,10.0,2.0,0.0
8448eb7ffffffff,21.0,6.0,0.0
8448eb9ffffffff,2.0,0.0,0.0
8448ebbffffffff,1.0,0.0,0.0
8448ebdffffffff,66.0,16.0,0.0
8448ec1ffffffff,2.0,0.0,0.0
8448ec5ffffffff,4.0,0.0,0.0
8448ec7ffffffff,850.0,87.0,0.0
8448ecdffffffff,1.0,0.0,0.0
8448ee1ffffffff,76.0,4.0,0.0
8448ee3ffffffff,10.0,0.0,0.0
8448ee5ffffffff,4.0,0.0,0.0
8448ee7ffffffff,3.0,0.0,0.0
8448ee9ffffffff,9.0,1.0,0.0
8448eebffffffff,261.0,24.0,0.0
8448f21ffffffff,39.0,1.0,0.0
8448f25ffffffff,145.0,8.0,0.0
8448f29ffffffff,2.0,0.0,0.0
8448f2bffffffff,1.0,0.0,0.0
8448f2dffffffff,161.0,10.0,0.0
8448f65ffffffff,1.0,0.0,0.0
8448f67ffffffff,2.0,0.0,0.0
8448f6dffffffff,2.0,2.0,0.0
8449801ffffffff,4.0,0.0,0.0
8449809ffffffff,4.0,4.0,0.0
844980bffffffff,8.0,0.0,0.0
8449831ffffffff,2.0,0.0,0.0
8449855ffffffff,2.0,0.0,0.0
8449861ffffffff,2.0,2.0,0.0
844986dffffffff,5.0,0.0,0.0
8449885ffffffff,1.0,0.0,0.0
8449889ffffffff,1.0,0.0,0.0
844988dffffffff,4.0,0.0,0.0
8449893ffffffff,6.0,4.0,0.0
84498c9ffffffff,50.0,0.0,0.0
84498cbffffffff,1.0,0.0,0.0
84498d3ffffffff,1.0,1.0,0.0
84498ebffffffff,2.0,0.0,0.0
8449901ffffffff,4.0,0.0,0.0
8449903ffffffff,5.0,0.0,0.0
8449905ffffffff,2.0,0.0,0.0
8449907ffffffff,1.0,1.0,0.0
8449911ffffffff,12.0,0.0,0.0
8449913ffffffff,6.0,0.0,0.0
844991dffffffff,2.0,0.0,0.0
8449929ffffffff,86.0,0.0,0.0
844992bffffffff,71.0,17.0,0.0
8449931ffffffff,16.0,3.0,0.0
8449937ffffffff,6.0,5.0,0.0
844993dffffffff,27.0,0.0,0.0
8449941ffffffff,1.0,0.0,0.0
844994bffffffff,1.0,0.0,0.0
844995dffffffff,2.0,0.0,0.0
8449961ffffffff,141.0,12.0,0.0
8449963ffffffff,97.0,52.0,0.0
8449965ffffffff,1073.0,77.0,0.0
8449967ffffffff,449.0,30.0,0.0
8449969ffffffff,32.0,0.0,0.0
844996bffffffff,31.0,2.0,0.0
844996dffffffff,9.0,0.0,0.0
8449981ffffffff,6.0,1.0,0.0
8449987ffffffff,43.0,7.0,0.0
84499b1ffffffff,4.0,1.0,0.0
84499b5ffffffff,7.0,0.0,0.0
84499c1ffffffff,5.0,0.0,0.0
84499c5ffffffff,4.0,0.0,0.0
84499cdffffffff,17.0,1.0,0.0
84499d7ffffffff,2.0,0.0,0.0
84499ddffffffff,5.0,0.0,0.0
84499ebffffffff,13.0,0.0,0.0
8449a2bffffffff,9.0,0.0,0.0
8449a81ffffffff,9.0,0.0,0.0
8449a83ffffffff,2.0,1.0,0.0
8449a85ffffffff,55.0,4.0,0.0
8449a87ffffffff,2.0,0.0,0.0
8449a89ffffffff,16.0,3.0,0.0
8449a8bffffffff,22.0,0.0,0.0
8449a8dffffffff,10.0,0.0,0.0
8449a91ffffffff,182.0,19.0,0.0
8449a93ffffffff,160.0,14.0,0.0
8449a97ffffffff,187.0,8.0,0.0
8449a9bffffffff,19.0,2.0,0.0
8449aa3ffffffff,2.0,0.0,0.0
8449aa7ffffffff,7.0,0.0,0.0
8449ab1ffffffff,11.0,0.0,0.0
8449ab5ffffffff,22.0,0.0,0.0
8449ab7ffffffff,2.0,0.0,0.0
8449ab9ffffffff,1.0,0.0,0.0
8449abbffffffff,5.0,0.0,0.0
8449abdffffffff,3.0,0.0,0.0
8449ac7ffffffff,19.0,0.0,0.0
8449ad5ffffffff,20.0,0.0,0.0
8449ad7ffffffff,12.0,0.0,0.0
8449ae3ffffffff,7.0,0.0,0.0
8449b0bffffffff,2.0,0.0,0.0
8449b19ffffffff,4.0,0.0,0.0
8449b31ffffffff,26.0,0.0,0.0
8449b33ffffffff,53.0,6.0,0.0
8449b35ffffffff,2.0,0.0,0.0
8449b37ffffffff,5.0,2.0,0.0
8449b39ffffffff,2.0,0.0,0.0
8449b3bffffffff,8.0,0.0,0.0
8449b3dffffffff,6.0,0.0,0.0
8449b51ffffffff,1.0,0.0,0.0
8449b53ffffffff,3.0,0.0,0.0
8449b55ffffffff,1.0,0.0,0.0
8449b57ffffffff,13.0,0.0,0.0
845e711ffffffff,2.0,2.0,0.0
845e719ffffffff,13.0,5.0,0.0
845e71bffffffff,242.0,69.0,0.0
845f437ffffffff,1.0,0.0,0.0
845f483ffffffff,4.0,0.0,0.0
845f491ffffffff,1.0,0.0,0.0
845f49bffffffff,2.0,0.0,0.0
845f4a3ffffffff,2.0,1.0,0.0
845f4a7ffffffff,7.0,0.0,0.0
845f4b3ffffffff,2.0,0.0,0.0
845f4bdffffffff,9.0,0.0,0.0
845f4e7ffffffff,2.0,0.0,0.0
845f581ffffffff,160.0,18.0,0.0
845f583ffffffff,1549.0,204.0,0.0
845f587ffffffff,46.0,10.0,0.0
845f58bffffffff,4.0,0.0,0.0
845f591ffffffff,4.0,0.0,0.0
845f595ffffffff,22.0,0.0,0.0
845f5b9ffffffff,116.0,15.0,0.0
845f5d7ffffffff,2.0,0.0,0.0
8466013ffffffff,2.0,0.0,0.0
8466021ffffffff,4.0,0.0,0.0
8466025ffffffff,2.0,0.0,0.0
8466027ffffffff,1.0,0.0,0.0
8466029ffffffff,4.0,0.0,0.0
846602bffffffff,2.0,0.0,0.0
8466035ffffffff,1.0,0.0,0.0
8466045ffffffff,17.0,0.0,0.0
8466047ffffffff,12.0,0.0,0.0
8466049ffffffff,2.0,0.0,0.0
8466053ffffffff,3.0,0.0,0.0
8466055ffffffff,2.0,0.0,0.0
8466059ffffffff,7.0,0.0,0.0
8466061ffffffff,7.0,0.0,0.0
8466063ffffffff,3.0,0.0,0.0
8466067ffffffff,110.0,0.0,0.0
8466069ffffffff,8.0,0.0,0.0
846608dffffffff,5.0,0.0,0.0
84660a7ffffffff,5.0,0.0,0.0
84660adffffffff,2.0,0.0,0.0
84660e1ffffffff,2.0,0.0,0.0
84660e7ffffffff,7.0,0.0,0.0
84660ebffffffff,4.0,0.0,0.0
8466103ffffffff,5.0,0.0,0.0
8466105ffffffff,20.0,0.0,0.0
8466107ffffffff,377.0,0.0,38.0
846610bffffffff,10.0,0.0,0.0
846610dffffffff,5.0,0.0,0.0
8466111ffffffff,20.0,0.0,0.0
8466113ffffffff,39.0,0.0,0.0
8466117ffffffff,1.0,0.0,0.0
8466119ffffffff,136.0,0.0,0.0
846611dffffffff,6.0,0.0,0.0
8466121ffffffff,2.0,0.0,0.0
8466129ffffffff,13.0,0.0,0.0
846612bffffffff,1.0,0.0,0.0
846612dffffffff,13.0,0.0,2.0
8466131ffffffff,3.0,0.0,0.0
8466135ffffffff,25.0,0.0,4.0
8466139ffffffff,537.0,0.0,24.0
846613bffffffff,7.0,0.0,0.0
846613dffffffff,151.0,0.0,11.0
8466161ffffffff,3.0,0.0,0.0
8466163ffffffff,49.0,0.0,5.0
8466165ffffffff,31.0,0.0,0.0
8466167ffffffff,87.0,0.0,5.0
846616bffffffff,1.0,0.0,0.0
846619bffffffff,23.0,0.0,0.0
846619dffffffff,2.0,0.0,0.0
84661a5ffffffff,133.0,0.0,19.0
84661a7ffffffff,47.0,0.0,2.0
84661adffffffff,112.0,0.0,5.0
84661cbffffffff,3.0,0.0,0.0
84661cdffffffff,5.0,0.0,0.0
84661d1ffffffff,6.0,0.0,0.0
84661ebffffffff,2.0,0.0,0.0
8466201ffffffff,31.0,2.0,0.0
8466203ffffffff,13.0,0.0,0.0
8466205ffffffff,238.0,23.0,0.0
8466207ffffffff,7.0,0.0,0.0
846620bffffffff,83.0,0.0,0.0
8466213ffffffff,6.0,0.0,0.0
8466217ffffffff,10.0,0.0,0.0
8466219ffffffff,17.0,0.0,0.0
846621bffffffff,6.0,0.0,0.0
846621dffffffff,4.0,0.0,0.0
8466221ffffffff,337.0,36.0,0.0
8466223ffffffff,13.0,4.0,0.0
8466225ffffffff,15.0,0.0,0.0
8466227ffffffff,9.0,0.0,0.0
846622bffffffff,57.0,5.0,0.0
846623bffffffff,4.0,0.0,0.0
846623dffffffff,2.0,0.0,0.0
8466257ffffffff,5.0,0.0,0.0
8466289ffffffff,4.0,0.0,0.0
846628bffffffff,11.0,0.0,0.0
8466295ffffffff,2.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0
846629dffffffff,3.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0
84662c9ffffffff,1.0,0.0,0.0
84662cdffffffff,5.0,0.0,0.0
84662dbffffffff,2.0,0.0,0.0
84662e5ffffffff,2.0,0.0,0.0
8466311ffffffff,12.0,0.0,0.0
8466313ffffffff,58.0,1.0,0.0
8466317ffffffff,2.0,0.0,0.0
846631bffffffff,17.0,0.0,0.0
846664dffffffff,10.0,0.0,0.0
8466749ffffffff,1.0,0.0,0.0
8466841ffffffff,5.0,0.0,0.0
8466849ffffffff,109.0,0.0,27.0
8466a03ffffffff,49.0,0.0,10.0
8466a05ffffffff,1.0,0.0,0.0
8466a0bffffffff,5.0,0.0,0.0
8466a15ffffffff,143.0,0.0,55.0
8466a17ffffffff,24.0,0.0,5.0
8466a1dffffffff,182.0,0.0,16.0
8466a21ffffffff,75.0,0.0,6.0
8466a23ffffffff,1.0,0.0,1.0
8466a25ffffffff,37.0,0.0,11.0
8466a27ffffffff,140.0,0.0,103.0
8466a31ffffffff,56.0,0.0,15.0
8466a33ffffffff,8.0,0.0,0.0
8466a35ffffffff,5.0,0.0,0.0
8466a37ffffffff,9.0,0.0,0.0
8466a39ffffffff,39.0,0.0,1.0
8466a3dffffffff,4.0,0.0,0.0
8466a51ffffffff,588.0,17.0,25.0
8466a53ffffffff,2.0,0.0,0.0
8466a55ffffffff,70.0,5.0,0.0
8466a57ffffffff,93.0,0.0,17.0
8466a59ffffffff,41.0,6.0,0.0
8466a5bffffffff,472.0,0.0,100.0
8466a5dffffffff,334.0,37.0,0.0
8466a63ffffffff,4.0,0.0,0.0
8466a65ffffffff,891.0,94.0,0.0
8466a9bffffffff,7.0,0.0,0.0
8466aedffffffff,35.0,0.0,3.0
8466b01ffffffff,576.0,0.0,0.0
8466b09ffffffff,650.0,0.0,0.0
8466b0bffffffff,1007.0,0.0,0.0
8466b0dffffffff,8.0,0.0,0.0
8466b19ffffffff,130.0,0.0,3.0
8466b1dffffffff,15.0,0.0,0.0
8466b45ffffffff,286.0,0.0,0.0
8466b47ffffffff,475.0,0.0,0.0
8466b49ffffffff,42.0,0.0,0.0
8466b4bffffffff,2.0,0.0,0.0
8466b4dffffffff,2.0,0.0,0.0
8466b51ffffffff,3.0,0.0,0.0
8466b53ffffffff,45.0,0.0,2.0
8466b55ffffffff,13.0,0.0,0.0
8466b57ffffffff,13.0,0.0,0.0
8466b59ffffffff,222.0,7.0,0.0
8466b5bffffffff,54.0,20.0,0.0
8466b69ffffffff,231.0,0.0,0.0
8466d05ffffffff,7.0,0.0,0.0
8466d0dffffffff,3.0,0.0,0.0
8466d25ffffffff,3.0,0.0,0.0
8466d29ffffffff,6.0,0.0,0.0
8466d47ffffffff,5.0,0.0,0.0
8466d49ffffffff,12.0,0.0,0.0
8466d4bffffffff,3.0,0.0,0.0
8466d6bffffffff,11.0,0.0,1.0
8466e0dffffffff,3.0,0.0,0.0
8466e2bffffffff,3.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0
8466e6bffffffff,1.0,0.0,0.0
8466f01ffffffff,27.0,0.0,2.0
8466f0dffffffff,3.0,0.0,0.0
8466f23ffffffff,3.0,0.0,0.0
8466f35ffffffff,18.0,0.0,0.0
8467413ffffffff,35.0,0.0,0.0
8467417ffffffff,12.0,2.0,0.0
8467425ffffffff,33.0,0.0,0.0
8467427ffffffff,4.0,0.0,0.0
8467429ffffffff,1.0,0.0,0.0
846742dffffffff,11.0,0.0,0.0
8467431ffffffff,20.0,0.0,0.0
8467433ffffffff,24.0,0.0,0.0
8467437ffffffff,31.0,0.0,0.0
846743bffffffff,43.0,1.0,0.0
846743dffffffff,83.0,4.0,0.0
84674a7ffffffff,9.0,2.0,0.0
84674c5ffffffff,91.0,0.0,0.0
84674c7ffffffff,9.0,0.0,0.0
84674c9ffffffff,18.0,0.0,0.0
84674cbffffffff,24.0,0.0,0.0
84674cdffffffff,71.0,5.0,0.0
84674d9ffffffff,31.0,0.0,0.0
84674e9ffffffff,15.0,0.0,0.0
84674ebffffffff,1.0,0.0,0.0
84674edffffffff,13.0,0.0,0.0
8467519ffffffff,10.0,0.0,0.0
846751dffffffff,3.0,0.0,0.0
8467521ffffffff,16.0,1.0,0.0
8467523ffffffff,203.0,0.0,0.0
8467525ffffffff,1.0,0.0,0.0
8467527ffffffff,4.0,0.0,0.0
8467535ffffffff,5.0,0.0,0.0
8467537ffffffff,19.0,0.0,0.0
8467553ffffffff,14.0,0.0,0.0
846756bffffffff,1.0,0.0,0.0
84675c1ffffffff,4.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0
84675cbffffffff,52.0,0.0,0.0
84675e3ffffffff,4.0,0.0,0.0
84676b3ffffffff,1.0,0.0,0.0
84678b3ffffffff,2.0,0.0,0.0
84678b7ffffffff,6.0,3.0,0.0
8467925ffffffff,2.0,0.0,0.0
8467933ffffffff,2.0,0.0,0.0
846793bffffffff,4.0,0.0,0.0
8467943ffffffff,2.0,0.0,0.0
8467947ffffffff,2.0,0.0,0.0
846795dffffffff,6.0,0.0,0.0
8467961ffffffff,2.0,0.0,0.0
8467963ffffffff,5.0,0.0,0.0
84679a1ffffffff,618.0,0.0,0.0
84679a3ffffffff,191.0,0.0,0.0
84679a5ffffffff,55.0,0.0,0.0
84679a7ffffffff,2.0,0.0,0.0
84679adffffffff,19.0,0.0,0.0
84679b3ffffffff,428.0,55.0,0.0
84679b5ffffffff,346.0,0.0,0.0
84679b7ffffffff,930.0,7.0,0.0
84679edffffffff,3.0,0.0,0.0
8467b21ffffffff,3.0,0.0,0.0
8467b29ffffffff,7.0,0.0,0.0
8467b2bffffffff,6.0,0.0,0.0
846d041ffffffff,3.0,0.0,0.0
846d043ffffffff,37.0,7.0,0.0
846d049ffffffff,31.0,3.0,0.0
846d04bffffffff,19.0,6.0,0.0
846d04dffffffff,10.0,0.0,0.0
846d051ffffffff,37.0,9.0,0.0
846d053ffffffff,157.0,11.0,0.0
846d059ffffffff,19.0,0.0,0.0
846d05bffffffff,17.0,5.0,0.0
846d05dffffffff,44.0,0.0,0.0
846d069ffffffff,7.0,2.0,0.0
846d06dffffffff,5.0,0.0,0.0
846d141ffffffff,75.0,2.0,0.0
846d143ffffffff,2.0,0.0,0.0
846d145ffffffff,3.0,0.0,0.0
846d159ffffffff,157.0,33.0,0.0
846d15dffffffff,47.0,2.0,0.0
846d201ffffffff,7.0,0.0,0.0
846d203ffffffff,11.0,0.0,0.0
