cell_id,Hydrobates pelagicus,Hydrobates pelagicus pelagicus,Hydrobates pelagicus melitensis
84391ebffffffff,7.0,0.0,0.0
843920dffffffff,71.0,0.0,0.0
8439225ffffffff,2.0,0.0,0.0
8439227ffffffff,1.0,0.0,0.0
8439229ffffffff,5.0,0.0,0.0
8439241ffffffff,84.0,0.0,0.0
8439245ffffffff,7.0,0.0,0.0
8439247ffffffff,15.0,0.0,0.0
843924bffffffff,2.0,0.0,0.0
8439259ffffffff,1.0,0.0,0.0
843925bffffffff,83.0,0.0,0.0
8439261ffffffff,5.0,0.0,0.0
8439263ffffffff,27.0,0.0,0.0
843926bffffffff,109.0,0.0,0.0
84392d9ffffffff,3.0,0.0,0.0
84392dbffffffff,19.0,0.0,0.0
843931bffffffff,6.0,0.0,0.0
8439323ffffffff,4.0,0.0,0.0
8439331ffffffff,41.0,0.0,0.0
8439335ffffffff,34.0,0.0,0.0
8439337ffffffff,95.0,0.0,0.0
8439339ffffffff,139.0,0.0,0.0
843933bffffffff,22.0,0.0,0.0
8439409ffffffff,1.0,0.0,1.0
843940dffffffff,1.0,0.0,0.0
8439443ffffffff,4.0,0.0,0.0
8439447ffffffff,2.0,0.0,1.0
8439451ffffffff,2.0,0.0,0.0
8439455ffffffff,2.0,0.0,0.0
8439459ffffffff,2.0,0.0,1.0
8439469ffffffff,38.0,0.0,2.0
843946bffffffff,5.0,0.0,3.0
843946dffffffff,43.0,0.0,2.0
8439541ffffffff,5.0,0.0,0.0
8439547ffffffff,1.0,0.0,0.0
8439563ffffffff,6.0,0.0,0.0
8439567ffffffff,5.0,0.0,0.0
84395c1ffffffff,2.0,0.0,0.0
84395cbffffffff,5.0,0.0,0.0
84395cdffffffff,1.0,0.0,0.0
84395d9ffffffff,1.0,0.0,0.0
8439633ffffffff,2.0,0.0,2.0
8439733ffffffff,2.0,0.0,0.0
8439825ffffffff,19.0,0.0,0.0
8439827ffffffff,1.0,0.0,0.0
843991bffffffff,3.0,0.0,0.0
8439945ffffffff,4.0,0.0,0.0
8439a83ffffffff,1.0,0.0,0.0
843f305ffffffff,4.0,0.0,4.0
8454139ffffffff,1.0,0.0,0.0
8454a9bffffffff,2.0,0.0,0.0
8454ac3ffffffff,3.0,0.0,0.0
8455121ffffffff,16.0,0.0,0.0
8455a25ffffffff,1.0,0.0,0.0
8455abdffffffff,1.0,0.0,0.0
84ac121ffffffff,1.0,0.0,0.0
84ac12dffffffff,2.0,0.0,0.0
84ac365ffffffff,2.0,0.0,0.0
84ad34dffffffff,18.0,0.0,0.0
84ad369ffffffff,20.0,0.0,0.0
84ad36bffffffff,1.0,0.0,0.0
84bc693ffffffff,12.0,0.0,0.0
84bc739ffffffff,2.0,0.0,0.0
84d16d3ffffffff,3.0,0.0,0.0
