cell_id,Pyrrhura melanura,Pyrrhura melanura pacifica,Pyrrhura melanura chapmani,Pyrrhura melanura [melanura Group]
8466c87ffffffff,1.0,0.0,0.0,0.0
8466c95ffffffff,8.0,0.0,0.0,0.0
8466cc5ffffffff,8.0,0.0,0.0,0.0
8466cdbffffffff,9.0,0.0,0.0,0.0
8466ce9ffffffff,44.0,0.0,0.0,2.0
8466cedffffffff,4.0,0.0,0.0,0.0
8466d03ffffffff,52.0,0.0,0.0,0.0
8466d07ffffffff,58.0,31.0,0.0,0.0
8466d0bffffffff,1782.0,609.0,0.0,0.0
8466d11ffffffff,1.0,0.0,0.0,0.0
8466d13ffffffff,2.0,0.0,0.0,0.0
8466d1bffffffff,184.0,0.0,0.0,10.0
8466d21ffffffff,2.0,0.0,0.0,0.0
8466d23ffffffff,2.0,0.0,0.0,0.0
8466d27ffffffff,2.0,2.0,0.0,0.0
8466d31ffffffff,1295.0,337.0,0.0,0.0
8466d35ffffffff,1389.0,392.0,0.0,0.0
8466d37ffffffff,117.0,25.0,0.0,0.0
8466d3dffffffff,73.0,4.0,0.0,0.0
8466d81ffffffff,50.0,0.0,0.0,4.0
8466d8dffffffff,5.0,0.0,0.0,0.0
8466da1ffffffff,7.0,0.0,0.0,0.0
8466da5ffffffff,1.0,0.0,0.0,0.0
8466da7ffffffff,7.0,0.0,0.0,0.0
8466da9ffffffff,1.0,0.0,0.0,0.0
8466dadffffffff,61.0,0.0,0.0,0.0
8466db1ffffffff,5.0,0.0,0.0,2.0
8466dc3ffffffff,179.0,0.0,0.0,11.0
8466dc9ffffffff,2.0,0.0,0.0,0.0
8466dcbffffffff,48.0,0.0,0.0,0.0
8466dd1ffffffff,1.0,0.0,0.0,0.0
8466dd3ffffffff,5.0,0.0,0.0,0.0
8466dd5ffffffff,28.0,0.0,0.0,3.0
8466dd7ffffffff,6.0,0.0,0.0,4.0
8466dd9ffffffff,3.0,0.0,0.0,0.0
8466ddbffffffff,8.0,0.0,0.0,0.0
8466dddffffffff,9.0,0.0,0.0,2.0
8466de1ffffffff,1197.0,0.0,0.0,88.0
8466de3ffffffff,77.0,0.0,0.0,7.0
8466de7ffffffff,8.0,0.0,0.0,0.0
8466de9ffffffff,1.0,0.0,0.0,0.0
8466debffffffff,66.0,0.0,0.0,11.0
8466e15ffffffff,3.0,0.0,0.0,0.0
8466e27ffffffff,13.0,0.0,0.0,0.0
8466e33ffffffff,5.0,0.0,0.0,0.0
8466e3bffffffff,10.0,0.0,0.0,0.0
8466e81ffffffff,3.0,0.0,0.0,0.0
8466e89ffffffff,1.0,0.0,0.0,0.0
8466e8dffffffff,15.0,0.0,0.0,0.0
8466e9bffffffff,2.0,0.0,0.0,0.0
8466e9dffffffff,4.0,0.0,0.0,0.0
8466eadffffffff,15.0,0.0,0.0,0.0
8466ec1ffffffff,3.0,0.0,0.0,0.0
8466ec5ffffffff,15.0,0.0,0.0,0.0
8466ec7ffffffff,20.0,0.0,0.0,0.0
8466ecbffffffff,28.0,0.0,0.0,0.0
8466ee5ffffffff,7.0,0.0,0.0,0.0
8466eebffffffff,4.0,0.0,0.0,0.0
8466f1bffffffff,1.0,0.0,0.0,0.0
848a43bffffffff,4.0,0.0,0.0,0.0
848a451ffffffff,11.0,0.0,0.0,0.0
848a459ffffffff,9.0,0.0,0.0,0.0
848a45bffffffff,28.0,0.0,0.0,0.0
848a45dffffffff,101.0,0.0,0.0,3.0
848a4b9ffffffff,6.0,0.0,0.0,0.0
848a525ffffffff,2.0,0.0,0.0,0.0
848a5a1ffffffff,3.0,0.0,0.0,0.0
848a68bffffffff,19.0,0.0,0.0,0.0
848a699ffffffff,106.0,0.0,0.0,0.0
848a69dffffffff,6.0,0.0,0.0,0.0
848a6b5ffffffff,1.0,0.0,0.0,0.0
848a6d1ffffffff,2.0,0.0,0.0,0.0
848a6d3ffffffff,11.0,0.0,0.0,0.0
848a6d7ffffffff,3.0,0.0,0.0,0.0
848a6dbffffffff,215.0,0.0,0.0,0.0
848a6e5ffffffff,1.0,0.0,0.0,0.0
848af09ffffffff,25.0,0.0,0.0,0.0
848af0bffffffff,4.0,0.0,0.0,0.0
848af11ffffffff,7.0,0.0,0.0,0.0
848af45ffffffff,5.0,0.0,0.0,0.0
848e64bffffffff,1.0,0.0,0.0,0.0
848f295ffffffff,2.0,0.0,0.0,0.0
848f2bbffffffff,6.0,0.0,0.0,0.0
848f2c9ffffffff,2.0,0.0,0.0,0.0
848f2cbffffffff,34.0,0.0,0.0,0.0
848f2cdffffffff,5.0,0.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0,0.0
848f401ffffffff,40.0,0.0,0.0,2.0
848f403ffffffff,1.0,0.0,0.0,0.0
848f40dffffffff,1.0,0.0,0.0,0.0
848f44bffffffff,3.0,0.0,0.0,0.0
848f5cbffffffff,1.0,0.0,0.0,0.0
848f5ddffffffff,9.0,0.0,0.0,0.0
848f611ffffffff,22.0,0.0,0.0,0.0
848f613ffffffff,5.0,0.0,0.0,0.0
848f619ffffffff,2.0,0.0,0.0,0.0
848f61bffffffff,44.0,0.0,0.0,0.0
848f625ffffffff,1.0,0.0,0.0,0.0
848f631ffffffff,1.0,0.0,0.0,0.0
848f655ffffffff,13.0,0.0,0.0,0.0
848f657ffffffff,56.0,0.0,0.0,0.0
848f6c9ffffffff,5.0,0.0,0.0,0.0
848f719ffffffff,2.0,0.0,0.0,0.0
848f71bffffffff,6.0,0.0,0.0,0.0
848f745ffffffff,13.0,0.0,0.0,0.0
848f74dffffffff,1.0,0.0,0.0,0.0
848f76bffffffff,3.0,0.0,0.0,0.0
