cell_id,Cissa chinensis,Cissa chinensis [chinensis Group],Cissa chinensis margaritae
843c5cdffffffff,2.0,0.0,0.0
843c5e9ffffffff,1.0,0.0,0.0
843c5ebffffffff,3.0,0.0,0.0
843cc03ffffffff,5.0,0.0,0.0
843cc07ffffffff,4.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0
843cc0bffffffff,37.0,0.0,0.0
843cc0dffffffff,17.0,0.0,0.0
843cc11ffffffff,6.0,0.0,0.0
843cc21ffffffff,9.0,0.0,0.0
843cc27ffffffff,2.0,0.0,0.0
843cc29ffffffff,23.0,0.0,0.0
843cc39ffffffff,2.0,0.0,0.0
843cc41ffffffff,25.0,0.0,0.0
843cc43ffffffff,9.0,0.0,0.0
843cc47ffffffff,23.0,0.0,0.0
843cc55ffffffff,24.0,0.0,0.0
843cc59ffffffff,1.0,0.0,0.0
843cc5bffffffff,2.0,0.0,0.0
843cc5dffffffff,20.0,0.0,0.0
843cc6bffffffff,37.0,0.0,0.0
843ccb7ffffffff,1.0,0.0,0.0
843cd13ffffffff,3.0,0.0,0.0
843cdcdffffffff,3.0,0.0,0.0
843ce11ffffffff,8.0,0.0,0.0
843ce15ffffffff,49.0,0.0,0.0
843ce29ffffffff,22.0,0.0,0.0
843ce2bffffffff,9.0,0.0,0.0
843ce2dffffffff,1.0,0.0,0.0
843ce37ffffffff,1.0,0.0,0.0
843ce3dffffffff,4.0,0.0,0.0
843ce41ffffffff,1.0,0.0,0.0
843ce43ffffffff,17.0,0.0,0.0
843ce49ffffffff,5.0,0.0,0.0
843ce4bffffffff,51.0,0.0,0.0
843ce4dffffffff,54.0,0.0,0.0
843ce51ffffffff,10.0,0.0,0.0
843ce53ffffffff,16.0,0.0,0.0
843ce55ffffffff,66.0,0.0,0.0
843ce57ffffffff,44.0,0.0,0.0
843ce59ffffffff,12.0,0.0,0.0
843ce5bffffffff,39.0,0.0,0.0
843ce5dffffffff,90.0,0.0,0.0
843ce85ffffffff,17.0,0.0,0.0
843ce8bffffffff,2.0,0.0,0.0
843cea3ffffffff,1.0,0.0,0.0
843ceb3ffffffff,2.0,2.0,0.0
843cec1ffffffff,61.0,0.0,0.0
843cec3ffffffff,16.0,0.0,0.0
843cec9ffffffff,25.0,0.0,0.0
843d131ffffffff,29.0,0.0,0.0
843d135ffffffff,7.0,0.0,0.0
843d137ffffffff,131.0,0.0,0.0
843d13dffffffff,5.0,0.0,0.0
843d1adffffffff,2.0,0.0,0.0
843dad1ffffffff,299.0,0.0,0.0
843dad7ffffffff,5.0,0.0,0.0
843dad9ffffffff,66.0,0.0,0.0
843daddffffffff,164.0,0.0,0.0
84404b1ffffffff,1.0,1.0,0.0
84404ddffffffff,19.0,19.0,0.0
84404e7ffffffff,2.0,0.0,0.0
8441433ffffffff,2.0,2.0,0.0
84416abffffffff,2.0,0.0,0.0
8464125ffffffff,1.0,0.0,0.0
8464165ffffffff,1.0,0.0,0.0
846416dffffffff,459.0,0.0,0.0
846480bffffffff,24.0,0.0,0.0
8464821ffffffff,29.0,16.0,0.0
8464825ffffffff,7.0,0.0,0.0
8464827ffffffff,1.0,0.0,0.0
846482bffffffff,75.0,4.0,0.0
846482dffffffff,6.0,0.0,0.0
846484bffffffff,6.0,0.0,0.0
8464911ffffffff,16.0,5.0,0.0
8464951ffffffff,4.0,4.0,0.0
8464981ffffffff,1.0,0.0,0.0
8464983ffffffff,5.0,1.0,0.0
84649cdffffffff,1.0,1.0,0.0
8464a15ffffffff,5.0,0.0,0.0
8464a19ffffffff,4.0,0.0,0.0
8464a1bffffffff,2.0,0.0,0.0
8464a31ffffffff,2.0,0.0,0.0
8464a35ffffffff,35.0,0.0,0.0
8464a3dffffffff,7.0,0.0,0.0
8464b03ffffffff,10.0,0.0,0.0
8464b0bffffffff,2.0,0.0,0.0
8464b51ffffffff,6.0,0.0,0.0
8464b53ffffffff,4.0,0.0,0.0
8464b55ffffffff,54.0,0.0,0.0
8464b57ffffffff,3.0,0.0,0.0
8464b5dffffffff,17.0,0.0,0.0
846500bffffffff,10.0,10.0,0.0
8465039ffffffff,1.0,1.0,0.0
8465851ffffffff,1.0,0.0,0.0
8465859ffffffff,1.0,0.0,0.0
8465915ffffffff,2.0,0.0,0.0
846598bffffffff,2.0,0.0,0.0
8465993ffffffff,484.0,0.0,0.0
846599bffffffff,7.0,0.0,0.0
84659c1ffffffff,17.0,0.0,0.0
84659c9ffffffff,1.0,0.0,0.0
8465b67ffffffff,1.0,0.0,1.0
