cell_id,Haemorhous mexicanus,Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus mcgregori
8426121ffffffff,17.0,0.0,0.0
8426123ffffffff,23.0,0.0,0.0
8426125ffffffff,3.0,0.0,0.0
8426127ffffffff,32.0,0.0,0.0
842612bffffffff,11.0,0.0,0.0
842612dffffffff,4.0,0.0,0.0
8426133ffffffff,17.0,0.0,0.0
8426137ffffffff,2.0,0.0,0.0
8426147ffffffff,6.0,0.0,0.0
842614bffffffff,29.0,0.0,0.0
8426151ffffffff,4.0,0.0,0.0
8426153ffffffff,2.0,0.0,0.0
8426155ffffffff,5.0,0.0,0.0
842615bffffffff,16.0,0.0,0.0
8426161ffffffff,3.0,0.0,0.0
8426163ffffffff,5.0,0.0,0.0
8426165ffffffff,211.0,0.0,0.0
8426167ffffffff,3.0,0.0,0.0
842616bffffffff,23.0,0.0,0.0
8426181ffffffff,23.0,0.0,0.0
8426183ffffffff,300.0,0.0,0.0
8426185ffffffff,6.0,0.0,0.0
8426187ffffffff,23.0,0.0,0.0
8426189ffffffff,10.0,0.0,0.0
842618bffffffff,97.0,0.0,0.0
842618dffffffff,25.0,0.0,0.0
8426191ffffffff,3.0,0.0,0.0
8426193ffffffff,12.0,0.0,0.0
8426197ffffffff,30.0,0.0,0.0
8426199ffffffff,12.0,0.0,0.0
842619bffffffff,2.0,0.0,0.0
842619dffffffff,172.0,0.0,0.0
84261a1ffffffff,5.0,0.0,0.0
84261a3ffffffff,7.0,0.0,0.0
84261a5ffffffff,2.0,0.0,0.0
84261a7ffffffff,38.0,0.0,0.0
84261a9ffffffff,30.0,0.0,0.0
84261abffffffff,14.0,0.0,0.0
84261adffffffff,114.0,0.0,0.0
84261b1ffffffff,36.0,0.0,0.0
84261b3ffffffff,34.0,0.0,0.0
84261b5ffffffff,21.0,0.0,0.0
84261b7ffffffff,19.0,0.0,0.0
84261b9ffffffff,19.0,0.0,0.0
84261bbffffffff,9.0,0.0,0.0
84261bdffffffff,7.0,0.0,0.0
84261c3ffffffff,8.0,0.0,0.0
84261c5ffffffff,53.0,0.0,0.0
84261c7ffffffff,43.0,0.0,0.0
84261d1ffffffff,5.0,0.0,0.0
84261d3ffffffff,3.0,0.0,0.0
84261d5ffffffff,2.0,0.0,0.0
84261d7ffffffff,20.0,0.0,0.0
84261dbffffffff,23.0,0.0,0.0
84261ddffffffff,4.0,0.0,0.0
84261e1ffffffff,15.0,0.0,0.0
84261e3ffffffff,1.0,0.0,0.0
84261e5ffffffff,2.0,0.0,0.0
84261e7ffffffff,78.0,0.0,0.0
84261e9ffffffff,16.0,0.0,0.0
84261ebffffffff,5.0,0.0,0.0
84261edffffffff,6.0,0.0,0.0
8426201ffffffff,75.0,0.0,0.0
8426203ffffffff,19.0,0.0,0.0
