cell_id,Sericornis frontalis,Sericornis frontalis laevigaster,Sericornis frontalis [frontalis Group]
84be1a5ffffffff,13.0,0.0,0.0
84be1a7ffffffff,6.0,0.0,0.0
84be1a9ffffffff,7.0,0.0,1.0
84be1abffffffff,7.0,0.0,0.0
84be1b1ffffffff,29.0,0.0,0.0
84be1b3ffffffff,11.0,0.0,0.0
84be1b5ffffffff,13.0,0.0,2.0
84be1b7ffffffff,7.0,0.0,0.0
84be1b9ffffffff,17.0,0.0,0.0
84be1bbffffffff,8.0,0.0,0.0
84be1bdffffffff,21.0,0.0,0.0
84be1d1ffffffff,92.0,0.0,9.0
84be1d3ffffffff,146.0,0.0,42.0
84be1d5ffffffff,76.0,0.0,20.0
84be1d7ffffffff,30.0,0.0,2.0
84be1dbffffffff,275.0,0.0,21.0
84be293ffffffff,249.0,0.0,27.0
84be297ffffffff,38.0,0.0,0.0
84be29bffffffff,20.0,0.0,7.0
84be2b3ffffffff,73.0,0.0,9.0
84be401ffffffff,1.0,0.0,0.0
84be407ffffffff,2.0,0.0,0.0
84be409ffffffff,2.0,0.0,2.0
84be40dffffffff,84.0,0.0,18.0
84be429ffffffff,24.0,0.0,6.0
84be441ffffffff,123.0,0.0,76.0
84be443ffffffff,21.0,0.0,6.0
84be445ffffffff,44.0,0.0,32.0
84be449ffffffff,153.0,0.0,52.0
84be44bffffffff,4.0,0.0,0.0
84be44dffffffff,134.0,0.0,60.0
84be455ffffffff,41.0,0.0,6.0
84be459ffffffff,124.0,0.0,6.0
84be45bffffffff,6.0,0.0,1.0
84be45dffffffff,126.0,0.0,11.0
84be461ffffffff,6.0,0.0,6.0
84be463ffffffff,116.0,0.0,24.0
84be469ffffffff,11.0,0.0,10.0
84be46dffffffff,17.0,0.0,2.0
84be491ffffffff,7.0,0.0,2.0
84be493ffffffff,117.0,0.0,2.0
84be497ffffffff,48.0,0.0,7.0
84be499ffffffff,9.0,0.0,0.0
84be4c9ffffffff,5.0,0.0,0.0
84be4cbffffffff,4.0,0.0,0.0
84be4d1ffffffff,7.0,0.0,3.0
84be4d3ffffffff,46.0,0.0,5.0
84be4d5ffffffff,16.0,0.0,1.0
84be4d7ffffffff,4.0,0.0,0.0
84be4d9ffffffff,13.0,0.0,0.0
84be4dbffffffff,7.0,0.0,0.0
84be4ddffffffff,5.0,0.0,2.0
84be545ffffffff,2.0,0.0,0.0
84be56dffffffff,2.0,0.0,0.0
84be601ffffffff,36.0,0.0,5.0
84be605ffffffff,173.0,0.0,30.0
84be607ffffffff,517.0,0.0,113.0
84be60dffffffff,262.0,0.0,54.0
84be613ffffffff,206.0,0.0,22.0
84be617ffffffff,463.0,0.0,50.0
84be621ffffffff,56.0,0.0,11.0
84be623ffffffff,712.0,0.0,153.0
84be627ffffffff,105.0,0.0,39.0
84be629ffffffff,253.0,0.0,17.0
84be62bffffffff,272.0,0.0,37.0
84be62dffffffff,14.0,0.0,0.0
84be631ffffffff,2415.0,0.0,452.0
84be633ffffffff,480.0,0.0,61.0
84be635ffffffff,1669.0,0.0,315.0
84be637ffffffff,111.0,0.0,11.0
84be639ffffffff,480.0,0.0,43.0
84be63bffffffff,1969.0,0.0,201.0
84be63dffffffff,1673.0,0.0,162.0
84be647ffffffff,2.0,0.0,0.0
84be661ffffffff,24.0,0.0,4.0
84be663ffffffff,242.0,0.0,49.0
84be665ffffffff,5.0,0.0,2.0
84be667ffffffff,62.0,0.0,13.0
84be681ffffffff,70.0,0.0,14.0
84be683ffffffff,121.0,0.0,23.0
84be685ffffffff,4.0,0.0,2.0
84be68bffffffff,14.0,0.0,0.0
84be68dffffffff,153.0,0.0,20.0
84be695ffffffff,109.0,0.0,7.0
84be697ffffffff,4.0,0.0,0.0
84be6a1ffffffff,190.0,0.0,16.0
84be6a3ffffffff,2.0,0.0,0.0
84be6a5ffffffff,7.0,0.0,2.0
84be6a7ffffffff,10.0,0.0,1.0
84be6a9ffffffff,21.0,0.0,4.0
84be6adffffffff,19.0,0.0,2.0
84be6b1ffffffff,77.0,0.0,11.0
84be6b3ffffffff,8.0,0.0,0.0
84be6b5ffffffff,7.0,0.0,0.0
84be6b7ffffffff,20.0,0.0,2.0
84be6b9ffffffff,18.0,0.0,12.0
84be6bbffffffff,153.0,0.0,9.0
84be6bdffffffff,4.0,0.0,0.0
84be6c5ffffffff,55.0,0.0,10.0
84be6e1ffffffff,7.0,0.0,0.0
84be6e5ffffffff,81.0,0.0,2.0
84be6e9ffffffff,244.0,0.0,41.0
84be6ebffffffff,95.0,0.0,27.0
84be6edffffffff,209.0,0.0,9.0
84be701ffffffff,34.0,0.0,0.0
84be703ffffffff,13.0,0.0,5.0
84be705ffffffff,21.0,0.0,4.0
84be707ffffffff,10.0,0.0,0.0
84be709ffffffff,4.0,0.0,1.0
84be70bffffffff,5.0,0.0,2.0
84be70dffffffff,26.0,0.0,0.0
84be711ffffffff,58.0,0.0,9.0
84be713ffffffff,115.0,0.0,41.0
84be715ffffffff,10.0,0.0,2.0
84be717ffffffff,126.0,0.0,33.0
84be719ffffffff,2.0,0.0,0.0
84be71bffffffff,91.0,0.0,30.0
84be71dffffffff,45.0,0.0,22.0
84be721ffffffff,302.0,0.0,20.0
84be723ffffffff,73.0,0.0,2.0
84be725ffffffff,253.0,0.0,7.0
84be727ffffffff,25.0,0.0,2.0
84be729ffffffff,129.0,0.0,2.0
84be72bffffffff,8.0,0.0,2.0
84be72dffffffff,4420.0,0.0,61.0
84be731ffffffff,2.0,0.0,0.0
84be735ffffffff,6.0,0.0,0.0
84be739ffffffff,14.0,0.0,1.0
84be73bffffffff,61.0,0.0,5.0
84be73dffffffff,1.0,0.0,0.0
84be741ffffffff,89.0,0.0,30.0
84be743ffffffff,21.0,0.0,2.0
84be745ffffffff,31.0,0.0,0.0
84be747ffffffff,20.0,0.0,0.0
84be749ffffffff,113.0,0.0,17.0
84be74bffffffff,423.0,0.0,119.0
84be74dffffffff,664.0,0.0,128.0
84be751ffffffff,157.0,0.0,35.0
84be753ffffffff,1.0,0.0,0.0
84be755ffffffff,16.0,0.0,2.0
84be757ffffffff,5.0,0.0,2.0
84be759ffffffff,128.0,0.0,23.0
84be75bffffffff,58.0,0.0,14.0
84be75dffffffff,200.0,0.0,33.0
84be763ffffffff,2.0,0.0,0.0
84be765ffffffff,10.0,0.0,0.0
84be767ffffffff,32.0,0.0,2.0
84be769ffffffff,111.0,0.0,7.0
84be76bffffffff,22.0,0.0,2.0
84be76dffffffff,94.0,0.0,4.0
84be883ffffffff,63.0,2.0,3.0
84be887ffffffff,157.0,0.0,2.0
84be88bffffffff,469.0,1.0,1.0
84be891ffffffff,16.0,0.0,0.0
84be895ffffffff,5.0,0.0,0.0
84be897ffffffff,4.0,0.0,0.0
84be899ffffffff,20.0,0.0,0.0
84be89bffffffff,224.0,0.0,2.0
84be89dffffffff,103.0,0.0,4.0
84be8a3ffffffff,2.0,0.0,0.0
84be8b1ffffffff,14.0,0.0,0.0
84be8b3ffffffff,6.0,4.0,0.0
84be8b5ffffffff,13.0,0.0,0.0
84be8b7ffffffff,36.0,0.0,0.0
84be8b9ffffffff,4.0,0.0,0.0
84be8bdffffffff,22.0,0.0,0.0
84be8d1ffffffff,3720.0,25.0,52.0
84be8d3ffffffff,119.0,0.0,0.0
84be8d5ffffffff,103.0,0.0,0.0
84be8d7ffffffff,313.0,2.0,3.0
84be8d9ffffffff,1848.0,1.0,5.0
84be8dbffffffff,1008.0,6.0,0.0
84be8ddffffffff,100.0,0.0,0.0
84bea91ffffffff,52.0,0.0,0.0
84bea93ffffffff,11.0,0.0,0.0
84bea95ffffffff,130.0,0.0,0.0
84bea97ffffffff,96.0,0.0,0.0
84bea9bffffffff,6.0,0.0,0.0
84beab1ffffffff,1.0,0.0,0.0
84beab3ffffffff,2359.0,14.0,68.0
84beabbffffffff,486.0,0.0,4.0
84bec4dffffffff,2.0,0.0,0.0
84bed25ffffffff,12.0,0.0,0.0
84bed2dffffffff,10.0,0.0,0.0
84bed45ffffffff,5.0,0.0,0.0
84bed59ffffffff,2.0,0.0,0.0
84bed6dffffffff,3.0,0.0,0.0
84bede5ffffffff,46.0,0.0,0.0
84bededffffffff,28.0,0.0,0.0
84bee01ffffffff,73.0,0.0,0.0
84bee25ffffffff,7.0,0.0,0.0
84bee29ffffffff,3.0,0.0,0.0
84bee2dffffffff,33.0,0.0,0.0
84bee41ffffffff,12.0,0.0,0.0
84bee45ffffffff,1.0,0.0,0.0
84bee49ffffffff,10.0,0.0,0.0
84bee4bffffffff,69.0,0.0,6.0
84bee4dffffffff,4.0,0.0,0.0
84bee65ffffffff,19.0,0.0,0.0
84bee67ffffffff,31.0,0.0,1.0
84bee6dffffffff,21.0,0.0,0.0
84bef01ffffffff,5.0,0.0,0.0
84bef05ffffffff,26.0,1.0,0.0
84bef0dffffffff,312.0,0.0,14.0
84bef21ffffffff,16.0,0.0,0.0
84bef25ffffffff,70.0,0.0,0.0
84bef2dffffffff,356.0,2.0,7.0
84bef41ffffffff,53.0,0.0,1.0
84bef43ffffffff,23.0,0.0,0.0
84bef45ffffffff,2.0,0.0,0.0
84bef47ffffffff,18.0,0.0,0.0
84bef49ffffffff,5.0,0.0,2.0
84bef4bffffffff,5.0,0.0,0.0
84bef4dffffffff,2.0,0.0,0.0
84bef51ffffffff,13.0,0.0,2.0
84bef53ffffffff,2.0,0.0,0.0
84bef55ffffffff,2.0,0.0,0.0
84bef59ffffffff,6.0,0.0,0.0
84bef5bffffffff,8.0,0.0,0.0
84bef5dffffffff,107.0,0.0,0.0
84bef61ffffffff,58.0,0.0,0.0
84bef63ffffffff,47.0,2.0,5.0
84bef65ffffffff,108.0,0.0,0.0
84bef67ffffffff,217.0,0.0,0.0
84bef69ffffffff,7.0,0.0,0.0
84bef6bffffffff,87.0,0.0,3.0
84bef6dffffffff,232.0,5.0,4.0
84bf4a5ffffffff,6.0,0.0,0.0
84bf591ffffffff,4.0,0.0,0.0
84bf599ffffffff,2.0,0.0,0.0
84bf59bffffffff,4.0,0.0,0.0
