cell_id,Sphyrapicus ruber,Sphyrapicus ruber ruber,Sphyrapicus ruber daggetti
8428347ffffffff,9.0,0.0,0.0
842834dffffffff,1.0,0.0,0.0
8428355ffffffff,3.0,0.0,0.0
8428357ffffffff,1.0,0.0,0.0
8428361ffffffff,4.0,0.0,0.0
8428363ffffffff,203.0,1.0,4.0
8428367ffffffff,156.0,0.0,0.0
842836bffffffff,13.0,0.0,1.0
842836dffffffff,2.0,0.0,0.0
8428817ffffffff,2.0,0.0,0.0
8428843ffffffff,52.0,1.0,12.0
842888bffffffff,15.0,0.0,0.0
842888dffffffff,9.0,0.0,0.0
8428895ffffffff,2.0,0.0,0.0
84288adffffffff,2.0,0.0,0.0
84288c5ffffffff,7.0,1.0,0.0
84288c9ffffffff,2.0,0.0,0.0
84288d1ffffffff,4.0,0.0,0.0
84288d7ffffffff,2.0,0.0,0.0
84288edffffffff,2.0,0.0,0.0
84289dbffffffff,2.0,0.0,0.0
8428a93ffffffff,2.0,0.0,2.0
8428aa1ffffffff,2.0,0.0,0.0
8428aa9ffffffff,2.0,0.0,0.0
8428abbffffffff,1.0,0.0,0.0
8428addffffffff,2.0,0.0,2.0
8428ae1ffffffff,4.0,0.0,0.0
8428ae9ffffffff,23.0,0.0,0.0
8428aebffffffff,1.0,0.0,0.0
8428b1dffffffff,5.0,0.0,0.0
8428d05ffffffff,2.0,0.0,0.0
8428d09ffffffff,4.0,0.0,0.0
8428d0dffffffff,27.0,0.0,0.0
8428d15ffffffff,6.0,2.0,0.0
8428d1bffffffff,2.0,0.0,0.0
8428d23ffffffff,5.0,0.0,0.0
8428d29ffffffff,2.0,0.0,0.0
8428d2bffffffff,2.0,0.0,0.0
8428d2dffffffff,3.0,0.0,0.0
8428d35ffffffff,2.0,0.0,0.0
8428d37ffffffff,2.0,0.0,0.0
8428d65ffffffff,2.0,0.0,0.0
8428d6bffffffff,6.0,0.0,0.0
8428de1ffffffff,2.0,0.0,0.0
8428f01ffffffff,15.0,3.0,0.0
8428f09ffffffff,2.0,0.0,0.0
8428f0dffffffff,4.0,0.0,0.0
8428f27ffffffff,2.0,0.0,0.0
8428f37ffffffff,6.0,6.0,0.0
8428f39ffffffff,2.0,2.0,0.0
8428f43ffffffff,8.0,0.0,0.0
8428f45ffffffff,1.0,0.0,0.0
8428f4bffffffff,9.0,0.0,0.0
8428f55ffffffff,2.0,0.0,0.0
8428f5dffffffff,2.0,0.0,0.0
8428f61ffffffff,16.0,0.0,1.0
8428f67ffffffff,24.0,0.0,0.0
8429127ffffffff,14.0,1.0,0.0
84291a7ffffffff,6.0,0.0,0.0
842980dffffffff,6.0,0.0,0.0
8429843ffffffff,1.0,1.0,0.0
8429847ffffffff,2.0,0.0,0.0
8429849ffffffff,2.0,0.0,0.0
8429855ffffffff,2.0,2.0,0.0
8429869ffffffff,2.0,0.0,0.0
842986bffffffff,2.0,0.0,0.0
8429891ffffffff,3.0,0.0,2.0
8429893ffffffff,4.0,0.0,0.0
8429899ffffffff,2.0,0.0,0.0
84298c9ffffffff,4.0,0.0,0.0
84298cbffffffff,1.0,0.0,1.0
84298d1ffffffff,1.0,0.0,0.0
84298d9ffffffff,3.0,0.0,0.0
84298dbffffffff,10.0,0.0,0.0
84298ddffffffff,3.0,0.0,0.0
842990bffffffff,5.0,0.0,2.0
842994dffffffff,4.0,0.0,0.0
8429953ffffffff,9.0,0.0,0.0
84299edffffffff,1.0,0.0,0.0
8429a01ffffffff,2.0,0.0,0.0
8429a03ffffffff,1.0,0.0,1.0
8429a05ffffffff,42.0,0.0,2.0
8429a07ffffffff,9.0,0.0,2.0
8429a0bffffffff,2.0,0.0,0.0
8429a0dffffffff,2.0,1.0,0.0
8429a11ffffffff,2.0,0.0,0.0
8429a19ffffffff,6.0,0.0,0.0
8429a1dffffffff,2.0,0.0,0.0
8429a29ffffffff,2.0,0.0,0.0
8429a41ffffffff,8.0,6.0,2.0
8429a47ffffffff,6.0,1.0,2.0
8429a4dffffffff,1.0,0.0,0.0
8429a51ffffffff,4.0,0.0,0.0
8429a55ffffffff,2.0,0.0,0.0
8429a57ffffffff,12.0,0.0,0.0
8429a59ffffffff,1.0,0.0,0.0
8429a63ffffffff,8.0,0.0,0.0
8429a6dffffffff,4.0,0.0,0.0
8429a8bffffffff,5.0,0.0,0.0
8429a99ffffffff,8.0,0.0,2.0
8429a9bffffffff,4.0,0.0,0.0
8429aa7ffffffff,8.0,0.0,0.0
8429ab7ffffffff,4.0,0.0,1.0
8429abdffffffff,3.0,0.0,0.0
8429ac9ffffffff,44.0,2.0,0.0
8429acdffffffff,5.0,0.0,0.0
8429ad1ffffffff,1.0,0.0,0.0
8429addffffffff,4.0,0.0,0.0
8429ae3ffffffff,1.0,0.0,0.0
8429b03ffffffff,2.0,0.0,0.0
8429b09ffffffff,5.0,0.0,0.0
8429b15ffffffff,2.0,0.0,0.0
8429b25ffffffff,4.0,0.0,0.0
8429b29ffffffff,3.0,0.0,0.0
8429b2dffffffff,37.0,0.0,7.0
8429b5bffffffff,12.0,0.0,0.0
8429b67ffffffff,1.0,0.0,0.0
8429b6bffffffff,4.0,0.0,0.0
8429b6dffffffff,16.0,0.0,0.0
844805bffffffff,1.0,0.0,0.0
8448427ffffffff,9.0,0.0,0.0
8448435ffffffff,5.0,0.0,0.0
84484a5ffffffff,12.0,0.0,0.0
84484a7ffffffff,3.0,0.0,0.0
844855bffffffff,3.0,0.0,0.0
8448591ffffffff,2.0,0.0,0.0
8448593ffffffff,8.0,0.0,0.0
8448599ffffffff,1.0,0.0,0.0
84485a3ffffffff,1.0,0.0,0.0
84485a7ffffffff,6.0,0.0,0.0
84485bbffffffff,3.0,0.0,0.0
84485d1ffffffff,1.0,0.0,0.0
84485d3ffffffff,4.0,0.0,0.0
84485d5ffffffff,2.0,0.0,0.0
84485ddffffffff,11.0,0.0,0.0
8448c07ffffffff,4.0,0.0,2.0
8448c1dffffffff,4.0,0.0,0.0
8448c59ffffffff,2.0,0.0,0.0
8448c5bffffffff,3.0,0.0,0.0
8448cadffffffff,1.0,0.0,0.0
8448cd3ffffffff,5.0,0.0,0.0
8448e5bffffffff,5.0,0.0,0.0
8448e81ffffffff,7.0,0.0,0.0
8448e85ffffffff,38.0,0.0,0.0
8448e8dffffffff,69.0,0.0,0.0
8448e93ffffffff,9.0,0.0,0.0
8448e99ffffffff,17.0,0.0,0.0
8448eb1ffffffff,9.0,0.0,0.0
8448eb3ffffffff,12.0,0.0,2.0
8448ebdffffffff,1.0,0.0,0.0
8448ec7ffffffff,4.0,0.0,0.0
8448ee3ffffffff,2.0,0.0,0.0
8448eebffffffff,31.0,0.0,0.0
8448f21ffffffff,1.0,0.0,0.0
