cell_id,Anous minutus,Anous minutus americanus,Anous minutus melanogenys,Anous minutus [minutus Group]
83739efffffffff,2.0,0.0,0.0,0.0
8373a8fffffffff,6.0,0.0,0.0,0.0
8373abfffffffff,2.0,0.0,0.0,0.0
837682fffffffff,1.0,0.0,0.0,0.0
837686fffffffff,1.0,0.0,0.0,0.0
837699fffffffff,6.0,0.0,0.0,0.0
83769dfffffffff,9.0,0.0,0.0,0.0
8376b1fffffffff,1.0,0.0,0.0,0.0
8376b4fffffffff,5.0,0.0,0.0,0.0
8376b5fffffffff,3.0,0.0,0.0,0.0
837709fffffffff,1.0,0.0,0.0,0.0
837731fffffffff,7.0,0.0,0.0,0.0
837754fffffffff,1.0,0.0,0.0,0.0
837759fffffffff,2.0,0.0,0.0,0.0
837772fffffffff,1.0,0.0,0.0,0.0
837795fffffffff,2.0,0.0,0.0,0.0
837798fffffffff,2.0,0.0,0.0,0.0
83779bfffffffff,2.0,0.0,0.0,0.0
837899fffffffff,3.0,0.0,0.0,0.0
8380b4fffffffff,54.0,0.0,0.0,0.0
8382c0fffffffff,2.0,0.0,0.0,0.0
838818fffffffff,3.0,0.0,0.0,0.0
838904fffffffff,4.0,0.0,0.0,0.0
838922fffffffff,9.0,0.0,0.0,0.0
838930fffffffff,17.0,0.0,0.0,0.0
838932fffffffff,2.0,0.0,0.0,0.0
838934fffffffff,14.0,0.0,0.0,0.0
838935fffffffff,6.0,0.0,0.0,0.0
839411fffffffff,2.0,0.0,0.0,0.0
839413fffffffff,6.0,0.0,0.0,0.0
839415fffffffff,125.0,0.0,0.0,0.0
8394acfffffffff,4.0,0.0,0.0,0.0
83980afffffffff,6.0,0.0,0.0,0.0
83980bfffffffff,2.0,0.0,0.0,0.0
83980efffffffff,2.0,0.0,0.0,0.0
83981dfffffffff,3.0,0.0,0.0,0.0
8399a4fffffffff,8.0,0.0,0.0,0.0
839a14fffffffff,6.0,0.0,0.0,0.0
839a16fffffffff,3.0,0.0,0.0,0.0
839af0fffffffff,1.0,0.0,0.0,0.0
839b0afffffffff,5.0,0.0,0.0,0.0
839b0cfffffffff,1.0,0.0,0.0,0.0
839b41fffffffff,5.0,0.0,0.0,0.0
839b43fffffffff,4.0,0.0,0.0,0.0
839b45fffffffff,2.0,0.0,0.0,0.0
839b4efffffffff,2.0,0.0,0.0,0.0
839b5dfffffffff,2.0,0.0,0.0,0.0
839b6afffffffff,1.0,0.0,0.0,0.0
839b6bfffffffff,17.0,0.0,0.0,0.0
839b73fffffffff,3.0,0.0,0.0,0.0
839c00fffffffff,5.0,0.0,0.0,0.0
839c04fffffffff,8.0,0.0,0.0,0.0
839c19fffffffff,13.0,0.0,0.0,0.0
839c1bfffffffff,4.0,0.0,0.0,0.0
839c20fffffffff,1.0,0.0,0.0,0.0
839c23fffffffff,176.0,0.0,0.0,0.0
839c24fffffffff,2.0,0.0,0.0,0.0
839c83fffffffff,1.0,0.0,0.0,0.0
839c84fffffffff,2.0,0.0,0.0,0.0
839c90fffffffff,44.0,0.0,0.0,0.0
839c94fffffffff,2.0,0.0,0.0,0.0
839c96fffffffff,4.0,0.0,0.0,0.0
839c99fffffffff,1.0,0.0,0.0,0.0
839ca6fffffffff,2.0,0.0,0.0,0.0
839caafffffffff,2.0,0.0,0.0,0.0
839cb5fffffffff,1.0,0.0,0.0,0.0
839cf3fffffffff,2.0,0.0,0.0,0.0
839cf5fffffffff,2.0,0.0,0.0,0.0
839d03fffffffff,4.0,0.0,0.0,0.0
839d0afffffffff,1.0,0.0,0.0,0.0
839d20fffffffff,84.0,0.0,0.0,0.0
839d24fffffffff,205.0,0.0,0.0,0.0
839d25fffffffff,2.0,0.0,0.0,0.0
839d91fffffffff,1.0,0.0,0.0,0.0
839d9bfffffffff,2.0,0.0,0.0,0.0
839e08fffffffff,1.0,0.0,0.0,0.0
839e8dfffffffff,1.0,0.0,0.0,0.0
839ed5fffffffff,1.0,0.0,0.0,0.0
839ee3fffffffff,2.0,0.0,0.0,0.0
839f51fffffffff,2.0,0.0,0.0,0.0
839f53fffffffff,2.0,0.0,0.0,0.0
839f54fffffffff,1.0,0.0,0.0,0.0
839f55fffffffff,24.0,0.0,0.0,0.0
83a023fffffffff,4.0,0.0,0.0,0.0
83a048fffffffff,2.0,0.0,0.0,0.0
83a049fffffffff,28.0,0.0,0.0,0.0
83a04cfffffffff,10.0,0.0,0.0,0.0
83a04efffffffff,12.0,0.0,0.0,0.0
83a051fffffffff,1.0,0.0,0.0,0.0
83a059fffffffff,1.0,0.0,0.0,0.0
83a0d9fffffffff,5.0,0.0,0.0,0.0
83a0dcfffffffff,8.0,0.0,0.0,0.0
83a0ddfffffffff,1.0,0.0,0.0,0.0
83a112fffffffff,5.0,0.0,0.0,0.0
83a116fffffffff,3.0,0.0,0.0,0.0
83a119fffffffff,2.0,0.0,0.0,0.0
83a161fffffffff,5.0,0.0,0.0,0.0
83a16cfffffffff,4.0,0.0,0.0,0.0
83a1a4fffffffff,3.0,0.0,0.0,0.0
83b14afffffffff,6.0,0.0,0.0,0.0
83b4b3fffffffff,2.0,0.0,0.0,0.0
83b4cefffffffff,5.0,0.0,0.0,0.0
83b4eefffffffff,2.0,0.0,0.0,0.0
83ba1afffffffff,42.0,0.0,0.0,0.0
83ba60fffffffff,1.0,0.0,0.0,0.0
83ba68fffffffff,1.0,0.0,0.0,0.0
83ba69fffffffff,356.0,0.0,0.0,0.0
83baf4fffffffff,40.0,0.0,0.0,0.0
83be18fffffffff,3.0,0.0,0.0,0.0
83be88fffffffff,13.0,0.0,0.0,0.0
83be8bfffffffff,11.0,0.0,0.0,0.0
83be8dfffffffff,1.0,0.0,0.0,0.0
83bea9fffffffff,8.0,0.0,0.0,0.0
83beaafffffffff,1.0,0.0,0.0,0.0
83beabfffffffff,41.0,0.0,0.0,0.0
83beaefffffffff,1.0,0.0,0.0,0.0
83bf8bfffffffff,122.0,0.0,0.0,0.0
