cell_id,Aethopyga gouldiae,Aethopyga gouldiae gouldiae/isolata,Aethopyga gouldiae dabryii,Aethopyga gouldiae annamensis
843ccc9ffffffff,4.0,0.0,0.0,0.0
843cd8bffffffff,73.0,10.0,0.0,0.0
843cdd5ffffffff,9.0,1.0,0.0,0.0
843ce31ffffffff,9.0,0.0,0.0,0.0
843ce3bffffffff,8.0,0.0,0.0,0.0
843ce4bffffffff,1.0,0.0,0.0,0.0
843ce51ffffffff,2.0,0.0,0.0,0.0
843ce53ffffffff,8.0,0.0,0.0,0.0
843ce57ffffffff,3.0,0.0,0.0,0.0
843ce59ffffffff,107.0,6.0,0.0,0.0
843ce5bffffffff,27.0,0.0,0.0,0.0
843ce5dffffffff,14.0,2.0,0.0,0.0
843ce81ffffffff,8.0,0.0,0.0,0.0
843ce83ffffffff,21.0,0.0,0.0,0.0
843ce85ffffffff,115.0,0.0,0.0,0.0
843ce87ffffffff,16.0,0.0,0.0,0.0
843ce95ffffffff,367.0,0.0,0.0,0.0
843cea1ffffffff,44.0,0.0,0.0,0.0
843cea5ffffffff,2.0,0.0,0.0,0.0
843cea7ffffffff,7.0,0.0,0.0,0.0
843ceabffffffff,5.0,0.0,0.0,0.0
843cebdffffffff,21.0,0.0,0.0,0.0
843d139ffffffff,13.0,0.0,0.0,0.0
843d151ffffffff,9.0,0.0,0.0,0.0
843d157ffffffff,12.0,0.0,0.0,0.0
843d15dffffffff,2.0,0.0,0.0,0.0
843d1a9ffffffff,31.0,0.0,0.0,0.0
843d1abffffffff,2.0,0.0,0.0,0.0
843d1e1ffffffff,1.0,0.0,0.0,0.0
843d1e7ffffffff,65.0,0.0,0.0,0.0
843d1edffffffff,73.0,0.0,0.0,0.0
843dad1ffffffff,17.0,0.0,0.0,0.0
8440133ffffffff,7.0,0.0,0.0,0.0
8440135ffffffff,1.0,0.0,1.0,0.0
8440197ffffffff,1.0,0.0,0.0,0.0
84401dbffffffff,3.0,0.0,0.0,0.0
84402d7ffffffff,2.0,0.0,2.0,0.0
8440403ffffffff,6.0,0.0,2.0,0.0
8440439ffffffff,35.0,0.0,0.0,0.0
8440443ffffffff,1.0,0.0,0.0,0.0
8440447ffffffff,15.0,0.0,1.0,0.0
8440455ffffffff,2.0,0.0,0.0,0.0
8440457ffffffff,6.0,0.0,4.0,0.0
84404c1ffffffff,36.0,0.0,7.0,0.0
84404c3ffffffff,4.0,0.0,0.0,0.0
84404c5ffffffff,157.0,0.0,23.0,0.0
84404c7ffffffff,2.0,0.0,0.0,0.0
84404cdffffffff,4.0,0.0,0.0,0.0
84404ddffffffff,110.0,0.0,26.0,0.0
84404e1ffffffff,11.0,0.0,1.0,0.0
84404edffffffff,2.0,0.0,2.0,0.0
8440529ffffffff,4.0,0.0,4.0,0.0
844052dffffffff,3.0,0.0,0.0,0.0
8440585ffffffff,1.0,0.0,0.0,0.0
8440589ffffffff,7.0,0.0,0.0,0.0
8440591ffffffff,10.0,0.0,6.0,0.0
844059dffffffff,6.0,0.0,0.0,0.0
84405b9ffffffff,1.0,0.0,0.0,0.0
84405c1ffffffff,5.0,0.0,0.0,0.0
84405c9ffffffff,8.0,0.0,0.0,0.0
84405cbffffffff,1.0,0.0,0.0,0.0
84405ddffffffff,2.0,0.0,1.0,0.0
8440611ffffffff,3.0,0.0,0.0,0.0
8440615ffffffff,2.0,0.0,0.0,0.0
8440619ffffffff,1.0,0.0,0.0,0.0
8440627ffffffff,1.0,0.0,0.0,0.0
8440653ffffffff,10.0,0.0,4.0,0.0
8440657ffffffff,3.0,0.0,0.0,0.0
844066dffffffff,14.0,0.0,7.0,0.0
84406b7ffffffff,56.0,0.0,6.0,0.0
8440717ffffffff,11.0,0.0,0.0,0.0
8440733ffffffff,2.0,0.0,0.0,0.0
8440883ffffffff,1.0,0.0,0.0,0.0
844089dffffffff,2.0,0.0,0.0,0.0
84408d3ffffffff,2.0,0.0,0.0,0.0
8440a8dffffffff,3.0,0.0,0.0,0.0
8440ac5ffffffff,10.0,0.0,0.0,0.0
8440ac9ffffffff,2.0,0.0,0.0,0.0
8440ae3ffffffff,1.0,0.0,0.0,0.0
8440c05ffffffff,2.0,0.0,0.0,0.0
8440c43ffffffff,2.0,0.0,0.0,0.0
8440c59ffffffff,53.0,0.0,2.0,0.0
8440c61ffffffff,4.0,0.0,0.0,0.0
8440c63ffffffff,2.0,0.0,0.0,0.0
8440c67ffffffff,3.0,0.0,0.0,0.0
8440c6bffffffff,2.0,0.0,0.0,0.0
8440c6dffffffff,21.0,0.0,0.0,0.0
8440e11ffffffff,12.0,0.0,6.0,0.0
8440e13ffffffff,99.0,0.0,9.0,0.0
8440e33ffffffff,16.0,0.0,0.0,0.0
8440e37ffffffff,10.0,0.0,0.0,0.0
8440e3dffffffff,2.0,0.0,0.0,0.0
8440e5bffffffff,8.0,0.0,1.0,0.0
8440ec1ffffffff,10.0,0.0,0.0,0.0
8440ec5ffffffff,50.0,0.0,7.0,0.0
8440ec7ffffffff,2.0,0.0,0.0,0.0
8440ee5ffffffff,19.0,0.0,4.0,0.0
8440ee9ffffffff,2.0,0.0,0.0,0.0
8440eebffffffff,16.0,0.0,2.0,0.0
8440eedffffffff,4.0,0.0,0.0,0.0
8441035ffffffff,1.0,0.0,0.0,0.0
84411c9ffffffff,3.0,0.0,0.0,0.0
84411cbffffffff,6.0,0.0,0.0,0.0
8441431ffffffff,2.0,0.0,0.0,0.0
8441433ffffffff,4.0,0.0,0.0,0.0
8441491ffffffff,2.0,0.0,0.0,0.0
8441497ffffffff,1.0,0.0,0.0,0.0
84414c3ffffffff,36.0,0.0,0.0,0.0
8441593ffffffff,7.0,0.0,2.0,0.0
844159bffffffff,20.0,0.0,5.0,0.0
84415c1ffffffff,1.0,0.0,0.0,0.0
84415e7ffffffff,2.0,0.0,0.0,0.0
84415edffffffff,2.0,0.0,0.0,0.0
8441617ffffffff,6.0,0.0,0.0,0.0
8441659ffffffff,4.0,0.0,0.0,0.0
8464821ffffffff,13.0,0.0,0.0,0.0
8464825ffffffff,26.0,0.0,10.0,0.0
846482bffffffff,1041.0,0.0,262.0,0.0
846482dffffffff,4.0,0.0,4.0,0.0
8464843ffffffff,1.0,0.0,1.0,0.0
846484bffffffff,2.0,0.0,0.0,0.0
8464903ffffffff,30.0,0.0,15.0,0.0
8464911ffffffff,1300.0,0.0,425.0,0.0
846491bffffffff,6.0,0.0,0.0,0.0
846491dffffffff,2.0,0.0,0.0,0.0
8464949ffffffff,4.0,0.0,2.0,0.0
846494bffffffff,12.0,0.0,3.0,0.0
8464953ffffffff,1.0,0.0,0.0,0.0
8464981ffffffff,1.0,1.0,0.0,0.0
8464983ffffffff,5.0,0.0,1.0,0.0
8464987ffffffff,2.0,0.0,2.0,0.0
8464a35ffffffff,9.0,0.0,0.0,0.0
8464b0bffffffff,9.0,0.0,4.0,0.0
8465b0dffffffff,2.0,0.0,0.0,2.0
8465b25ffffffff,3.0,0.0,0.0,0.0
8465b61ffffffff,234.0,0.0,0.0,69.0
8465b63ffffffff,4.0,0.0,0.0,1.0
8465b65ffffffff,51.0,0.0,0.0,5.0
8465b67ffffffff,155.0,0.0,0.0,64.0
8465b6bffffffff,22.0,0.0,0.0,4.0
8469341ffffffff,6.0,0.0,0.0,0.0
8469345ffffffff,71.0,0.0,27.0,0.0
8469347ffffffff,1.0,0.0,1.0,0.0
846934dffffffff,13.0,0.0,2.0,0.0
