cell_id,Cyanoderma rufifrons,Cyanoderma rufifrons [ambiguum Group],Cyanoderma rufifrons [rufifrons Group]
846818dffffffff,175.0,0.0,175.0
846819dffffffff,32.0,0.0,32.0
84681a9ffffffff,14.0,0.0,14.0
84681c3ffffffff,9.0,0.0,9.0
84681c5ffffffff,13.0,0.0,13.0
84681e3ffffffff,3.0,0.0,3.0
84681edffffffff,7.0,0.0,7.0
8468985ffffffff,2.0,0.0,2.0
8468ab5ffffffff,1.0,0.0,1.0
8468ac9ffffffff,2.0,0.0,2.0
8468addffffffff,1.0,0.0,1.0
848c1a7ffffffff,8.0,0.0,8.0
848c961ffffffff,18.0,0.0,18.0
848c967ffffffff,28.0,0.0,28.0
848cd0bffffffff,2.0,0.0,2.0
848cd55ffffffff,9.0,0.0,9.0
