cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
842405bffffffff,2.0,0.0,0.0
842406bffffffff,2.0,0.0,0.0
84240a3ffffffff,2.0,0.0,0.0
84240a9ffffffff,1.0,0.0,0.0
84240dbffffffff,2.0,0.0,0.0
84240e1ffffffff,2.0,0.0,0.0
84241d9ffffffff,1.0,0.0,0.0
8424213ffffffff,44.0,0.0,0.0
84242c3ffffffff,15.0,0.0,0.0
84242c5ffffffff,2.0,0.0,0.0
84242c7ffffffff,2.0,0.0,0.0
84242d5ffffffff,1.0,0.0,0.0
8424311ffffffff,44.0,0.0,0.0
8424313ffffffff,3.0,0.0,0.0
8424343ffffffff,4.0,0.0,0.0
8424429ffffffff,4.0,0.0,0.0
8424463ffffffff,4.0,0.0,0.0
8424467ffffffff,2.0,0.0,0.0
84244b1ffffffff,10.0,5.0,0.0
8424517ffffffff,2.0,0.0,0.0
8424529ffffffff,15.0,0.0,0.0
8424567ffffffff,3.0,0.0,0.0
8424609ffffffff,2.0,0.0,0.0
842460dffffffff,3.0,0.0,0.0
8424613ffffffff,2.0,0.0,0.0
8424685ffffffff,1.0,0.0,0.0
84246c3ffffffff,2.0,0.0,0.0
84246ddffffffff,2.0,0.0,0.0
84246e7ffffffff,2.0,0.0,0.0
842476dffffffff,2.0,0.0,0.0
8424809ffffffff,3.0,0.0,0.0
8424829ffffffff,12.0,4.0,0.0
842482bffffffff,6.0,0.0,0.0
8424835ffffffff,2.0,0.0,0.0
8424837ffffffff,1.0,0.0,0.0
8424885ffffffff,7.0,0.0,0.0
84248a9ffffffff,6.0,2.0,0.0
84248abffffffff,33.0,2.0,0.0
84248e5ffffffff,2.0,2.0,0.0
84248e7ffffffff,9.0,2.0,0.0
84249d9ffffffff,5.0,0.0,0.0
8424c05ffffffff,2.0,0.0,0.0
8424c61ffffffff,2.0,0.0,0.0
8424c67ffffffff,2.0,2.0,0.0
8424cddffffffff,2.0,0.0,0.0
8424d5dffffffff,7.0,0.0,0.0
8424e5bffffffff,3.0,0.0,0.0
8424e8dffffffff,2.0,0.0,0.0
8425001ffffffff,1.0,0.0,0.0
8425023ffffffff,4.0,0.0,0.0
8425111ffffffff,2.0,0.0,0.0
