cell_id,Eurylaimus javanicus,Eurylaimus javanicus [harterti Group],Eurylaimus javanicus javanicus
84681edffffffff,13.0,0.0,0.0
8468817ffffffff,1.0,0.0,0.0
84688adffffffff,2.0,0.0,0.0
8468965ffffffff,1.0,0.0,0.0
8468985ffffffff,2.0,0.0,0.0
8468a51ffffffff,2.0,0.0,0.0
8468ac9ffffffff,21.0,0.0,0.0
84699a5ffffffff,2.0,0.0,0.0
848c101ffffffff,82.0,0.0,39.0
848c103ffffffff,47.0,0.0,22.0
848c13bffffffff,8.0,0.0,5.0
848c147ffffffff,13.0,0.0,7.0
848c1a1ffffffff,1.0,0.0,0.0
848c1a7ffffffff,31.0,1.0,0.0
848c961ffffffff,1.0,0.0,0.0
848c965ffffffff,6.0,0.0,0.0
848c967ffffffff,11.0,0.0,0.0
848cad5ffffffff,23.0,2.0,0.0
848caddffffffff,22.0,1.0,0.0
848cd55ffffffff,5.0,0.0,0.0
848d855ffffffff,4.0,0.0,0.0
848d85dffffffff,1.0,0.0,1.0
848d889ffffffff,2.0,0.0,1.0
848d88bffffffff,1.0,0.0,1.0
848d893ffffffff,2.0,0.0,2.0
848da25ffffffff,15.0,0.0,10.0
848da2bffffffff,2.0,0.0,0.0
848da35ffffffff,2.0,0.0,0.0
848da67ffffffff,12.0,0.0,6.0
848db53ffffffff,8.0,0.0,6.0
