cell_id,Melanerpes aurifrons,Melanerpes aurifrons aurifrons,Melanerpes aurifrons [santacruzi Group],Melanerpes aurifrons polygrammus
836d23fffffffff,1500.0,0.0,21.0,26.0
836d24fffffffff,197.0,0.0,11.0,0.0
836d25fffffffff,1154.0,0.0,68.0,0.0
836d26fffffffff,36.0,0.0,1.0,0.0
836d28fffffffff,1899.0,2.0,700.0,0.0
836d29fffffffff,4093.0,0.0,1247.0,0.0
836d2afffffffff,764.0,0.0,99.0,8.0
836d2bfffffffff,4850.0,0.0,1742.0,0.0
836d2cfffffffff,1145.0,0.0,58.0,2.0
836d2dfffffffff,5545.0,0.0,2738.0,0.0
836d2efffffffff,267.0,7.0,13.0,1.0
836d30fffffffff,922.0,0.0,9.0,0.0
836d31fffffffff,1873.0,0.0,5.0,0.0
836d33fffffffff,149.0,0.0,0.0,10.0
836d34fffffffff,3228.0,0.0,747.0,0.0
836d35fffffffff,2746.0,0.0,190.0,0.0
836d36fffffffff,151.0,0.0,4.0,0.0
836d60fffffffff,67.0,0.0,0.0,0.0
836d61fffffffff,5.0,0.0,0.0,0.0
836d64fffffffff,5364.0,0.0,6.0,0.0
836d65fffffffff,757.0,0.0,0.0,0.0
836d66fffffffff,1656.0,0.0,4.0,0.0
836d74fffffffff,3595.0,0.0,5.0,0.0
836d75fffffffff,989.0,0.0,0.0,0.0
836d76fffffffff,407.0,0.0,52.0,0.0
