cell_id,Anthoscopus caroli,Anthoscopus caroli [ansorgei Group],Anthoscopus caroli sylviella/sharpei,Anthoscopus caroli roccatii,Anthoscopus caroli rankinei,Anthoscopus caroli [caroli Group]
839708fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83970afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83970dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839710fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
839711fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
839719fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
83971cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83971dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
839721fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839724fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
839728fffffffff,9.0,0.0,0.0,0.0,0.0,3.0
83972cfffffffff,15.0,0.0,0.0,0.0,0.0,1.0
83972efffffffff,17.0,0.0,0.0,0.0,0.0,4.0
839731fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839743fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83974afffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83974bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83974efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839750fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839751fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
839758fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83975cfffffffff,16.0,0.0,0.0,0.0,0.0,0.0
83975efffffffff,2.0,0.0,0.0,0.0,0.0,1.0
839770fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839772fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83978bfffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8397abfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83ac96fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83bc89fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83bc99fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83bcd0fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83bcd1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83bcd2fffffffff,30.0,0.0,0.0,0.0,0.0,5.0
83bcd3fffffffff,11.0,0.0,0.0,0.0,0.0,2.0
83bcd4fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83bcd6fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
83bcd8fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83bcdafffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83bcdcfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83bcdefffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83bcf0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83bcf2fffffffff,211.0,0.0,0.0,0.0,0.0,32.0
83bcf3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83bcf6fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
