cell_id,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax [pyrrhocorax Group],Pyrrhocorax pyrrhocorax baileyi
823f6ffffffffff,42.0,0.0,0.0
823f77fffffffff,41.0,0.0,0.0
82405ffffffffff,80.0,0.0,0.0
82408ffffffffff,4.0,0.0,0.0
8240c7fffffffff,114.0,25.0,0.0
8240cffffffffff,13.0,0.0,0.0
8240d7fffffffff,5.0,0.0,0.0
8240dffffffffff,53.0,7.0,0.0
8240effffffffff,156.0,43.0,0.0
82431ffffffffff,13.0,0.0,0.0
824327fffffffff,17.0,0.0,0.0
82432ffffffffff,10.0,0.0,0.0
824337fffffffff,18.0,0.0,0.0
824367fffffffff,43.0,0.0,0.0
824377fffffffff,9.0,0.0,0.0
825287fffffffff,16.0,0.0,4.0
827ac7fffffffff,1.0,0.0,0.0
827acffffffffff,74.0,0.0,33.0
