cell_id,Trogon elegans,Trogon elegans [ambiguus Group],Trogon elegans elegans/lubricus
8449915ffffffff,1.0,0.0,0.0
844993bffffffff,2.0,2.0,0.0
8449941ffffffff,9.0,2.0,0.0
8449949ffffffff,2.0,0.0,0.0
844994bffffffff,11.0,0.0,0.0
844994dffffffff,6.0,0.0,0.0
8449959ffffffff,14.0,0.0,0.0
8449981ffffffff,45.0,4.0,0.0
8449985ffffffff,2.0,0.0,0.0
8449987ffffffff,323.0,35.0,0.0
844998dffffffff,2.0,0.0,0.0
84499a3ffffffff,3.0,1.0,0.0
84499b1ffffffff,27.0,2.0,0.0
84499b3ffffffff,6.0,0.0,0.0
84499b5ffffffff,7.0,0.0,0.0
84499b7ffffffff,5.0,3.0,0.0
84499bbffffffff,2.0,0.0,0.0
84499bdffffffff,1.0,0.0,0.0
84499c1ffffffff,11.0,0.0,0.0
84499c5ffffffff,5.0,0.0,0.0
84499c7ffffffff,7.0,0.0,0.0
84499cdffffffff,18.0,0.0,0.0
84499ddffffffff,2.0,0.0,0.0
84499e3ffffffff,159.0,0.0,0.0
84499e7ffffffff,1.0,0.0,0.0
84499ebffffffff,29.0,0.0,0.0
8449a81ffffffff,27.0,2.0,0.0
8449a83ffffffff,4.0,0.0,0.0
8449a85ffffffff,246.0,7.0,0.0
8449a87ffffffff,3.0,0.0,0.0
8449a89ffffffff,6.0,0.0,0.0
8449a8bffffffff,6.0,0.0,0.0
8449a8dffffffff,3.0,0.0,0.0
8449a91ffffffff,560.0,70.0,0.0
8449a93ffffffff,390.0,17.0,0.0
8449a95ffffffff,2.0,0.0,0.0
8449a97ffffffff,142.0,11.0,0.0
8449a9bffffffff,3.0,1.0,0.0
8449aa1ffffffff,6.0,0.0,0.0
8449aa3ffffffff,6.0,0.0,0.0
8449aa9ffffffff,2.0,0.0,0.0
8449aabffffffff,2.0,0.0,0.0
8449ab1ffffffff,54.0,0.0,0.0
8449ab5ffffffff,5.0,0.0,0.0
8449ab9ffffffff,4.0,0.0,0.0
8449abbffffffff,2.0,0.0,0.0
8449ae3ffffffff,6.0,0.0,0.0
8449b1dffffffff,14.0,0.0,0.0
8449b2dffffffff,92.0,0.0,0.0
8449b31ffffffff,138.0,0.0,0.0
8449b33ffffffff,67.0,0.0,0.0
8449b35ffffffff,15.0,0.0,0.0
8449b37ffffffff,1.0,0.0,0.0
8449b53ffffffff,7.0,0.0,0.0
8449b65ffffffff,2.0,0.0,0.0
846d299ffffffff,7.0,0.0,0.0
846d305ffffffff,9.0,0.0,0.0
846d307ffffffff,3.0,0.0,0.0
846d325ffffffff,1.0,0.0,0.0
846d32bffffffff,157.0,28.0,0.0
846d339ffffffff,3.0,0.0,0.0
846d33dffffffff,56.0,5.0,0.0
846d363ffffffff,3.0,0.0,0.0
846d365ffffffff,26.0,2.0,0.0
846d367ffffffff,30.0,1.0,0.0
846d603ffffffff,5.0,0.0,0.0
846d605ffffffff,35.0,0.0,0.0
846d607ffffffff,30.0,0.0,0.0
846d609ffffffff,34.0,0.0,0.0
846d60dffffffff,45.0,0.0,0.0
846d613ffffffff,2.0,0.0,0.0
846d615ffffffff,3.0,0.0,0.0
846d617ffffffff,214.0,0.0,0.0
846d61bffffffff,12.0,0.0,0.0
846d641ffffffff,4.0,0.0,0.0
846d643ffffffff,8.0,0.0,0.0
846d645ffffffff,123.0,0.0,0.0
846d647ffffffff,6.0,0.0,0.0
846d64bffffffff,3.0,0.0,0.0
846d64dffffffff,20.0,0.0,0.0
846d651ffffffff,4.0,0.0,0.0
846d653ffffffff,12.0,0.0,0.0
846d655ffffffff,15.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0
846d661ffffffff,3.0,0.0,0.0
846d663ffffffff,10.0,0.0,0.0
846d665ffffffff,43.0,0.0,0.0
846d667ffffffff,13.0,0.0,0.0
846d669ffffffff,8.0,0.0,0.0
846d66bffffffff,92.0,0.0,0.0
846d66dffffffff,80.0,0.0,0.0
846d681ffffffff,226.0,0.0,0.0
846d683ffffffff,181.0,0.0,0.0
846d685ffffffff,221.0,0.0,0.0
846d687ffffffff,105.0,0.0,0.0
846d689ffffffff,2.0,0.0,0.0
846d68dffffffff,92.0,0.0,0.0
846d695ffffffff,11.0,0.0,0.0
846d697ffffffff,4.0,0.0,0.0
846d6abffffffff,12.0,0.0,0.0
846d6b1ffffffff,15.0,0.0,0.0
846d6b9ffffffff,65.0,0.0,0.0
846d6bbffffffff,1355.0,0.0,0.0
846d6bdffffffff,59.0,0.0,0.0
846d6c9ffffffff,4.0,0.0,0.0
846d6e9ffffffff,29.0,0.0,0.0
846d6ebffffffff,22.0,0.0,0.0
846d6edffffffff,12.0,0.0,0.0
846d741ffffffff,81.0,0.0,0.0
846d743ffffffff,113.0,0.0,0.0
846d745ffffffff,146.0,0.0,0.0
846d749ffffffff,50.0,0.0,0.0
846d74bffffffff,255.0,0.0,0.0
846d74dffffffff,3.0,0.0,0.0
846d759ffffffff,24.0,0.0,0.0
846d75bffffffff,2.0,0.0,0.0
846d75dffffffff,48.0,0.0,0.0
