cell_id,Lacedo pulchella,Lacedo pulchella [pulchella Group],Lacedo pulchella melanops
8465801ffffffff,5.0,0.0,0.0
8465803ffffffff,25.0,0.0,0.0
8465815ffffffff,2.0,0.0,0.0
8465817ffffffff,4.0,0.0,0.0
8465819ffffffff,4.0,0.0,0.0
8465867ffffffff,2.0,0.0,0.0
846589bffffffff,3.0,0.0,0.0
84658a1ffffffff,1.0,0.0,0.0
84658a3ffffffff,3.0,0.0,0.0
84658b3ffffffff,3.0,0.0,0.0
8465915ffffffff,11.0,0.0,0.0
846591dffffffff,18.0,0.0,0.0
8465959ffffffff,2.0,0.0,0.0
8465961ffffffff,7.0,0.0,0.0
8465991ffffffff,3.0,2.0,0.0
8465993ffffffff,362.0,125.0,0.0
846599bffffffff,4.0,0.0,0.0
84659c1ffffffff,11.0,0.0,0.0
84659c9ffffffff,2.0,0.0,0.0
84659dbffffffff,5.0,4.0,0.0
84659e9ffffffff,5.0,0.0,0.0
8465b01ffffffff,152.0,21.0,0.0
8465b09ffffffff,10.0,4.0,0.0
8465b0bffffffff,3.0,0.0,0.0
8465b2bffffffff,4.0,0.0,0.0
8465b39ffffffff,9.0,0.0,0.0
8465b3dffffffff,40.0,0.0,0.0
8465b6bffffffff,1.0,0.0,0.0
8468025ffffffff,20.0,0.0,0.0
8468103ffffffff,1.0,0.0,0.0
8468111ffffffff,2.0,0.0,1.0
8468113ffffffff,1.0,0.0,0.0
846811bffffffff,28.0,0.0,3.0
846811dffffffff,1.0,0.0,1.0
8468123ffffffff,13.0,0.0,9.0
8468125ffffffff,1.0,0.0,0.0
8468129ffffffff,8.0,0.0,0.0
8468157ffffffff,1.0,0.0,0.0
8468181ffffffff,1.0,0.0,0.0
8468185ffffffff,18.0,0.0,1.0
8468189ffffffff,6.0,0.0,4.0
846818bffffffff,7.0,0.0,2.0
846818dffffffff,84.0,0.0,22.0
846819dffffffff,10.0,0.0,5.0
84681a9ffffffff,7.0,0.0,2.0
84681c3ffffffff,46.0,0.0,16.0
84681c5ffffffff,4.0,0.0,2.0
84681c7ffffffff,3.0,0.0,1.0
84681d5ffffffff,4.0,0.0,2.0
84681e3ffffffff,4.0,0.0,0.0
84681edffffffff,4.0,0.0,0.0
8468817ffffffff,1.0,0.0,0.0
8468833ffffffff,2.0,0.0,0.0
8468889ffffffff,3.0,0.0,0.0
84688adffffffff,3.0,0.0,0.0
8468985ffffffff,2.0,0.0,0.0
8468a1dffffffff,2.0,0.0,2.0
8468ac9ffffffff,1.0,0.0,0.0
84699a5ffffffff,1.0,0.0,0.0
848c103ffffffff,16.0,0.0,0.0
848c113ffffffff,1.0,0.0,0.0
848c13bffffffff,13.0,0.0,0.0
848c1a7ffffffff,18.0,0.0,0.0
848c921ffffffff,3.0,0.0,0.0
848c961ffffffff,6.0,0.0,4.0
848c965ffffffff,4.0,0.0,0.0
848c967ffffffff,18.0,0.0,4.0
848cad5ffffffff,13.0,2.0,0.0
848caddffffffff,19.0,1.0,0.0
848cd0bffffffff,1.0,0.0,0.0
848cd55ffffffff,6.0,0.0,0.0
848cd5dffffffff,6.0,2.0,0.0
848d85dffffffff,1.0,0.0,0.0
848d889ffffffff,1.0,1.0,0.0
848d891ffffffff,1.0,0.0,0.0
848da25ffffffff,2.0,0.0,0.0
848da35ffffffff,3.0,0.0,0.0
848da37ffffffff,5.0,0.0,0.0
848da67ffffffff,2.0,0.0,0.0
