cell_id,Anarhynchus nivosus,Anarhynchus nivosus nivosus,Anarhynchus nivosus occidentalis
83450bfffffffff,4.0,1.0,0.0
834520fffffffff,2.0,0.0,0.0
834531fffffffff,20.0,0.0,0.0
83456dfffffffff,3.0,0.0,0.0
834572fffffffff,1.0,1.0,0.0
834588fffffffff,2.0,0.0,0.0
83458cfffffffff,2.0,0.0,0.0
834598fffffffff,18.0,0.0,0.0
834810fffffffff,8.0,0.0,0.0
834816fffffffff,4.0,0.0,0.0
83481bfffffffff,2.0,0.0,0.0
834823fffffffff,2.0,0.0,0.0
83482afffffffff,4.0,0.0,0.0
834843fffffffff,14.0,0.0,0.0
83484afffffffff,61.0,0.0,0.0
834856fffffffff,13.0,9.0,0.0
834858fffffffff,3.0,3.0,0.0
83485afffffffff,24.0,0.0,0.0
83485bfffffffff,41.0,0.0,0.0
83485dfffffffff,19.0,0.0,0.0
83485efffffffff,7.0,0.0,0.0
834873fffffffff,4.0,0.0,0.0
834880fffffffff,2.0,0.0,0.0
834882fffffffff,3.0,0.0,0.0
834889fffffffff,4.0,0.0,0.0
83488afffffffff,8.0,0.0,0.0
83488bfffffffff,11.0,0.0,0.0
83488efffffffff,9.0,0.0,0.0
834890fffffffff,16.0,0.0,0.0
834892fffffffff,12.0,0.0,0.0
834893fffffffff,2.0,0.0,0.0
834895fffffffff,38.0,0.0,0.0
834898fffffffff,13.0,0.0,0.0
83489cfffffffff,27.0,0.0,0.0
83489efffffffff,54.0,0.0,0.0
8348b1fffffffff,86.0,0.0,0.0
8348b2fffffffff,60.0,0.0,0.0
8348b3fffffffff,384.0,0.0,0.0
8348c2fffffffff,1.0,0.0,0.0
8348c3fffffffff,1.0,0.0,0.0
8348c5fffffffff,1.0,0.0,0.0
8348c6fffffffff,1.0,0.0,0.0
8348c8fffffffff,8.0,2.0,0.0
8348cdfffffffff,7.0,0.0,0.0
8348d0fffffffff,73.0,0.0,0.0
8348d2fffffffff,2.0,0.0,0.0
8348d4fffffffff,1.0,0.0,0.0
8348d8fffffffff,2.0,0.0,0.0
8348dafffffffff,13.0,0.0,0.0
8348e8fffffffff,16.0,0.0,0.0
8348e9fffffffff,57.0,0.0,0.0
8348eafffffffff,165.0,0.0,0.0
8348ebfffffffff,2.0,0.0,0.0
8348eefffffffff,7.0,0.0,0.0
8348f2fffffffff,7.0,0.0,0.0
8348f3fffffffff,4.0,0.0,0.0
834980fffffffff,8.0,0.0,0.0
834982fffffffff,3.0,0.0,0.0
834994fffffffff,1.0,0.0,0.0
834995fffffffff,8.0,0.0,0.0
834996fffffffff,15.0,0.0,0.0
8349a8fffffffff,2.0,0.0,0.0
8349abfffffffff,12.0,5.0,0.0
834c83fffffffff,1.0,0.0,0.0
