cell_id,Zonotrichia capensis,Zonotrichia capensis [capensis Group],Zonotrichia capensis australis
83b2c5fffffffff,11.0,6.0,0.0
83b2cafffffffff,8.0,0.0,8.0
83b2cdfffffffff,3.0,0.0,0.0
83b2cefffffffff,2.0,2.0,0.0
83b2d9fffffffff,2.0,2.0,0.0
83b2e2fffffffff,12.0,12.0,0.0
83b2e3fffffffff,6.0,4.0,0.0
83b2e4fffffffff,2.0,2.0,0.0
83b2e9fffffffff,4.0,0.0,0.0
83b2eefffffffff,4.0,0.0,0.0
83b300fffffffff,7.0,3.0,0.0
83b304fffffffff,4.0,4.0,0.0
83b305fffffffff,5.0,5.0,0.0
83b30bfffffffff,2.0,2.0,0.0
83b31dfffffffff,1.0,0.0,0.0
83b320fffffffff,2.0,0.0,0.0
83b351fffffffff,4.0,0.0,2.0
83b355fffffffff,3.0,0.0,3.0
83b358fffffffff,3.0,3.0,0.0
83b35afffffffff,5.0,4.0,1.0
83b35efffffffff,7.0,5.0,0.0
83c219fffffffff,3.0,3.0,0.0
83c21bfffffffff,20.0,20.0,0.0
83c2c1fffffffff,8.0,0.0,0.0
83c2c2fffffffff,2.0,0.0,0.0
83c2c5fffffffff,48.0,4.0,0.0
83c2c9fffffffff,255.0,0.0,0.0
83c2cbfffffffff,2.0,0.0,0.0
83c2cdfffffffff,242.0,0.0,0.0
83c2cefffffffff,6.0,0.0,0.0
83c2d0fffffffff,2.0,0.0,0.0
83c2d1fffffffff,4.0,0.0,0.0
83c2d4fffffffff,13.0,0.0,0.0
83c2d5fffffffff,7.0,0.0,0.0
83c2e0fffffffff,4.0,3.0,0.0
83c2e3fffffffff,3.0,0.0,0.0
83c2e6fffffffff,2.0,0.0,0.0
83c2e9fffffffff,121.0,0.0,0.0
83c2eafffffffff,9.0,0.0,0.0
83c2ebfffffffff,48.0,0.0,0.0
83c2f3fffffffff,28.0,0.0,0.0
83c301fffffffff,6.0,0.0,6.0
83c305fffffffff,1.0,0.0,1.0
83c320fffffffff,6.0,0.0,6.0
83c321fffffffff,6.0,0.0,6.0
83c324fffffffff,1.0,0.0,1.0
83c329fffffffff,1.0,0.0,0.0
83c32afffffffff,3.0,0.0,3.0
83c32efffffffff,10.0,0.0,10.0
83c34bfffffffff,66.0,0.0,0.0
83c36efffffffff,5.0,0.0,0.0
83c371fffffffff,3.0,0.0,0.0
83ce80fffffffff,3.0,0.0,3.0
83ce81fffffffff,3.0,2.0,0.0
83ce93fffffffff,4.0,0.0,4.0
83ceaafffffffff,3.0,3.0,0.0
83ceacfffffffff,2.0,2.0,0.0
83ceb4fffffffff,4.0,0.0,4.0
83cf12fffffffff,9.0,0.0,2.0
83cf16fffffffff,1.0,0.0,0.0
83cfa0fffffffff,2.0,0.0,0.0
83cfa4fffffffff,9.0,0.0,2.0
83cfacfffffffff,5.0,0.0,0.0
83df41fffffffff,2.0,0.0,0.0
83df45fffffffff,3.0,0.0,0.0
83df68fffffffff,8.0,4.0,2.0
83df69fffffffff,3.0,1.0,0.0
83df6bfffffffff,2.0,0.0,2.0
