cell_id,Campethera abingoni,Campethera abingoni chrysura,Campethera abingoni [abingoni Group]
8497359ffffffff,1.0,0.0,0.0
8497409ffffffff,2.0,0.0,0.0
8497411ffffffff,2.0,0.0,0.0
8497415ffffffff,14.0,0.0,2.0
8497417ffffffff,28.0,0.0,4.0
849741dffffffff,5.0,0.0,0.0
8497431ffffffff,18.0,0.0,0.0
8497435ffffffff,5.0,0.0,0.0
8497437ffffffff,18.0,0.0,0.0
849743bffffffff,12.0,0.0,0.0
849743dffffffff,1.0,0.0,0.0
8497461ffffffff,1.0,0.0,0.0
8497485ffffffff,7.0,0.0,0.0
84974a9ffffffff,203.0,0.0,52.0
84974abffffffff,74.0,0.0,10.0
84974adffffffff,1.0,0.0,0.0
84974b9ffffffff,31.0,0.0,6.0
84974bdffffffff,4.0,0.0,0.0
84974e1ffffffff,5.0,0.0,0.0
84974e3ffffffff,9.0,0.0,0.0
84974e5ffffffff,4.0,0.0,0.0
84974e9ffffffff,19.0,0.0,6.0
84974edffffffff,16.0,0.0,12.0
8497503ffffffff,2.0,0.0,0.0
8497509ffffffff,3.0,0.0,0.0
849750bffffffff,1.0,0.0,0.0
8497513ffffffff,34.0,0.0,0.0
8497515ffffffff,64.0,0.0,0.0
8497517ffffffff,17.0,0.0,0.0
8497535ffffffff,1.0,0.0,1.0
8497543ffffffff,2.0,0.0,0.0
8497547ffffffff,4.0,0.0,0.0
8497555ffffffff,2.0,0.0,0.0
8497557ffffffff,1.0,0.0,0.0
8497559ffffffff,2.0,0.0,0.0
84975c5ffffffff,15.0,0.0,0.0
84975c7ffffffff,32.0,0.0,2.0
84975c9ffffffff,2.0,0.0,0.0
84975cbffffffff,8.0,0.0,0.0
84975d1ffffffff,16.0,0.0,0.0
84975ddffffffff,7.0,0.0,0.0
84975e1ffffffff,5.0,0.0,0.0
84975ebffffffff,6.0,0.0,2.0
8497681ffffffff,7.0,0.0,0.0
8497685ffffffff,4.0,0.0,0.0
8497707ffffffff,2.0,0.0,0.0
8497717ffffffff,2.0,0.0,0.0
849772dffffffff,1.0,0.0,0.0
8497733ffffffff,4.0,0.0,0.0
849774dffffffff,2.0,0.0,0.0
8497751ffffffff,2.0,0.0,0.0
8497885ffffffff,2.0,0.0,0.0
84978d9ffffffff,3.0,0.0,2.0
84978ebffffffff,1.0,0.0,0.0
8497913ffffffff,5.0,0.0,0.0
84979e9ffffffff,3.0,0.0,0.0
8497a85ffffffff,10.0,0.0,0.0
8497a89ffffffff,2.0,0.0,0.0
8497a8bffffffff,7.0,0.0,0.0
8497aabffffffff,5.0,0.0,2.0
84ac801ffffffff,9.0,0.0,0.0
84ac805ffffffff,1.0,0.0,0.0
84ac81bffffffff,15.0,0.0,0.0
84ac851ffffffff,7.0,0.0,7.0
84ac853ffffffff,1.0,0.0,0.0
84ac863ffffffff,18.0,0.0,1.0
84ac867ffffffff,48.0,0.0,7.0
84ac8a9ffffffff,22.0,0.0,3.0
84ac8e7ffffffff,4.0,0.0,0.0
84ac95bffffffff,6.0,0.0,0.0
84ac961ffffffff,21.0,0.0,0.0
84ac969ffffffff,4.0,0.0,0.0
84ac96dffffffff,3.0,0.0,0.0
84aca03ffffffff,1.0,0.0,0.0
84aca07ffffffff,5.0,0.0,0.0
84aca27ffffffff,5.0,0.0,1.0
84aca2bffffffff,3.0,0.0,3.0
84aca39ffffffff,3.0,0.0,0.0
84aca3dffffffff,32.0,0.0,8.0
84aca4bffffffff,6.0,0.0,2.0
84aca61ffffffff,10.0,0.0,0.0
84aca67ffffffff,2.0,0.0,0.0
84aca69ffffffff,2.0,0.0,0.0
84aca6bffffffff,8.0,0.0,0.0
84acaadffffffff,4.0,0.0,4.0
84acb11ffffffff,4.0,0.0,0.0
84acb1bffffffff,27.0,0.0,8.0
84acb35ffffffff,3.0,0.0,0.0
84ad821ffffffff,3.0,0.0,0.0
84ad82dffffffff,2.0,0.0,0.0
84ad861ffffffff,8.0,0.0,6.0
84ad867ffffffff,4.0,0.0,0.0
84ad9d3ffffffff,1.0,0.0,0.0
84ada21ffffffff,9.0,0.0,1.0
84ada2dffffffff,1.0,0.0,0.0
84adb07ffffffff,4.0,0.0,1.0
84adb2bffffffff,14.0,0.0,4.0
84adb31ffffffff,1.0,0.0,1.0
84adb43ffffffff,2.0,0.0,0.0
84adb53ffffffff,3.0,0.0,0.0
84bc193ffffffff,2.0,0.0,0.0
84bc197ffffffff,10.0,0.0,4.0
84bc19bffffffff,3.0,0.0,0.0
84bc1b3ffffffff,11.0,0.0,0.0
84bc1b7ffffffff,51.0,0.0,4.0
84bc1bbffffffff,8.0,0.0,0.0
84bc891ffffffff,2.0,0.0,0.0
84bc897ffffffff,1.0,0.0,0.0
84bc899ffffffff,4.0,0.0,0.0
84bc89bffffffff,26.0,0.0,2.0
84bc8d3ffffffff,3.0,0.0,3.0
84bc991ffffffff,2.0,0.0,0.0
84bc9bbffffffff,1.0,0.0,0.0
84bcc17ffffffff,2.0,0.0,0.0
84bcc23ffffffff,3.0,0.0,3.0
84bcc27ffffffff,3.0,0.0,0.0
84bcc35ffffffff,12.0,0.0,3.0
84bcc37ffffffff,5.0,0.0,0.0
84bcc3dffffffff,5.0,0.0,2.0
84bcc49ffffffff,7.0,0.0,0.0
84bcc69ffffffff,4.0,0.0,0.0
84bcc6dffffffff,2.0,0.0,0.0
84bcca5ffffffff,20.0,0.0,10.0
84bcca7ffffffff,2.0,0.0,0.0
84bccadffffffff,1.0,0.0,0.0
84bcccbffffffff,3.0,0.0,0.0
84bcd01ffffffff,63.0,0.0,5.0
84bcd03ffffffff,4.0,0.0,0.0
84bcd05ffffffff,58.0,0.0,22.0
84bcd07ffffffff,5.0,0.0,2.0
84bcd09ffffffff,5.0,0.0,0.0
84bcd0bffffffff,16.0,0.0,6.0
84bcd0dffffffff,44.0,0.0,6.0
84bcd11ffffffff,25.0,0.0,0.0
84bcd13ffffffff,3.0,0.0,0.0
84bcd1bffffffff,5.0,0.0,0.0
84bcd1dffffffff,2.0,0.0,0.0
84bcd21ffffffff,120.0,0.0,34.0
84bcd23ffffffff,61.0,0.0,13.0
84bcd25ffffffff,20.0,0.0,3.0
84bcd27ffffffff,107.0,0.0,37.0
84bcd29ffffffff,167.0,0.0,24.0
84bcd2bffffffff,10.0,0.0,0.0
84bcd2dffffffff,13.0,0.0,5.0
84bcd35ffffffff,8.0,0.0,1.0
84bcd37ffffffff,1.0,0.0,0.0
84bcd3dffffffff,15.0,0.0,2.0
84bcd41ffffffff,2.0,0.0,0.0
84bcd45ffffffff,18.0,0.0,0.0
84bcd47ffffffff,2.0,0.0,0.0
84bcd4bffffffff,18.0,0.0,0.0
84bcd57ffffffff,1.0,0.0,0.0
84bcd61ffffffff,5.0,0.0,0.0
84bcd63ffffffff,60.0,0.0,13.0
84bcd67ffffffff,11.0,0.0,2.0
84bcd81ffffffff,7.0,0.0,2.0
84bcd89ffffffff,6.0,0.0,2.0
84bcd8dffffffff,1.0,0.0,0.0
84bcd99ffffffff,1.0,0.0,0.0
84bcd9bffffffff,3.0,0.0,0.0
84bcda1ffffffff,2.0,0.0,0.0
84bcda5ffffffff,2.0,0.0,0.0
84bcdc1ffffffff,43.0,0.0,14.0
84bcdc3ffffffff,15.0,0.0,0.0
84bcdc5ffffffff,19.0,0.0,2.0
84bcdc7ffffffff,9.0,0.0,0.0
84bcdc9ffffffff,15.0,0.0,4.0
84bcdcdffffffff,7.0,0.0,1.0
84bcdd1ffffffff,19.0,0.0,4.0
84bcdd5ffffffff,2.0,0.0,0.0
84bcdd9ffffffff,12.0,0.0,4.0
84bcddbffffffff,1.0,0.0,0.0
84bcdddffffffff,4.0,0.0,0.0
84bcde1ffffffff,2.0,0.0,0.0
84bcde3ffffffff,5.0,0.0,0.0
84bcde5ffffffff,30.0,0.0,7.0
84bcde7ffffffff,3.0,0.0,0.0
84bcdebffffffff,10.0,0.0,0.0
84bce27ffffffff,7.0,0.0,0.0
84bce29ffffffff,1.0,0.0,0.0
84bce49ffffffff,2.0,0.0,0.0
84bce65ffffffff,5.0,0.0,2.0
84bce67ffffffff,8.0,0.0,3.0
84bce69ffffffff,2.0,0.0,0.0
84bce83ffffffff,6.0,0.0,0.0
84bce95ffffffff,27.0,0.0,15.0
84bce99ffffffff,4.0,0.0,0.0
84bced1ffffffff,2.0,0.0,0.0
84bcf05ffffffff,7.0,0.0,1.0
84bcf09ffffffff,31.0,0.0,6.0
84bcf0dffffffff,14.0,0.0,2.0
84bcf1bffffffff,3.0,0.0,0.0
84bcf1dffffffff,2.0,0.0,0.0
84bcf21ffffffff,12.0,0.0,4.0
84bcf23ffffffff,1.0,0.0,0.0
84bcf25ffffffff,32.0,0.0,23.0
84bcf29ffffffff,499.0,0.0,88.0
84bcf2bffffffff,1.0,0.0,1.0
84bcf2dffffffff,12.0,0.0,1.0
84bcf33ffffffff,3.0,0.0,0.0
84bcf39ffffffff,1.0,0.0,0.0
84bcf3dffffffff,7.0,0.0,4.0
84bcf43ffffffff,5.0,0.0,2.0
84bcf47ffffffff,64.0,0.0,11.0
84bcf53ffffffff,13.0,0.0,4.0
84bcf59ffffffff,35.0,0.0,10.0
84bcf5bffffffff,71.0,0.0,34.0
84bcf5dffffffff,17.0,0.0,0.0
84bcf61ffffffff,184.0,0.0,48.0
84bcf63ffffffff,102.0,0.0,15.0
84bcf67ffffffff,54.0,0.0,10.0
84bcf6bffffffff,1.0,0.0,0.0
