cell_id,Pterodroma hasitata,Pterodroma hasitata (White-faced),Pterodroma hasitata (Dark-faced)
8444165ffffffff,1.0,0.0,0.0
8444869ffffffff,2.0,0.0,0.0
8444891ffffffff,31.0,0.0,0.0
8444893ffffffff,66.0,0.0,0.0
844489bffffffff,16.0,0.0,0.0
84448b3ffffffff,2.0,0.0,0.0
84448c1ffffffff,17.0,0.0,2.0
84448c3ffffffff,1.0,0.0,0.0
84448c9ffffffff,7.0,0.0,0.0
84448cdffffffff,8.0,1.0,0.0
84448d3ffffffff,2.0,1.0,0.0
84448d9ffffffff,4.0,0.0,1.0
84448ddffffffff,5.0,0.0,0.0
84449ebffffffff,2.0,0.0,0.0
8444a17ffffffff,6.0,0.0,0.0
8444a57ffffffff,1.0,0.0,0.0
8444a8dffffffff,1.0,0.0,0.0
8444a9dffffffff,1.0,0.0,0.0
8444aa3ffffffff,6.0,0.0,0.0
8444ab1ffffffff,14.0,0.0,0.0
8444ab5ffffffff,114.0,1.0,0.0
8444ab7ffffffff,15.0,0.0,0.0
8444ab9ffffffff,5.0,1.0,0.0
8444abdffffffff,9.0,0.0,0.0
8444ae9ffffffff,5.0,3.0,0.0
8444aedffffffff,3.0,0.0,0.0
8444cc9ffffffff,1.0,0.0,0.0
8444cd1ffffffff,19.0,0.0,8.0
8444d05ffffffff,2.0,0.0,0.0
8444d2dffffffff,1.0,0.0,0.0
8444d41ffffffff,1.0,0.0,0.0
8444d43ffffffff,1.0,0.0,0.0
8444d45ffffffff,3.0,0.0,0.0
8444d4dffffffff,1.0,0.0,0.0
8444d61ffffffff,89.0,0.0,0.0
8444d65ffffffff,32.0,0.0,0.0
8444d67ffffffff,11.0,0.0,0.0
8444d6dffffffff,2.0,0.0,0.0
8444e05ffffffff,2.0,0.0,0.0
8444f27ffffffff,2.0,0.0,0.0
8444f43ffffffff,12.0,0.0,0.0
8444f6dffffffff,5.0,0.0,0.0
8445963ffffffff,2.0,0.0,0.0
84459e3ffffffff,1.0,0.0,0.0
8448901ffffffff,5.0,0.0,0.0
844c8c7ffffffff,2.0,0.0,0.0
844c99dffffffff,2.0,0.0,0.0
844c9b3ffffffff,1.0,0.0,0.0
844caa5ffffffff,1.0,1.0,0.0
844cc4bffffffff,1.0,0.0,0.0
844cc61ffffffff,1.0,0.0,0.0
844cd0dffffffff,1.0,0.0,0.0
844cd25ffffffff,4.0,0.0,0.0
844cd43ffffffff,2.0,0.0,0.0
844cf3dffffffff,2.0,0.0,0.0
844cf41ffffffff,2.0,0.0,0.0
844cf4dffffffff,1.0,0.0,0.0
845e403ffffffff,1.0,0.0,0.0
845e43dffffffff,8.0,0.0,0.0
845e719ffffffff,4.0,0.0,0.0
8467251ffffffff,5.0,0.0,0.0
8467253ffffffff,13.0,0.0,0.0
8467255ffffffff,6.0,0.0,0.0
846725bffffffff,10.0,2.0,0.0
8467267ffffffff,4.0,0.0,0.0
84672a5ffffffff,2.0,0.0,0.0
8467463ffffffff,1.0,0.0,0.0
84676edffffffff,2.0,0.0,0.0
8467a53ffffffff,1.0,0.0,1.0
