cell_id,Pycnonotus plumosus,Pycnonotus plumosus [plumosus Group],Pycnonotus plumosus porphyreus
8465195ffffffff,12.0,0.0,0.0
8465199ffffffff,5.0,0.0,0.0
846519dffffffff,8.0,0.0,0.0
84651b1ffffffff,6.0,0.0,0.0
84651b3ffffffff,25.0,0.0,0.0
84651b7ffffffff,1.0,0.0,0.0
84651bbffffffff,5.0,0.0,0.0
84651bdffffffff,2.0,0.0,0.0
84651c7ffffffff,2.0,0.0,0.0
84651c9ffffffff,9.0,0.0,0.0
84651cdffffffff,78.0,1.0,0.0
84651d9ffffffff,72.0,0.0,0.0
84651dbffffffff,41.0,0.0,0.0
84651ebffffffff,12.0,0.0,0.0
8465205ffffffff,3.0,0.0,0.0
846520dffffffff,1252.0,0.0,0.0
8465221ffffffff,10.0,0.0,0.0
8465223ffffffff,4.0,0.0,0.0
8465225ffffffff,26.0,0.0,0.0
8465227ffffffff,5.0,0.0,0.0
8465229ffffffff,266.0,0.0,0.0
846522bffffffff,2.0,0.0,0.0
846522dffffffff,5.0,0.0,0.0
8465247ffffffff,1.0,0.0,0.0
8465257ffffffff,21.0,0.0,0.0
8465263ffffffff,425.0,0.0,0.0
8465267ffffffff,4.0,0.0,0.0
846526bffffffff,2.0,0.0,0.0
84652c9ffffffff,1.0,0.0,0.0
84652cdffffffff,8.0,0.0,0.0
84652e5ffffffff,2.0,0.0,0.0
8465313ffffffff,3.0,0.0,0.0
8465353ffffffff,1.0,0.0,0.0
8465545ffffffff,2.0,0.0,0.0
8468025ffffffff,78.0,0.0,0.0
8468101ffffffff,21.0,0.0,0.0
8468103ffffffff,2.0,0.0,0.0
8468105ffffffff,4.0,0.0,0.0
8468107ffffffff,9.0,0.0,0.0
8468111ffffffff,2.0,0.0,0.0
8468113ffffffff,2.0,0.0,0.0
8468115ffffffff,4.0,0.0,0.0
8468119ffffffff,4.0,0.0,0.0
846811bffffffff,45.0,0.0,0.0
846811dffffffff,1.0,0.0,0.0
8468123ffffffff,2.0,2.0,0.0
8468125ffffffff,2.0,0.0,0.0
8468129ffffffff,7.0,0.0,0.0
846812bffffffff,15.0,0.0,0.0
8468153ffffffff,1.0,0.0,0.0
8468157ffffffff,94.0,0.0,0.0
8468163ffffffff,2.0,0.0,0.0
8468167ffffffff,5.0,0.0,0.0
8468181ffffffff,12.0,0.0,0.0
8468185ffffffff,13.0,0.0,0.0
8468189ffffffff,103.0,1.0,0.0
846818bffffffff,11.0,0.0,0.0
846818dffffffff,88.0,0.0,0.0
846819dffffffff,7.0,0.0,0.0
84681a9ffffffff,5.0,0.0,0.0
84681b9ffffffff,3.0,0.0,0.0
84681c3ffffffff,322.0,2.0,0.0
84681c5ffffffff,9.0,0.0,0.0
84681cbffffffff,2.0,0.0,0.0
84681d5ffffffff,56.0,1.0,0.0
84681e3ffffffff,2.0,0.0,0.0
84681edffffffff,7.0,1.0,0.0
8468833ffffffff,2.0,0.0,0.0
84688adffffffff,2.0,0.0,0.0
8468965ffffffff,42.0,0.0,0.0
8468a2dffffffff,1.0,0.0,0.0
8468a47ffffffff,4.0,0.0,0.0
8468a51ffffffff,8.0,0.0,0.0
8468ac9ffffffff,3.0,0.0,0.0
84699a5ffffffff,24.0,0.0,0.0
848c101ffffffff,3.0,0.0,0.0
848c107ffffffff,4.0,0.0,0.0
848c10dffffffff,1.0,0.0,0.0
848c13bffffffff,7.0,0.0,0.0
848c163ffffffff,1.0,0.0,0.0
848c881ffffffff,2.0,0.0,0.0
848c92dffffffff,4.0,0.0,0.0
848c961ffffffff,24.0,1.0,0.0
848c965ffffffff,10.0,0.0,0.0
848c967ffffffff,9.0,2.0,0.0
848c993ffffffff,2.0,0.0,0.0
848cad5ffffffff,28.0,0.0,0.0
848caddffffffff,35.0,1.0,0.0
848cc27ffffffff,19.0,0.0,0.0
848cd8dffffffff,9.0,0.0,0.0
848cdc1ffffffff,11.0,0.0,0.0
848cdc9ffffffff,1.0,0.0,0.0
848cf21ffffffff,1.0,0.0,0.0
848d9a5ffffffff,4.0,0.0,0.0
848da2bffffffff,3.0,0.0,0.0
848da67ffffffff,11.0,0.0,0.0
848db53ffffffff,11.0,0.0,0.0
848db59ffffffff,1.0,0.0,0.0
