cell_id,Spermestes bicolor,Spermestes bicolor bicolor/poensis,Spermestes bicolor nigriceps/woltersi
84752abffffffff,22.0,4.0,0.0
84752adffffffff,22.0,2.0,0.0
84752b5ffffffff,9.0,2.0,0.0
84752dbffffffff,9.0,0.0,0.0
84752e9ffffffff,4.0,2.0,0.0
8475761ffffffff,1.0,0.0,0.0
8475861ffffffff,4.0,0.0,0.0
8475a57ffffffff,2.0,0.0,0.0
8475a65ffffffff,2.0,0.0,0.0
8475b05ffffffff,1.0,0.0,0.0
8475b07ffffffff,1.0,0.0,0.0
847a40bffffffff,2.0,0.0,2.0
847a40dffffffff,2.0,0.0,1.0
847a41bffffffff,1.0,0.0,0.0
847a451ffffffff,8.0,0.0,4.0
847a453ffffffff,7.0,0.0,4.0
847a455ffffffff,214.0,0.0,112.0
847a457ffffffff,21.0,0.0,11.0
847a459ffffffff,21.0,0.0,6.0
847a45bffffffff,35.0,0.0,3.0
847a489ffffffff,19.0,8.0,0.0
847a48dffffffff,10.0,4.0,0.0
847a4b1ffffffff,1.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4c5ffffffff,5.0,0.0,0.0
847a4c7ffffffff,1.0,0.0,0.0
847a4c9ffffffff,1.0,0.0,0.0
847a4cbffffffff,31.0,5.0,0.0
847a4d1ffffffff,58.0,0.0,0.0
847a4d7ffffffff,3.0,0.0,0.0
847a4d9ffffffff,5.0,0.0,0.0
847a4ddffffffff,52.0,8.0,0.0
847a619ffffffff,12.0,0.0,6.0
847a643ffffffff,14.0,0.0,11.0
847a653ffffffff,72.0,0.0,38.0
847a657ffffffff,62.0,0.0,59.0
847a659ffffffff,4.0,0.0,3.0
847a66dffffffff,2.0,0.0,0.0
847a683ffffffff,11.0,0.0,0.0
847a68bffffffff,2.0,0.0,0.0
847a695ffffffff,1.0,0.0,0.0
847a6a3ffffffff,1.0,0.0,0.0
847a6adffffffff,2.0,0.0,0.0
847a6b7ffffffff,8.0,2.0,0.0
847a6d1ffffffff,1.0,0.0,1.0
847a6dbffffffff,2.0,0.0,0.0
847a6e5ffffffff,146.0,0.0,29.0
847ac81ffffffff,4.0,0.0,0.0
847ac87ffffffff,2.0,0.0,0.0
847acc5ffffffff,2.0,0.0,0.0
847accbffffffff,2.0,0.0,0.0
847accdffffffff,20.0,8.0,0.0
847acd5ffffffff,26.0,4.0,0.0
847acd7ffffffff,2.0,0.0,0.0
847ae85ffffffff,1.0,0.0,0.0
847aeabffffffff,1.0,0.0,0.0
847b481ffffffff,1.0,0.0,0.0
847b487ffffffff,98.0,0.0,52.0
847b4a1ffffffff,7.0,0.0,0.0
847b4a3ffffffff,1.0,0.0,0.0
847b4a5ffffffff,5.0,0.0,0.0
847b4a7ffffffff,15.0,0.0,0.0
847b4b1ffffffff,2.0,0.0,0.0
847b4b3ffffffff,6.0,0.0,4.0
847b4b7ffffffff,9.0,0.0,4.0
847b4b9ffffffff,59.0,0.0,29.0
847b4cbffffffff,1.0,0.0,1.0
847b4d1ffffffff,1.0,0.0,0.0
847b4dbffffffff,29.0,0.0,4.0
847b591ffffffff,4.0,0.0,0.0
847b597ffffffff,40.0,0.0,0.0
847b59bffffffff,2.0,0.0,0.0
847b6a9ffffffff,8.0,0.0,8.0
847b6bbffffffff,4.0,0.0,0.0
8482125ffffffff,1.0,0.0,0.0
8482853ffffffff,5.0,2.0,0.0
84828a3ffffffff,1.0,0.0,0.0
84828b5ffffffff,62.0,6.0,0.0
84828bdffffffff,9.0,0.0,0.0
84828d1ffffffff,68.0,17.0,0.0
8482913ffffffff,1.0,1.0,0.0
8482a37ffffffff,3.0,0.0,0.0
8482a3bffffffff,2.0,0.0,0.0
8482a83ffffffff,3.0,0.0,0.0
8482a91ffffffff,6.0,0.0,0.0
8482aa1ffffffff,1.0,1.0,0.0
8482aadffffffff,11.0,6.0,0.0
8482ab3ffffffff,5.0,5.0,0.0
8482b33ffffffff,1.0,0.0,0.0
8482d03ffffffff,40.0,17.0,0.0
8482d07ffffffff,35.0,11.0,0.0
8482d1dffffffff,19.0,15.0,0.0
8482d27ffffffff,6.0,0.0,0.0
8482d29ffffffff,6.0,0.0,0.0
8482d2bffffffff,8.0,8.0,0.0
8482d37ffffffff,2.0,0.0,0.0
8482d3dffffffff,7.0,6.0,0.0
8482d45ffffffff,2.0,0.0,0.0
8482d4dffffffff,2.0,0.0,0.0
8482d61ffffffff,2.0,0.0,0.0
8482d67ffffffff,2.0,0.0,0.0
8482db5ffffffff,2.0,0.0,0.0
8482f05ffffffff,3.0,3.0,0.0
8482f09ffffffff,7.0,2.0,0.0
8482f23ffffffff,4.0,2.0,0.0
8482f2bffffffff,5.0,5.0,0.0
8482f43ffffffff,2.0,0.0,0.0
8482f61ffffffff,3.0,0.0,0.0
8482f69ffffffff,3.0,0.0,0.0
8483127ffffffff,3.0,0.0,0.0
8483151ffffffff,12.0,3.0,0.0
8483865ffffffff,2.0,0.0,0.0
84838e3ffffffff,2.0,0.0,0.0
8483981ffffffff,5.0,5.0,0.0
8483983ffffffff,4.0,0.0,0.0
848398bffffffff,4.0,4.0,0.0
8483a89ffffffff,2.0,1.0,0.0
8483ac3ffffffff,4.0,0.0,0.0
8496003ffffffff,1.0,0.0,1.0
8496009ffffffff,6.0,0.0,6.0
849600bffffffff,2.0,0.0,0.0
8496015ffffffff,5.0,0.0,2.0
849602dffffffff,5.0,0.0,3.0
8496039ffffffff,1.0,0.0,1.0
8496089ffffffff,2.0,0.0,2.0
8496093ffffffff,3.0,0.0,3.0
8496097ffffffff,9.0,0.0,4.0
8496099ffffffff,2.0,0.0,2.0
84960bbffffffff,2.0,0.0,2.0
8496105ffffffff,1.0,0.0,0.0
8496233ffffffff,3.0,0.0,3.0
8496239ffffffff,5.0,0.0,5.0
849623bffffffff,35.0,0.0,35.0
84962b7ffffffff,2.0,0.0,2.0
84962c9ffffffff,6.0,0.0,6.0
84962e5ffffffff,2.0,0.0,0.0
84962edffffffff,2.0,0.0,2.0
8496365ffffffff,8.0,0.0,0.0
8496721ffffffff,2.0,0.0,2.0
84968d1ffffffff,2.0,0.0,2.0
8496903ffffffff,2.0,0.0,2.0
8496907ffffffff,5.0,0.0,2.0
8496921ffffffff,97.0,0.0,55.0
8496925ffffffff,245.0,0.0,115.0
849692dffffffff,8.0,0.0,8.0
8496935ffffffff,15.0,0.0,11.0
849693dffffffff,3.0,0.0,2.0
8496a01ffffffff,4.0,0.0,2.0
8496a15ffffffff,6.0,0.0,0.0
8496a2dffffffff,2.0,0.0,0.0
8496b09ffffffff,2.0,0.0,2.0
8496b19ffffffff,2.0,0.0,0.0
8496b47ffffffff,39.0,1.0,17.0
8496b55ffffffff,3.0,0.0,0.0
8496b57ffffffff,2.0,0.0,0.0
8496b63ffffffff,5.0,0.0,0.0
8496b67ffffffff,4.0,0.0,2.0
8496b6dffffffff,1.0,0.0,0.0
8496ed5ffffffff,1.0,0.0,0.0
8497007ffffffff,2.0,0.0,2.0
8497027ffffffff,3.0,0.0,0.0
849702bffffffff,9.0,0.0,9.0
8497035ffffffff,6.0,0.0,6.0
849703dffffffff,21.0,0.0,15.0
8497101ffffffff,2.0,0.0,2.0
8497103ffffffff,20.0,0.0,10.0
8497107ffffffff,2.0,0.0,2.0
8497113ffffffff,3.0,0.0,3.0
8497119ffffffff,26.0,0.0,26.0
849711dffffffff,6.0,0.0,6.0
8497139ffffffff,17.0,0.0,13.0
8497151ffffffff,13.0,0.0,3.0
8497157ffffffff,3.0,0.0,3.0
8497199ffffffff,22.0,0.0,13.0
849719bffffffff,10.0,0.0,9.0
84971c1ffffffff,41.0,0.0,24.0
84971c3ffffffff,6.0,0.0,5.0
84971cbffffffff,2.0,0.0,2.0
8497245ffffffff,4.0,0.0,1.0
84972d5ffffffff,5.0,0.0,4.0
84972d9ffffffff,46.0,0.0,30.0
84972e3ffffffff,7.0,0.0,7.0
8497359ffffffff,2.0,0.0,1.0
849735bffffffff,1.0,0.0,0.0
849788bffffffff,2.0,0.0,0.0
8497895ffffffff,5.0,0.0,0.0
84978a3ffffffff,2.0,0.0,0.0
84978b9ffffffff,2.0,0.0,2.0
84978d9ffffffff,4.0,0.0,2.0
84978e3ffffffff,2.0,0.0,2.0
849799bffffffff,3.0,0.0,0.0
8497a85ffffffff,11.0,0.0,6.0
8497a89ffffffff,10.0,0.0,10.0
8497a8bffffffff,2.0,0.0,2.0
8497aa1ffffffff,1.0,0.0,1.0
8497aabffffffff,3.0,0.0,3.0
8497ab1ffffffff,1.0,0.0,1.0
8497ac3ffffffff,1.0,0.0,0.0
8497ac7ffffffff,3.0,0.0,2.0
84bc197ffffffff,3.0,0.0,1.0
84bc1b3ffffffff,6.0,0.0,1.0
84bc1b7ffffffff,7.0,0.0,4.0
84bc1bbffffffff,4.0,0.0,1.0
84bc891ffffffff,1.0,0.0,0.0
84bc897ffffffff,4.0,0.0,0.0
84bc89bffffffff,3.0,0.0,2.0
84bc8b7ffffffff,3.0,0.0,3.0
84bc991ffffffff,8.0,0.0,6.0
84bcd01ffffffff,10.0,0.0,3.0
84bcd03ffffffff,5.0,0.0,5.0
84bcd05ffffffff,6.0,0.0,4.0
84bcd07ffffffff,3.0,0.0,3.0
84bcd09ffffffff,2.0,0.0,0.0
84bcd29ffffffff,13.0,0.0,7.0
84bcd37ffffffff,6.0,0.0,2.0
84bcd45ffffffff,5.0,0.0,5.0
84bcd47ffffffff,1.0,0.0,0.0
84bcd4bffffffff,8.0,0.0,6.0
84bcd69ffffffff,1.0,0.0,1.0
84bcd6dffffffff,17.0,0.0,11.0
84bcde1ffffffff,2.0,0.0,0.0
84bce67ffffffff,2.0,0.0,2.0
84bce6dffffffff,4.0,0.0,4.0
84bcf09ffffffff,90.0,0.0,70.0
84bcf0bffffffff,1.0,0.0,0.0
84bcf21ffffffff,11.0,0.0,11.0
84bcf25ffffffff,7.0,0.0,7.0
84bcf29ffffffff,24.0,0.0,15.0
84bcf2dffffffff,1.0,0.0,0.0
84bcf43ffffffff,2.0,0.0,2.0
84bcf47ffffffff,6.0,0.0,4.0
84bcf53ffffffff,44.0,0.0,29.0
84bcf59ffffffff,39.0,0.0,27.0
84bcf5bffffffff,339.0,0.0,293.0
84bcf5dffffffff,5.0,0.0,2.0
84bcf61ffffffff,47.0,0.0,25.0
84bcf63ffffffff,10.0,0.0,3.0
84bcf67ffffffff,13.0,0.0,13.0
84bcf6bffffffff,3.0,0.0,3.0
