cell_id,Pseudastur albicollis,Pseudastur albicollis ghiesbreghti,Pseudastur albicollis costaricensis,Pseudastur albicollis williaminae,Pseudastur albicollis albicollis
8466a01ffffffff,11.0,0.0,0.0,0.0,0.0
8466a05ffffffff,33.0,0.0,2.0,0.0,0.0
8466a0bffffffff,499.0,0.0,11.0,0.0,0.0
8466a1dffffffff,1.0,0.0,0.0,0.0,0.0
8466a2dffffffff,39.0,0.0,0.0,0.0,0.0
8466a31ffffffff,4.0,0.0,0.0,0.0,0.0
8466a33ffffffff,51.0,0.0,2.0,0.0,0.0
8466a37ffffffff,4.0,0.0,0.0,0.0,0.0
8466a3bffffffff,8.0,0.0,0.0,0.0,0.0
8466a51ffffffff,481.0,0.0,43.0,0.0,0.0
8466a53ffffffff,1.0,0.0,0.0,0.0,0.0
8466a55ffffffff,65.0,0.0,0.0,0.0,0.0
8466a57ffffffff,191.0,0.0,3.0,0.0,0.0
8466a59ffffffff,20.0,0.0,0.0,0.0,0.0
8466a5bffffffff,114.0,0.0,6.0,0.0,0.0
8466a5dffffffff,29.0,0.0,2.0,0.0,0.0
8466a65ffffffff,38.0,0.0,0.0,0.0,0.0
8466b01ffffffff,65.0,0.0,0.0,0.0,0.0
8466b09ffffffff,180.0,0.0,0.0,0.0,0.0
8466b0bffffffff,502.0,0.0,0.0,0.0,0.0
8466b1dffffffff,8.0,0.0,0.0,0.0,0.0
8466b41ffffffff,25.0,0.0,0.0,0.0,0.0
8466b43ffffffff,32.0,0.0,0.0,0.0,0.0
8466b45ffffffff,225.0,0.0,0.0,0.0,0.0
8466b47ffffffff,118.0,0.0,0.0,0.0,0.0
8466b49ffffffff,82.0,0.0,0.0,0.0,0.0
8466b4bffffffff,2.0,0.0,0.0,0.0,0.0
8466b4dffffffff,37.0,0.0,0.0,0.0,0.0
8466b51ffffffff,20.0,0.0,0.0,0.0,0.0
8466b53ffffffff,28.0,0.0,0.0,0.0,0.0
8466b55ffffffff,118.0,0.0,0.0,0.0,0.0
8466b57ffffffff,26.0,0.0,0.0,0.0,0.0
8466b59ffffffff,50.0,0.0,0.0,0.0,0.0
8466b5bffffffff,175.0,0.0,4.0,0.0,0.0
8466b5dffffffff,9.0,0.0,0.0,0.0,0.0
8466b69ffffffff,11.0,0.0,0.0,0.0,0.0
8466c09ffffffff,3.0,0.0,0.0,0.0,0.0
8466c21ffffffff,28.0,0.0,0.0,0.0,0.0
8466c27ffffffff,1.0,0.0,0.0,0.0,0.0
8466c29ffffffff,28.0,0.0,0.0,0.0,0.0
8466c35ffffffff,1.0,0.0,0.0,0.0,0.0
8466c4bffffffff,5.0,0.0,0.0,0.0,0.0
8466c5dffffffff,7.0,0.0,0.0,0.0,0.0
8466ce9ffffffff,4.0,0.0,0.0,0.0,0.0
8466d13ffffffff,13.0,0.0,0.0,0.0,2.0
8466d1bffffffff,37.0,0.0,0.0,0.0,0.0
8466d81ffffffff,33.0,0.0,0.0,0.0,0.0
8466d89ffffffff,2.0,0.0,0.0,0.0,0.0
8466d8dffffffff,2.0,0.0,0.0,0.0,0.0
8466da1ffffffff,1.0,0.0,0.0,0.0,0.0
