cell_id,Tchagra senegalus,Tchagra senegalus cucullatus,Tchagra senegalus [senegalus Group]
847b59bffffffff,2.0,0.0,0.0
847b5b1ffffffff,2.0,0.0,0.0
847b5b3ffffffff,3.0,0.0,0.0
847b5b7ffffffff,2.0,0.0,0.0
847b5bbffffffff,7.0,0.0,0.0
847b689ffffffff,1.0,0.0,0.0
847b6bbffffffff,10.0,0.0,0.0
8482125ffffffff,2.0,0.0,0.0
8482a09ffffffff,9.0,0.0,0.0
8483125ffffffff,9.0,0.0,1.0
8483151ffffffff,4.0,0.0,0.0
848320dffffffff,1.0,0.0,0.0
8483263ffffffff,2.0,0.0,0.0
848333dffffffff,7.0,0.0,3.0
8483861ffffffff,1.0,0.0,0.0
84838adffffffff,2.0,0.0,0.0
8483981ffffffff,7.0,0.0,0.0
8483ac3ffffffff,3.0,0.0,0.0
8483acdffffffff,2.0,0.0,2.0
8483ad1ffffffff,2.0,0.0,0.0
8496009ffffffff,13.0,0.0,1.0
849600bffffffff,4.0,0.0,1.0
8496015ffffffff,8.0,0.0,2.0
8496019ffffffff,1.0,0.0,0.0
849602dffffffff,4.0,0.0,0.0
8496047ffffffff,9.0,0.0,0.0
8496051ffffffff,2.0,0.0,0.0
8496093ffffffff,3.0,0.0,0.0
8496097ffffffff,12.0,0.0,2.0
8496099ffffffff,2.0,0.0,0.0
849609dffffffff,1.0,0.0,0.0
84960b1ffffffff,23.0,0.0,2.0
84960b5ffffffff,40.0,0.0,4.0
84960b7ffffffff,2.0,0.0,0.0
84960bbffffffff,1.0,0.0,0.0
84960c3ffffffff,2.0,0.0,0.0
84960e9ffffffff,3.0,0.0,0.0
84960edffffffff,3.0,0.0,0.0
8496141ffffffff,4.0,0.0,0.0
8496149ffffffff,4.0,0.0,0.0
849615dffffffff,16.0,0.0,6.0
8496201ffffffff,5.0,0.0,0.0
8496203ffffffff,2.0,0.0,0.0
8496207ffffffff,6.0,0.0,0.0
849620bffffffff,2.0,0.0,0.0
8496215ffffffff,5.0,0.0,3.0
8496217ffffffff,7.0,0.0,0.0
8496219ffffffff,3.0,0.0,0.0
8496233ffffffff,14.0,0.0,9.0
8496237ffffffff,1.0,0.0,0.0
8496239ffffffff,2.0,0.0,0.0
849623bffffffff,40.0,0.0,7.0
849624dffffffff,6.0,0.0,0.0
8496263ffffffff,6.0,0.0,0.0
8496267ffffffff,2.0,0.0,0.0
8496283ffffffff,27.0,0.0,2.0
8496287ffffffff,5.0,0.0,0.0
849628bffffffff,9.0,0.0,0.0
849629dffffffff,5.0,0.0,0.0
84962abffffffff,1.0,0.0,0.0
84962b9ffffffff,4.0,0.0,1.0
84962c5ffffffff,3.0,0.0,0.0
84962c9ffffffff,38.0,0.0,15.0
84962cdffffffff,4.0,0.0,0.0
84962d1ffffffff,1.0,0.0,1.0
84962d5ffffffff,1.0,0.0,0.0
84962d7ffffffff,7.0,0.0,4.0
84962d9ffffffff,3.0,0.0,1.0
84962e5ffffffff,14.0,0.0,4.0
84962edffffffff,4.0,0.0,0.0
8496331ffffffff,4.0,0.0,0.0
8496335ffffffff,41.0,0.0,1.0
8496365ffffffff,14.0,0.0,1.0
8496447ffffffff,1.0,0.0,0.0
849646dffffffff,1.0,0.0,0.0
