cell_id,Pachysylvia decurtata,Pachysylvia decurtata decurtata/darienensis,Pachysylvia decurtata minor
8445319ffffffff,170.0,0.0,0.0
8445321ffffffff,2.0,0.0,0.0
8445329ffffffff,2.0,0.0,0.0
844532bffffffff,70.0,0.0,0.0
8445343ffffffff,132.0,0.0,0.0
8445345ffffffff,3.0,0.0,0.0
844534dffffffff,3.0,0.0,0.0
8445351ffffffff,30.0,0.0,0.0
8445353ffffffff,8.0,0.0,0.0
8445355ffffffff,2.0,0.0,0.0
844535dffffffff,1.0,0.0,0.0
8445363ffffffff,76.0,0.0,0.0
8445365ffffffff,96.0,0.0,0.0
8445367ffffffff,18.0,0.0,0.0
8445649ffffffff,56.0,7.0,0.0
8445729ffffffff,2.0,0.0,0.0
8445765ffffffff,1.0,0.0,0.0
8445767ffffffff,8.0,5.0,0.0
8449903ffffffff,6.0,0.0,0.0
8449913ffffffff,4.0,0.0,0.0
8449961ffffffff,68.0,15.0,0.0
8449963ffffffff,1.0,0.0,0.0
8449969ffffffff,42.0,3.0,0.0
8466037ffffffff,1.0,0.0,0.0
846608dffffffff,56.0,0.0,0.0
84660a1ffffffff,3.0,0.0,0.0
84660a7ffffffff,19.0,0.0,0.0
84660c7ffffffff,2.0,0.0,0.0
84660e5ffffffff,1.0,0.0,0.0
8466103ffffffff,2.0,0.0,0.0
8466105ffffffff,21.0,0.0,0.0
8466107ffffffff,193.0,22.0,0.0
846610bffffffff,2.0,0.0,0.0
8466113ffffffff,1.0,0.0,0.0
8466117ffffffff,20.0,0.0,0.0
846611dffffffff,1.0,0.0,0.0
8466123ffffffff,2.0,0.0,0.0
8466129ffffffff,59.0,7.0,0.0
846612bffffffff,1.0,0.0,0.0
8466131ffffffff,90.0,9.0,0.0
8466135ffffffff,20.0,2.0,0.0
8466139ffffffff,214.0,8.0,0.0
846613bffffffff,27.0,0.0,0.0
846613dffffffff,29.0,0.0,0.0
8466163ffffffff,414.0,34.0,0.0
8466165ffffffff,185.0,31.0,0.0
8466167ffffffff,107.0,14.0,0.0
8466185ffffffff,2.0,0.0,0.0
8466193ffffffff,9.0,0.0,0.0
8466199ffffffff,1.0,0.0,0.0
846619bffffffff,71.0,0.0,0.0
84661a5ffffffff,42.0,0.0,0.0
84661a7ffffffff,36.0,0.0,0.0
84661adffffffff,30.0,4.0,0.0
84661b1ffffffff,2.0,0.0,0.0
84661b7ffffffff,1.0,0.0,0.0
84661c9ffffffff,8.0,0.0,0.0
84661cdffffffff,77.0,0.0,0.0
84661d1ffffffff,16.0,0.0,0.0
84661d5ffffffff,2.0,0.0,0.0
84661d9ffffffff,5.0,0.0,0.0
84661ebffffffff,29.0,0.0,0.0
8466a01ffffffff,93.0,4.0,0.0
8466a05ffffffff,29.0,0.0,0.0
8466a09ffffffff,4.0,0.0,0.0
8466a0bffffffff,961.0,37.0,0.0
8466a1dffffffff,54.0,2.0,0.0
8466a23ffffffff,3.0,0.0,0.0
8466a25ffffffff,27.0,0.0,0.0
8466a2bffffffff,10.0,0.0,0.0
8466a2dffffffff,33.0,0.0,0.0
8466a33ffffffff,107.0,8.0,0.0
8466a35ffffffff,4.0,0.0,0.0
8466a39ffffffff,4.0,0.0,0.0
8466a3bffffffff,16.0,4.0,0.0
8466a3dffffffff,3.0,0.0,0.0
8466a51ffffffff,6684.0,474.0,0.0
8466a53ffffffff,5.0,0.0,0.0
8466a55ffffffff,101.0,2.0,0.0
8466a57ffffffff,231.0,16.0,0.0
8466a59ffffffff,56.0,0.0,0.0
8466a5bffffffff,587.0,42.0,0.0
8466a5dffffffff,240.0,23.0,0.0
8466a65ffffffff,850.0,38.0,0.0
8466a67ffffffff,4.0,0.0,0.0
8466a9bffffffff,2.0,0.0,0.0
8466aedffffffff,5.0,0.0,0.0
8466b01ffffffff,346.0,0.0,0.0
8466b09ffffffff,510.0,0.0,0.0
8466b0bffffffff,1189.0,0.0,0.0
8466b0dffffffff,4.0,0.0,0.0
8466b19ffffffff,14.0,0.0,0.0
8466b1dffffffff,14.0,3.0,0.0
8466b41ffffffff,477.0,0.0,0.0
8466b43ffffffff,236.0,0.0,0.0
8466b45ffffffff,395.0,0.0,0.0
8466b47ffffffff,413.0,0.0,0.0
8466b49ffffffff,1939.0,0.0,0.0
8466b4bffffffff,71.0,0.0,0.0
8466b4dffffffff,1884.0,0.0,0.0
8466b51ffffffff,526.0,6.0,0.0
8466b53ffffffff,293.0,6.0,0.0
8466b55ffffffff,1702.0,0.0,0.0
8466b57ffffffff,95.0,0.0,0.0
8466b59ffffffff,231.0,0.0,0.0
8466b5bffffffff,174.0,15.0,0.0
8466b5dffffffff,49.0,0.0,0.0
8466b69ffffffff,50.0,0.0,0.0
8466d01ffffffff,13.0,0.0,0.0
8466d03ffffffff,3.0,0.0,0.0
8466d05ffffffff,21.0,0.0,2.0
8466d07ffffffff,123.0,0.0,27.0
8466d0bffffffff,5.0,0.0,0.0
8466d0dffffffff,19.0,0.0,0.0
8466d23ffffffff,74.0,0.0,11.0
8466d25ffffffff,3.0,0.0,0.0
8466d27ffffffff,24.0,0.0,4.0
8466d29ffffffff,2.0,0.0,0.0
8466d31ffffffff,548.0,0.0,58.0
8466d35ffffffff,1381.0,0.0,174.0
8466d37ffffffff,18.0,0.0,6.0
8466d3dffffffff,21.0,0.0,7.0
8466d47ffffffff,1.0,0.0,0.0
8466d55ffffffff,31.0,0.0,0.0
8466e41ffffffff,6.0,0.0,0.0
8466e47ffffffff,2.0,0.0,0.0
8466e49ffffffff,3.0,0.0,0.0
8466e63ffffffff,1.0,0.0,0.0
8466e67ffffffff,2.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0
8466f01ffffffff,5.0,0.0,0.0
8466f03ffffffff,61.0,7.0,0.0
8466f0bffffffff,90.0,0.0,0.0
8466f1dffffffff,15.0,0.0,0.0
8466f35ffffffff,20.0,0.0,0.0
846790bffffffff,4.0,0.0,0.0
846790dffffffff,10.0,0.0,0.0
8467921ffffffff,5.0,0.0,0.0
8467925ffffffff,5.0,0.0,0.0
8467929ffffffff,1.0,0.0,0.0
846792dffffffff,14.0,0.0,0.0
8467931ffffffff,7.0,0.0,0.0
8467935ffffffff,2.0,0.0,0.0
8467937ffffffff,8.0,0.0,0.0
846793bffffffff,16.0,0.0,0.0
846793dffffffff,2.0,0.0,0.0
8467943ffffffff,1.0,0.0,0.0
8467945ffffffff,32.0,0.0,0.0
846794dffffffff,2.0,0.0,0.0
8467961ffffffff,196.0,0.0,0.0
8467963ffffffff,35.0,0.0,0.0
8467965ffffffff,1.0,0.0,0.0
8467967ffffffff,3.0,0.0,0.0
8467969ffffffff,9.0,0.0,0.0
846796bffffffff,14.0,0.0,0.0
84679a1ffffffff,692.0,0.0,0.0
84679a3ffffffff,139.0,0.0,0.0
84679a5ffffffff,3164.0,0.0,0.0
84679a7ffffffff,760.0,0.0,0.0
84679adffffffff,88.0,0.0,0.0
84679b3ffffffff,269.0,12.0,0.0
84679b5ffffffff,189.0,0.0,0.0
84679b7ffffffff,1071.0,0.0,0.0
84679e5ffffffff,3.0,0.0,0.0
8467b27ffffffff,11.0,0.0,0.0
846d049ffffffff,1.0,1.0,0.0
846d04bffffffff,28.0,6.0,0.0
846d04dffffffff,2.0,0.0,0.0
846d059ffffffff,38.0,2.0,0.0
846d05bffffffff,208.0,110.0,0.0
846d201ffffffff,4.0,0.0,0.0
846d203ffffffff,50.0,0.0,0.0
846d207ffffffff,1.0,0.0,0.0
846d20bffffffff,16.0,0.0,0.0
846d219ffffffff,4.0,1.0,0.0
846d21bffffffff,94.0,30.0,0.0
846d21dffffffff,193.0,25.0,0.0
846d223ffffffff,44.0,4.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d22bffffffff,20.0,2.0,0.0
846d231ffffffff,45.0,5.0,0.0
846d233ffffffff,4.0,4.0,0.0
846d239ffffffff,99.0,30.0,0.0
846d23dffffffff,346.0,85.0,0.0
846d251ffffffff,1.0,0.0,0.0
846d253ffffffff,1.0,0.0,0.0
846d257ffffffff,7.0,0.0,0.0
846d25dffffffff,4.0,0.0,0.0
846d283ffffffff,2.0,0.0,0.0
846d287ffffffff,26.0,0.0,0.0
846d291ffffffff,2.0,0.0,0.0
846d293ffffffff,8.0,0.0,0.0
846d295ffffffff,275.0,0.0,0.0
846d297ffffffff,40.0,0.0,0.0
846d2a9ffffffff,18.0,0.0,0.0
846d2abffffffff,5.0,0.0,0.0
846d2adffffffff,7.0,0.0,0.0
846d2b9ffffffff,384.0,0.0,0.0
846d2bbffffffff,1.0,0.0,0.0
846d2bdffffffff,34.0,0.0,0.0
846d2c1ffffffff,53.0,27.0,0.0
846d2c3ffffffff,29.0,4.0,0.0
846d2c5ffffffff,6.0,6.0,0.0
846d2c7ffffffff,11.0,0.0,0.0
846d2c9ffffffff,509.0,82.0,0.0
846d2cbffffffff,63.0,25.0,0.0
846d2cdffffffff,4.0,0.0,0.0
846d2d1ffffffff,191.0,50.0,0.0
846d2d3ffffffff,4.0,0.0,0.0
846d2d5ffffffff,2.0,0.0,0.0
846d2d7ffffffff,4.0,2.0,0.0
846d2d9ffffffff,70.0,54.0,0.0
846d2dbffffffff,18.0,2.0,0.0
846d2ddffffffff,82.0,22.0,0.0
846d2e5ffffffff,117.0,64.0,0.0
846d2ebffffffff,3.0,0.0,0.0
846d303ffffffff,5.0,0.0,0.0
846d305ffffffff,31.0,2.0,0.0
846d30dffffffff,325.0,49.0,0.0
846d311ffffffff,9.0,0.0,0.0
846d319ffffffff,163.0,67.0,0.0
846d31bffffffff,30.0,4.0,0.0
846d34bffffffff,34.0,14.0,0.0
846d35bffffffff,2.0,0.0,0.0
846d35dffffffff,183.0,23.0,0.0
846d361ffffffff,2.0,0.0,0.0
846d369ffffffff,9.0,0.0,0.0
846d36dffffffff,2.0,0.0,0.0
846d603ffffffff,6.0,0.0,0.0
846d605ffffffff,37.0,0.0,0.0
846d607ffffffff,43.0,0.0,0.0
846d60bffffffff,2.0,0.0,0.0
846d60dffffffff,116.0,0.0,0.0
846d613ffffffff,13.0,0.0,0.0
846d615ffffffff,6.0,0.0,0.0
846d617ffffffff,444.0,0.0,0.0
846d61bffffffff,37.0,0.0,0.0
846d639ffffffff,16.0,0.0,0.0
846d64bffffffff,6.0,0.0,0.0
846d651ffffffff,693.0,0.0,0.0
846d653ffffffff,340.0,0.0,0.0
846d655ffffffff,122.0,0.0,0.0
846d657ffffffff,17.0,0.0,0.0
846d659ffffffff,5.0,0.0,0.0
846d65bffffffff,42.0,0.0,0.0
846d65dffffffff,2.0,0.0,0.0
846d663ffffffff,2.0,0.0,0.0
846d667ffffffff,1.0,0.0,0.0
846d66dffffffff,3.0,0.0,0.0
846d681ffffffff,896.0,0.0,0.0
846d683ffffffff,284.0,0.0,0.0
846d685ffffffff,183.0,0.0,0.0
846d687ffffffff,117.0,0.0,0.0
846d689ffffffff,166.0,0.0,0.0
846d68bffffffff,2758.0,0.0,0.0
846d68dffffffff,221.0,0.0,0.0
846d691ffffffff,1389.0,0.0,0.0
846d693ffffffff,887.0,0.0,0.0
846d695ffffffff,253.0,0.0,0.0
846d697ffffffff,4821.0,0.0,0.0
846d699ffffffff,615.0,0.0,0.0
846d69bffffffff,1863.0,0.0,0.0
846d69dffffffff,6763.0,0.0,0.0
846d6abffffffff,45.0,0.0,0.0
846d6b1ffffffff,31.0,0.0,0.0
846d6b9ffffffff,164.0,0.0,0.0
846d6bbffffffff,1197.0,0.0,0.0
846d6bdffffffff,74.0,0.0,0.0
846d6c3ffffffff,26.0,0.0,0.0
846d6c9ffffffff,22.0,0.0,0.0
846d6cbffffffff,2.0,0.0,0.0
846d6cdffffffff,1.0,0.0,0.0
846d6d1ffffffff,73.0,0.0,0.0
846d6d3ffffffff,348.0,0.0,0.0
846d6d5ffffffff,110.0,0.0,0.0
846d6d7ffffffff,48.0,0.0,0.0
846d6dbffffffff,9.0,0.0,0.0
846d6ddffffffff,12.0,0.0,0.0
846d6e9ffffffff,300.0,0.0,0.0
846d6ebffffffff,14.0,0.0,0.0
846d6edffffffff,55.0,0.0,0.0
846d741ffffffff,37.0,0.0,0.0
846d743ffffffff,5.0,0.0,0.0
846d745ffffffff,81.0,0.0,0.0
846d74bffffffff,41.0,0.0,0.0
846d75bffffffff,2.0,0.0,0.0
846d75dffffffff,7.0,0.0,0.0
848f08bffffffff,2.0,0.0,0.0
848f099ffffffff,1.0,0.0,0.0
848f0d1ffffffff,85.0,0.0,7.0
848f0d5ffffffff,5.0,0.0,1.0
848f0dbffffffff,523.0,0.0,71.0
848f0ddffffffff,4.0,0.0,0.0
848f285ffffffff,5.0,0.0,0.0
848f289ffffffff,3.0,0.0,2.0
848f28dffffffff,3.0,0.0,0.0
848f291ffffffff,18.0,0.0,0.0
848f295ffffffff,87.0,0.0,2.0
848f297ffffffff,1.0,0.0,0.0
848f2a9ffffffff,199.0,0.0,28.0
848f2abffffffff,27.0,0.0,6.0
848f2b3ffffffff,3.0,0.0,0.0
848f2b9ffffffff,112.0,0.0,16.0
848f2bbffffffff,63.0,0.0,5.0
848f2bdffffffff,14.0,0.0,0.0
848f2c1ffffffff,2.0,0.0,0.0
848f2c3ffffffff,30.0,0.0,2.0
848f2c9ffffffff,10.0,0.0,0.0
848f2cbffffffff,6.0,0.0,0.0
848f2cdffffffff,238.0,0.0,7.0
848f2e3ffffffff,2.0,0.0,0.0
848f2e7ffffffff,9.0,0.0,6.0
848f765ffffffff,3.0,0.0,0.0
