cell_id,Spindalis zena,Spindalis zena zena,Spindalis zena townsendi,Spindalis zena pretrei,Spindalis zena salvini,Spindalis zena benedicti
8445935ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8445955ffffffff,3.0,0.0,0.0,3.0,0.0,0.0
8445981ffffffff,526.0,0.0,0.0,298.0,0.0,0.0
8445989ffffffff,178.0,0.0,0.0,62.0,0.0,0.0
844598bffffffff,61.0,0.0,0.0,31.0,0.0,0.0
844598dffffffff,81.0,0.0,0.0,36.0,0.0,0.0
84459b7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84459c3ffffffff,3.0,0.0,0.0,1.0,0.0,0.0
84459cbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84459d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84459d7ffffffff,85.0,0.0,0.0,10.0,0.0,0.0
84459d9ffffffff,16.0,0.0,0.0,12.0,0.0,0.0
84459dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84459ddffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84459e3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84459e9ffffffff,21.0,0.0,0.0,14.0,0.0,0.0
84459ebffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8445a33ffffffff,600.0,0.0,0.0,0.0,0.0,0.0
844c933ffffffff,99.0,0.0,0.0,25.0,0.0,0.0
844c937ffffffff,15.0,0.0,0.0,11.0,0.0,0.0
844c969ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
844c985ffffffff,7.0,0.0,0.0,7.0,0.0,0.0
844c989ffffffff,34.0,0.0,0.0,31.0,0.0,0.0
844c98bffffffff,2.0,0.0,0.0,2.0,0.0,0.0
844c98dffffffff,43.0,0.0,0.0,36.0,0.0,0.0
844c9a1ffffffff,8.0,0.0,0.0,4.0,0.0,0.0
844c9adffffffff,18.0,0.0,0.0,0.0,0.0,0.0
844c9e5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
