cell_id,Glaucidium capense,Glaucidium capense scheffleri,Glaucidium capense capense/ngamiense,Glaucidium capense etchecopari,Glaucidium capense castaneum
8496b63ffffffff,10.0,0.0,0.0,0.0,0.0
849701dffffffff,1.0,0.0,0.0,0.0,0.0
849702bffffffff,12.0,0.0,0.0,0.0,0.0
8497035ffffffff,2.0,0.0,0.0,0.0,0.0
8497051ffffffff,5.0,0.0,0.0,0.0,0.0
84970a7ffffffff,4.0,0.0,0.0,0.0,0.0
8497101ffffffff,2.0,0.0,0.0,0.0,0.0
8497103ffffffff,12.0,0.0,0.0,0.0,0.0
8497107ffffffff,4.0,0.0,0.0,0.0,0.0
8497119ffffffff,7.0,0.0,0.0,0.0,0.0
849711dffffffff,8.0,0.0,0.0,0.0,0.0
8497139ffffffff,5.0,0.0,0.0,0.0,0.0
8497245ffffffff,3.0,0.0,0.0,0.0,0.0
849728dffffffff,11.0,0.0,4.0,0.0,0.0
8497291ffffffff,10.0,0.0,0.0,0.0,0.0
8497297ffffffff,1.0,0.0,0.0,0.0,0.0
84972c9ffffffff,2.0,0.0,0.0,0.0,0.0
84972cdffffffff,19.0,0.0,2.0,0.0,0.0
84972e3ffffffff,3.0,0.0,2.0,0.0,0.0
84972ebffffffff,4.0,0.0,3.0,0.0,0.0
8497409ffffffff,5.0,0.0,0.0,0.0,0.0
8497411ffffffff,1.0,0.0,0.0,0.0,0.0
8497415ffffffff,5.0,0.0,0.0,0.0,0.0
8497417ffffffff,14.0,0.0,0.0,0.0,0.0
849741dffffffff,6.0,0.0,0.0,0.0,0.0
8497431ffffffff,50.0,0.0,0.0,0.0,0.0
8497435ffffffff,10.0,0.0,0.0,0.0,0.0
8497437ffffffff,32.0,0.0,0.0,0.0,0.0
8497439ffffffff,1.0,0.0,0.0,0.0,0.0
849743bffffffff,17.0,0.0,0.0,0.0,0.0
8497447ffffffff,4.0,0.0,0.0,0.0,0.0
8497485ffffffff,6.0,0.0,0.0,0.0,0.0
84974a9ffffffff,73.0,0.0,0.0,0.0,0.0
84974abffffffff,53.0,0.0,4.0,0.0,0.0
84974adffffffff,2.0,0.0,1.0,0.0,0.0
84974b9ffffffff,31.0,0.0,7.0,0.0,0.0
84974bbffffffff,2.0,0.0,0.0,0.0,0.0
84974cdffffffff,2.0,0.0,0.0,0.0,0.0
84974e1ffffffff,3.0,0.0,0.0,0.0,0.0
84974e3ffffffff,3.0,0.0,0.0,0.0,0.0
84974e9ffffffff,12.0,0.0,0.0,0.0,0.0
84974edffffffff,5.0,0.0,0.0,0.0,0.0
8497509ffffffff,3.0,0.0,0.0,0.0,0.0
849750bffffffff,1.0,0.0,0.0,0.0,0.0
8497513ffffffff,27.0,0.0,0.0,0.0,0.0
8497515ffffffff,3.0,0.0,0.0,0.0,0.0
8497517ffffffff,8.0,0.0,0.0,0.0,0.0
8497541ffffffff,1.0,0.0,0.0,0.0,0.0
8497543ffffffff,7.0,0.0,0.0,0.0,0.0
8497547ffffffff,3.0,0.0,0.0,0.0,0.0
8497555ffffffff,1.0,0.0,0.0,0.0,0.0
8497557ffffffff,3.0,0.0,0.0,0.0,0.0
8497587ffffffff,6.0,0.0,0.0,0.0,0.0
84975c5ffffffff,9.0,0.0,0.0,0.0,0.0
84975c7ffffffff,39.0,0.0,3.0,0.0,0.0
84975c9ffffffff,1.0,0.0,0.0,0.0,0.0
84975cbffffffff,9.0,0.0,0.0,0.0,0.0
84975cdffffffff,1.0,0.0,0.0,0.0,0.0
84975d1ffffffff,7.0,0.0,0.0,0.0,0.0
84975d3ffffffff,1.0,0.0,0.0,0.0,0.0
84975d9ffffffff,6.0,0.0,0.0,0.0,0.0
84975ddffffffff,2.0,0.0,0.0,0.0,0.0
84975e1ffffffff,3.0,0.0,0.0,0.0,0.0
84975e9ffffffff,1.0,0.0,1.0,0.0,0.0
84975ebffffffff,3.0,0.0,0.0,0.0,0.0
849772dffffffff,2.0,0.0,0.0,0.0,0.0
84978b9ffffffff,5.0,0.0,0.0,0.0,0.0
84978d9ffffffff,1.0,0.0,0.0,0.0,0.0
8497983ffffffff,1.0,0.0,0.0,0.0,0.0
84979d3ffffffff,3.0,0.0,0.0,0.0,0.0
8497a85ffffffff,1.0,0.0,0.0,0.0,0.0
8497a8bffffffff,2.0,0.0,0.0,0.0,0.0
8497aabffffffff,26.0,0.0,0.0,0.0,0.0
84ac8a9ffffffff,5.0,0.0,0.0,0.0,0.0
84ac96dffffffff,3.0,0.0,0.0,0.0,0.0
84acb1bffffffff,2.0,0.0,0.0,0.0,0.0
84bc997ffffffff,3.0,0.0,0.0,0.0,0.0
84bcd05ffffffff,2.0,0.0,0.0,0.0,0.0
84bcd0dffffffff,37.0,0.0,5.0,0.0,0.0
84bcd21ffffffff,20.0,0.0,0.0,0.0,0.0
84bcd23ffffffff,46.0,0.0,15.0,0.0,0.0
84bcd27ffffffff,25.0,0.0,1.0,0.0,0.0
84bcd29ffffffff,36.0,0.0,2.0,0.0,0.0
84bcd2bffffffff,1.0,0.0,0.0,0.0,0.0
84bcd35ffffffff,5.0,0.0,2.0,0.0,0.0
84bcd45ffffffff,2.0,0.0,0.0,0.0,0.0
84bcd63ffffffff,15.0,0.0,4.0,0.0,0.0
84bcd67ffffffff,6.0,0.0,0.0,0.0,0.0
