cell_id,Eremomela icteropygialis,Eremomela icteropygialis [icteropygialis Group],Eremomela icteropygialis salvadorii
84ad321ffffffff,4.0,0.0,0.0
84ad811ffffffff,2.0,0.0,0.0
84ad821ffffffff,3.0,0.0,0.0
84ad825ffffffff,7.0,0.0,0.0
84ad827ffffffff,2.0,0.0,0.0
84ad829ffffffff,2.0,0.0,0.0
84ad82dffffffff,4.0,0.0,0.0
84ad85bffffffff,2.0,0.0,0.0
84ad861ffffffff,8.0,0.0,0.0
84ad867ffffffff,18.0,0.0,0.0
84ad881ffffffff,1.0,0.0,0.0
84ad895ffffffff,17.0,0.0,0.0
84ad8b1ffffffff,1.0,0.0,0.0
84ad8b5ffffffff,7.0,0.0,0.0
84ad8b9ffffffff,14.0,0.0,0.0
84ad927ffffffff,2.0,0.0,0.0
84ad95bffffffff,1.0,0.0,0.0
84ada03ffffffff,8.0,0.0,0.0
84ada07ffffffff,2.0,0.0,0.0
84ada1dffffffff,13.0,0.0,0.0
84ada21ffffffff,17.0,0.0,0.0
84ada39ffffffff,2.0,0.0,0.0
84ada4dffffffff,44.0,0.0,0.0
84ada85ffffffff,2.0,0.0,0.0
84ada8dffffffff,1.0,0.0,0.0
84adaa9ffffffff,4.0,0.0,0.0
84adaadffffffff,5.0,0.0,0.0
84adacbffffffff,2.0,0.0,0.0
84adae3ffffffff,2.0,0.0,0.0
84adaebffffffff,3.0,0.0,0.0
84adb07ffffffff,7.0,0.0,0.0
84adb13ffffffff,2.0,0.0,0.0
84adb2bffffffff,3.0,0.0,0.0
84adb31ffffffff,5.0,0.0,0.0
84adb39ffffffff,1.0,0.0,0.0
84adb3bffffffff,1.0,0.0,0.0
84adb43ffffffff,2.0,0.0,0.0
84adb53ffffffff,2.0,0.0,0.0
84bc411ffffffff,4.0,0.0,0.0
84bc417ffffffff,9.0,0.0,0.0
84bc41dffffffff,3.0,0.0,0.0
84bc423ffffffff,2.0,0.0,0.0
84bc431ffffffff,38.0,0.0,0.0
84bc435ffffffff,2.0,0.0,0.0
84bc455ffffffff,2.0,0.0,0.0
84bc481ffffffff,5.0,0.0,0.0
84bc48dffffffff,2.0,0.0,0.0
84bc497ffffffff,2.0,0.0,0.0
84bc4bbffffffff,3.0,0.0,0.0
84bc4d5ffffffff,40.0,0.0,0.0
84bc4ddffffffff,32.0,0.0,0.0
84bc4e9ffffffff,7.0,0.0,0.0
84bc501ffffffff,5.0,0.0,0.0
84bc50bffffffff,4.0,0.0,0.0
84bc54bffffffff,1.0,0.0,0.0
84bc559ffffffff,4.0,0.0,0.0
84bc59bffffffff,1.0,0.0,0.0
84bc5c9ffffffff,2.0,0.0,0.0
84bc5d7ffffffff,2.0,0.0,0.0
84bc5e7ffffffff,1.0,0.0,0.0
84bc5edffffffff,5.0,0.0,0.0
84bc6a3ffffffff,2.0,0.0,0.0
84bc6a5ffffffff,3.0,0.0,0.0
84bc6a7ffffffff,1.0,0.0,0.0
84bc739ffffffff,2.0,0.0,0.0
84bc73bffffffff,2.0,0.0,0.0
84bc89bffffffff,1.0,0.0,0.0
84bcc3dffffffff,1.0,0.0,0.0
84bcca5ffffffff,10.0,0.0,0.0
84bcca9ffffffff,1.0,0.0,0.0
84bcd05ffffffff,17.0,0.0,0.0
84bcd0dffffffff,6.0,0.0,0.0
84bcd11ffffffff,2.0,0.0,0.0
84bcd21ffffffff,4.0,0.0,0.0
84bcd23ffffffff,25.0,0.0,0.0
84bcd25ffffffff,6.0,0.0,0.0
84bcd27ffffffff,6.0,0.0,0.0
84bcd29ffffffff,37.0,0.0,0.0
84bcd2dffffffff,3.0,0.0,0.0
84bcd41ffffffff,3.0,0.0,0.0
84bcd63ffffffff,15.0,0.0,0.0
84bcd67ffffffff,4.0,0.0,0.0
84bcd81ffffffff,1.0,0.0,0.0
84bcd99ffffffff,1.0,0.0,0.0
84bcd9bffffffff,2.0,0.0,0.0
84bcdbdffffffff,1.0,0.0,0.0
84bcdc1ffffffff,5.0,0.0,0.0
84bcdc3ffffffff,4.0,0.0,0.0
84bcdc5ffffffff,3.0,0.0,0.0
84bcdc9ffffffff,2.0,0.0,0.0
84bcdcdffffffff,1.0,0.0,0.0
84bcdd1ffffffff,1.0,0.0,0.0
84bcde5ffffffff,12.0,0.0,0.0
84bcdebffffffff,1.0,0.0,0.0
84bce83ffffffff,2.0,0.0,0.0
84bce85ffffffff,2.0,0.0,0.0
84bce95ffffffff,4.0,0.0,0.0
84bce99ffffffff,10.0,0.0,0.0
84bce9dffffffff,1.0,0.0,0.0
84bcf05ffffffff,2.0,0.0,0.0
84bcf21ffffffff,2.0,0.0,0.0
84bcf29ffffffff,33.0,0.0,0.0
84bcf63ffffffff,2.0,0.0,0.0
