cell_id,Amblycercus holosericeus,Amblycercus holosericeus holosericeus/flavirostris,Amblycercus holosericeus australis
8466291ffffffff,1.0,0.0,1.0
84662b1ffffffff,12.0,0.0,2.0
8466313ffffffff,1.0,0.0,0.0
8466a01ffffffff,18.0,0.0,0.0
8466a05ffffffff,8.0,0.0,0.0
8466a0bffffffff,227.0,0.0,0.0
8466a1dffffffff,1.0,0.0,0.0
8466a21ffffffff,2.0,0.0,0.0
8466a25ffffffff,2.0,0.0,0.0
8466a2dffffffff,1.0,0.0,0.0
8466a33ffffffff,6.0,0.0,0.0
8466a37ffffffff,6.0,3.0,0.0
8466a51ffffffff,477.0,30.0,0.0
8466a55ffffffff,11.0,0.0,0.0
8466a57ffffffff,47.0,0.0,0.0
8466a5bffffffff,27.0,0.0,0.0
8466a5dffffffff,8.0,2.0,0.0
8466a65ffffffff,2.0,0.0,0.0
8466b01ffffffff,61.0,0.0,0.0
8466b09ffffffff,126.0,0.0,0.0
8466b0bffffffff,200.0,0.0,0.0
8466b1dffffffff,3.0,0.0,0.0
8466b41ffffffff,140.0,0.0,0.0
8466b43ffffffff,66.0,0.0,0.0
8466b45ffffffff,143.0,0.0,0.0
8466b47ffffffff,34.0,0.0,0.0
8466b49ffffffff,280.0,0.0,0.0
8466b4bffffffff,2.0,0.0,0.0
8466b4dffffffff,316.0,0.0,0.0
8466b51ffffffff,53.0,0.0,0.0
8466b53ffffffff,73.0,0.0,0.0
8466b55ffffffff,497.0,0.0,0.0
8466b57ffffffff,75.0,0.0,0.0
8466b59ffffffff,21.0,0.0,0.0
8466b5bffffffff,48.0,8.0,0.0
8466b5dffffffff,8.0,0.0,0.0
8466c0dffffffff,2.0,0.0,0.0
8466c61ffffffff,2.0,0.0,0.0
8466c63ffffffff,8.0,0.0,0.0
8466c6bffffffff,2.0,0.0,0.0
8466d07ffffffff,1.0,0.0,0.0
8466d0bffffffff,7.0,0.0,0.0
8466d11ffffffff,4.0,0.0,0.0
8466d25ffffffff,2.0,0.0,0.0
8466d31ffffffff,14.0,0.0,0.0
8466d35ffffffff,10.0,0.0,0.0
8466d3dffffffff,1.0,0.0,0.0
8466dadffffffff,5.0,0.0,0.0
8466de1ffffffff,147.0,0.0,9.0
8466debffffffff,1.0,0.0,0.0
8466dedffffffff,14.0,0.0,3.0
8466e03ffffffff,1.0,0.0,0.0
8466e07ffffffff,2.0,0.0,0.0
8466e09ffffffff,21.0,0.0,0.0
8466e0bffffffff,19.0,0.0,0.0
8466e2dffffffff,1.0,0.0,0.0
8466e43ffffffff,77.0,0.0,0.0
8466e47ffffffff,48.0,0.0,0.0
8466e55ffffffff,11.0,0.0,0.0
8466e57ffffffff,3.0,0.0,0.0
8466e59ffffffff,6.0,0.0,0.0
8466e61ffffffff,12.0,0.0,0.0
8466e63ffffffff,4.0,0.0,0.0
8466e65ffffffff,21.0,0.0,0.0
8466e67ffffffff,65.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0
8466e6dffffffff,842.0,3.0,12.0
8466f03ffffffff,3.0,0.0,0.0
8466f0bffffffff,7.0,0.0,0.0
8466f19ffffffff,4.0,0.0,0.0
8466f1dffffffff,5.0,0.0,0.0
8466f53ffffffff,20.0,0.0,0.0
8466f57ffffffff,17.0,0.0,0.0
8466f59ffffffff,1.0,0.0,0.0
8466f5bffffffff,25.0,0.0,0.0
8467417ffffffff,42.0,0.0,0.0
84674e9ffffffff,6.0,0.0,0.0
8467903ffffffff,1.0,0.0,0.0
8467921ffffffff,2.0,0.0,0.0
8467925ffffffff,1.0,0.0,0.0
8467931ffffffff,2.0,0.0,0.0
8467933ffffffff,1.0,0.0,0.0
846793bffffffff,8.0,0.0,0.0
8467941ffffffff,1.0,0.0,0.0
8467945ffffffff,7.0,0.0,0.0
8467949ffffffff,2.0,0.0,0.0
846794bffffffff,1.0,0.0,0.0
846794dffffffff,2.0,0.0,0.0
8467961ffffffff,32.0,0.0,0.0
8467963ffffffff,34.0,0.0,0.0
8467969ffffffff,11.0,0.0,0.0
84679a1ffffffff,17.0,0.0,0.0
84679a3ffffffff,2.0,0.0,0.0
84679a5ffffffff,460.0,0.0,0.0
84679a7ffffffff,27.0,0.0,0.0
84679adffffffff,29.0,0.0,0.0
84679b3ffffffff,10.0,0.0,0.0
84679b5ffffffff,8.0,0.0,0.0
84679b7ffffffff,45.0,0.0,0.0
8467b27ffffffff,2.0,0.0,0.0
846d049ffffffff,2.0,0.0,0.0
846d04bffffffff,3.0,1.0,0.0
846d04dffffffff,2.0,0.0,0.0
846d051ffffffff,11.0,0.0,0.0
846d053ffffffff,34.0,7.0,0.0
846d059ffffffff,7.0,0.0,0.0
846d05bffffffff,114.0,37.0,0.0
846d05dffffffff,1.0,0.0,0.0
846d203ffffffff,13.0,0.0,0.0
846d20bffffffff,2.0,0.0,0.0
846d20dffffffff,4.0,0.0,0.0
846d21bffffffff,56.0,17.0,0.0
846d21dffffffff,54.0,13.0,0.0
846d221ffffffff,2.0,0.0,0.0
846d223ffffffff,37.0,2.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d227ffffffff,2.0,0.0,0.0
846d22bffffffff,1.0,0.0,0.0
846d22dffffffff,2.0,2.0,0.0
846d231ffffffff,16.0,2.0,0.0
846d239ffffffff,48.0,9.0,0.0
846d23dffffffff,203.0,65.0,0.0
846d243ffffffff,5.0,0.0,0.0
846d247ffffffff,4.0,0.0,0.0
846d253ffffffff,2.0,0.0,0.0
846d255ffffffff,26.0,6.0,0.0
846d257ffffffff,10.0,2.0,0.0
846d283ffffffff,276.0,0.0,0.0
846d287ffffffff,3.0,0.0,0.0
846d291ffffffff,212.0,21.0,0.0
846d295ffffffff,691.0,0.0,0.0
846d297ffffffff,12.0,0.0,0.0
846d29bffffffff,3.0,0.0,0.0
846d2a1ffffffff,12.0,0.0,0.0
846d2a3ffffffff,4.0,0.0,0.0
846d2a9ffffffff,4.0,0.0,0.0
846d2adffffffff,4.0,0.0,0.0
846d2b3ffffffff,3.0,0.0,0.0
846d2b5ffffffff,3.0,0.0,0.0
846d2b9ffffffff,600.0,1.0,0.0
846d2c1ffffffff,56.0,23.0,0.0
846d2c3ffffffff,71.0,4.0,0.0
846d2c5ffffffff,5.0,1.0,0.0
846d2c7ffffffff,13.0,0.0,0.0
846d2c9ffffffff,488.0,59.0,0.0
846d2cbffffffff,83.0,40.0,0.0
846d2cdffffffff,9.0,0.0,0.0
846d2d1ffffffff,595.0,123.0,0.0
846d2d3ffffffff,62.0,43.0,0.0
846d2d5ffffffff,6.0,0.0,0.0
846d2d7ffffffff,1300.0,857.0,0.0
846d2d9ffffffff,4.0,2.0,0.0
846d2dbffffffff,23.0,3.0,0.0
846d2ddffffffff,3.0,1.0,0.0
846d2e3ffffffff,4.0,0.0,0.0
846d2e5ffffffff,32.0,20.0,0.0
846d2ebffffffff,2.0,0.0,0.0
846d303ffffffff,9.0,0.0,0.0
846d305ffffffff,20.0,1.0,0.0
846d307ffffffff,5.0,0.0,0.0
846d30dffffffff,192.0,26.0,0.0
846d319ffffffff,58.0,20.0,0.0
846d31bffffffff,2.0,0.0,0.0
846d341ffffffff,19.0,14.0,0.0
846d347ffffffff,3.0,0.0,0.0
846d34bffffffff,9.0,1.0,0.0
846d34dffffffff,80.0,1.0,0.0
846d35bffffffff,1079.0,4.0,0.0
846d35dffffffff,36.0,5.0,0.0
846d361ffffffff,2.0,0.0,0.0
846d369ffffffff,6.0,0.0,0.0
846d36bffffffff,2.0,0.0,0.0
846d601ffffffff,2.0,0.0,0.0
846d603ffffffff,5.0,0.0,0.0
846d607ffffffff,2.0,0.0,0.0
846d609ffffffff,2.0,0.0,0.0
846d60dffffffff,57.0,0.0,0.0
846d613ffffffff,5.0,0.0,0.0
846d617ffffffff,397.0,0.0,0.0
846d639ffffffff,1.0,0.0,0.0
846d641ffffffff,696.0,0.0,0.0
846d643ffffffff,6.0,0.0,0.0
846d645ffffffff,109.0,0.0,0.0
846d64bffffffff,140.0,0.0,0.0
846d64dffffffff,22.0,0.0,0.0
846d651ffffffff,20.0,0.0,0.0
846d653ffffffff,27.0,0.0,0.0
846d655ffffffff,11.0,0.0,0.0
846d657ffffffff,4.0,0.0,0.0
846d659ffffffff,4.0,0.0,0.0
846d665ffffffff,24.0,0.0,0.0
846d667ffffffff,13.0,0.0,0.0
846d669ffffffff,6.0,0.0,0.0
846d66bffffffff,17.0,0.0,0.0
846d66dffffffff,82.0,0.0,0.0
846d683ffffffff,1.0,0.0,0.0
846d689ffffffff,30.0,0.0,0.0
846d68bffffffff,306.0,0.0,0.0
846d68dffffffff,1.0,0.0,0.0
846d691ffffffff,180.0,0.0,0.0
846d693ffffffff,73.0,0.0,0.0
846d695ffffffff,1.0,0.0,0.0
846d697ffffffff,140.0,0.0,0.0
846d699ffffffff,61.0,0.0,0.0
846d69bffffffff,381.0,0.0,0.0
846d69dffffffff,1098.0,0.0,0.0
846d6b1ffffffff,2.0,0.0,0.0
846d6b9ffffffff,40.0,0.0,0.0
846d6bbffffffff,827.0,0.0,0.0
846d6bdffffffff,4.0,0.0,0.0
846d6c3ffffffff,7.0,0.0,0.0
846d6c9ffffffff,3.0,0.0,0.0
846d6cbffffffff,2.0,0.0,0.0
846d6d1ffffffff,30.0,0.0,0.0
846d6d3ffffffff,41.0,0.0,0.0
846d6d5ffffffff,120.0,0.0,0.0
846d6d7ffffffff,9.0,0.0,0.0
846d6ddffffffff,2.0,0.0,0.0
846d6e9ffffffff,2.0,0.0,0.0
846d6edffffffff,2.0,0.0,0.0
846d741ffffffff,36.0,0.0,0.0
846d743ffffffff,19.0,0.0,0.0
846d745ffffffff,10.0,0.0,0.0
846d747ffffffff,4.0,0.0,0.0
846d749ffffffff,4.0,0.0,0.0
846d74bffffffff,88.0,0.0,0.0
846d751ffffffff,5.0,0.0,0.0
846d759ffffffff,13.0,0.0,0.0
846d75bffffffff,4.0,0.0,0.0
846d75dffffffff,3.0,0.0,0.0
846d769ffffffff,19.0,0.0,0.0
846d76dffffffff,2.0,0.0,0.0
848b21dffffffff,3.0,0.0,0.0
848b2cdffffffff,15.0,0.0,0.0
848b603ffffffff,2.0,0.0,0.0
848b611ffffffff,2.0,0.0,0.0
848b617ffffffff,61.0,0.0,0.0
848b63bffffffff,5.0,0.0,0.0
848b6c5ffffffff,10.0,0.0,0.0
848b6cdffffffff,48.0,0.0,0.0
848e649ffffffff,3.0,0.0,0.0
848e64bffffffff,5.0,0.0,0.0
848e651ffffffff,1.0,0.0,0.0
848e655ffffffff,2.0,0.0,0.0
848e657ffffffff,3.0,0.0,0.0
848f099ffffffff,6.0,0.0,6.0
848f0d1ffffffff,4.0,1.0,0.0
848f0d3ffffffff,45.0,0.0,0.0
848f0dbffffffff,3.0,0.0,0.0
848f0ddffffffff,2.0,0.0,0.0
848f213ffffffff,3.0,0.0,0.0
848f289ffffffff,4.0,2.0,0.0
848f28dffffffff,1.0,0.0,0.0
848f291ffffffff,3.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0
848f295ffffffff,8.0,0.0,0.0
848f297ffffffff,12.0,0.0,0.0
848f2a1ffffffff,2.0,0.0,0.0
848f2a9ffffffff,63.0,6.0,0.0
848f2abffffffff,7.0,0.0,0.0
848f2b9ffffffff,9.0,0.0,0.0
848f2bbffffffff,2.0,0.0,0.0
848f2bdffffffff,7.0,0.0,0.0
848f2c3ffffffff,1.0,0.0,0.0
848f2cbffffffff,2.0,0.0,0.0
848f2cdffffffff,6.0,0.0,0.0
848f2ebffffffff,2.0,0.0,0.0
848f401ffffffff,2.0,0.0,0.0
848f40dffffffff,1.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,10.0,0.0,0.0
848f439ffffffff,3.0,0.0,0.0
848f463ffffffff,6.0,0.0,0.0
848f467ffffffff,1.0,0.0,0.0
848f4a5ffffffff,36.0,0.0,0.0
848f4a7ffffffff,1.0,0.0,0.0
848f541ffffffff,1.0,0.0,0.0
848f549ffffffff,14.0,0.0,0.0
848f551ffffffff,2.0,0.0,0.0
848f553ffffffff,3.0,0.0,0.0
848f559ffffffff,26.0,4.0,0.0
848f55bffffffff,6.0,4.0,0.0
848f5c9ffffffff,2.0,0.0,0.0
848f705ffffffff,3.0,0.0,0.0
848f721ffffffff,49.0,0.0,11.0
848f725ffffffff,1.0,0.0,1.0
848f729ffffffff,12.0,0.0,1.0
848f72bffffffff,6.0,0.0,0.0
848f72dffffffff,10.0,0.0,0.0
848f733ffffffff,77.0,4.0,3.0
848f767ffffffff,2.0,0.0,0.0
848f769ffffffff,3.0,1.0,0.0
848f76dffffffff,4.0,0.0,0.0
84b3219ffffffff,1.0,0.0,0.0
84b3253ffffffff,7.0,0.0,0.0
