cell_id,Cisticola juncidis,Cisticola juncidis [juncidis Group],Cisticola juncidis terrestris/uropygialis,Cisticola juncidis [tinnabulans Group],Cisticola juncidis brunniceps
824067fffffffff,2.0,0.0,0.0,0.0,0.0
82406ffffffffff,1.0,0.0,0.0,0.0,0.0
824077fffffffff,2.0,0.0,0.0,0.0,0.0
82408ffffffffff,5.0,0.0,0.0,0.0,0.0
824097fffffffff,3.0,0.0,0.0,0.0,0.0
8240a7fffffffff,7.0,0.0,0.0,0.0,0.0
8240affffffffff,1.0,0.0,0.0,0.0,0.0
8240b7fffffffff,14.0,0.0,0.0,0.0,0.0
8240e7fffffffff,5.0,0.0,0.0,0.0,0.0
824107fffffffff,2.0,0.0,0.0,0.0,0.0
824117fffffffff,13.0,0.0,0.0,0.0,0.0
82411ffffffffff,775.0,0.0,0.0,9.0,0.0
824147fffffffff,11.0,0.0,0.0,1.0,0.0
82414ffffffffff,40.0,0.0,0.0,0.0,0.0
824157fffffffff,5.0,0.0,0.0,0.0,0.0
82415ffffffffff,19.0,0.0,0.0,0.0,0.0
824167fffffffff,7.0,0.0,0.0,0.0,0.0
82416ffffffffff,47.0,0.0,0.0,4.0,0.0
824177fffffffff,51.0,0.0,0.0,0.0,0.0
824187fffffffff,4.0,0.0,0.0,0.0,0.0
824197fffffffff,114.0,0.0,0.0,75.0,0.0
82419ffffffffff,41.0,0.0,0.0,3.0,0.0
8241a7fffffffff,304.0,0.0,0.0,43.0,0.0
8241affffffffff,2.0,0.0,0.0,0.0,0.0
8241b7fffffffff,101.0,0.0,0.0,10.0,0.0
82424ffffffffff,64.0,0.0,0.0,0.0,0.0
824257fffffffff,22.0,0.0,0.0,0.0,0.0
82425ffffffffff,20.0,0.0,0.0,0.0,0.0
82426ffffffffff,91.0,0.0,0.0,0.0,0.0
8242c7fffffffff,613.0,0.0,0.0,0.0,0.0
8242cffffffffff,836.0,0.0,0.0,0.0,0.0
8242d7fffffffff,15.0,0.0,0.0,0.0,0.0
8242dffffffffff,960.0,0.0,0.0,0.0,0.0
8242e7fffffffff,105.0,0.0,0.0,0.0,0.0
8242effffffffff,22.0,0.0,0.0,0.0,0.0
824a27fffffffff,189.0,0.0,0.0,0.0,27.0
824b1ffffffffff,11.0,0.0,0.0,0.0,5.0
824b27fffffffff,1.0,0.0,0.0,0.0,0.0
824b37fffffffff,25.0,0.0,0.0,8.0,0.0
824b57fffffffff,92.0,0.0,0.0,0.0,9.0
824b67fffffffff,21.0,0.0,0.0,0.0,4.0
824b6ffffffffff,2.0,0.0,0.0,0.0,0.0
824b77fffffffff,20.0,0.0,0.0,0.0,9.0
824b87fffffffff,697.0,0.0,0.0,39.0,0.0
824b97fffffffff,62.0,0.0,0.0,0.0,0.0
824b9ffffffffff,206.0,0.0,0.0,0.0,0.0
824ba7fffffffff,5431.0,0.0,0.0,445.0,0.0
824baffffffffff,81.0,0.0,0.0,0.0,8.0
824bb7fffffffff,3093.0,0.0,0.0,254.0,0.0
